"date","series_id","value","realtime_start","realtime_end"
1939-01-01,"USPRIV",25935,2025-05-13,2025-05-13
1939-02-01,"USPRIV",26099,2025-05-13,2025-05-13
1939-03-01,"USPRIV",26278,2025-05-13,2025-05-13
1939-04-01,"USPRIV",26092,2025-05-13,2025-05-13
1939-05-01,"USPRIV",26293,2025-05-13,2025-05-13
1939-06-01,"USPRIV",26499,2025-05-13,2025-05-13
1939-07-01,"USPRIV",26400,2025-05-13,2025-05-13
1939-08-01,"USPRIV",26617,2025-05-13,2025-05-13
1939-09-01,"USPRIV",26955,2025-05-13,2025-05-13
1939-10-01,"USPRIV",27322,2025-05-13,2025-05-13
1939-11-01,"USPRIV",27361,2025-05-13,2025-05-13
1939-12-01,"USPRIV",27408,2025-05-13,2025-05-13
1940-01-01,"USPRIV",27453,2025-05-13,2025-05-13
1940-02-01,"USPRIV",27565,2025-05-13,2025-05-13
1940-03-01,"USPRIV",27674,2025-05-13,2025-05-13
1940-04-01,"USPRIV",27549,2025-05-13,2025-05-13
1940-05-01,"USPRIV",27707,2025-05-13,2025-05-13
1940-06-01,"USPRIV",27759,2025-05-13,2025-05-13
1940-07-01,"USPRIV",27681,2025-05-13,2025-05-13
1940-08-01,"USPRIV",28070,2025-05-13,2025-05-13
1940-09-01,"USPRIV",28498,2025-05-13,2025-05-13
1940-10-01,"USPRIV",28914,2025-05-13,2025-05-13
1940-11-01,"USPRIV",29273,2025-05-13,2025-05-13
1940-12-01,"USPRIV",29759,2025-05-13,2025-05-13
1941-01-01,"USPRIV",30013,2025-05-13,2025-05-13
1941-02-01,"USPRIV",30339,2025-05-13,2025-05-13
1941-03-01,"USPRIV",30557,2025-05-13,2025-05-13
1941-04-01,"USPRIV",30883,2025-05-13,2025-05-13
1941-05-01,"USPRIV",31540,2025-05-13,2025-05-13
1941-06-01,"USPRIV",31949,2025-05-13,2025-05-13
1941-07-01,"USPRIV",32387,2025-05-13,2025-05-13
1941-08-01,"USPRIV",32723,2025-05-13,2025-05-13
1941-09-01,"USPRIV",32944,2025-05-13,2025-05-13
1941-10-01,"USPRIV",33042,2025-05-13,2025-05-13
1941-11-01,"USPRIV",33075,2025-05-13,2025-05-13
1941-12-01,"USPRIV",33133,2025-05-13,2025-05-13
