"Name","Value","Date"
"Total_nonfarm",159517,20179
"Total_private",135905,20179
"Goods_producing",21706,20179
"Mining_and_logging",625,20179
"Construction",8316,20179
"Manufacturing",12765,20179
"Durable_goods",7909,20179
"Nondurable_goods",4856,20179
"Private_service_providing",114199,20179
"Trade_transportation_utilities",29166,20179
"Wholesale_trade",6186.5,20179
"Retail_trade",15589.3,20179
"Transportation_and_warehousing",6794.5,20179
"Utilities",596.1,20179
"Information",2938,20179
"Financial_activities",9255,20179
"Professional_and_business_services",22614,20179
"Education_and_health_services",27202,20179
"Leisure_and_hospitality",16993,20179
"Other_services",6031,20179
"Government",23612,20179
"Federal",2989,20179
"State_government",5522,20179
"Local_government",15101,20179
