"date","series_id","value","realtime_start","realtime_end"
1939-01-01,"USCONS",1139,2025-05-14,2025-05-14
1939-02-01,"USCONS",1162,2025-05-14,2025-05-14
1939-03-01,"USCONS",1225,2025-05-14,2025-05-14
1939-04-01,"USCONS",1249,2025-05-14,2025-05-14
1939-05-01,"USCONS",1262,2025-05-14,2025-05-14
1939-06-01,"USCONS",1264,2025-05-14,2025-05-14
1939-07-01,"USCONS",1221,2025-05-14,2025-05-14
1939-08-01,"USCONS",1236,2025-05-14,2025-05-14
1939-09-01,"USCONS",1203,2025-05-14,2025-05-14
1939-10-01,"USCONS",1186,2025-05-14,2025-05-14
1939-11-01,"USCONS",1172,2025-05-14,2025-05-14
1939-12-01,"USCONS",1142,2025-05-14,2025-05-14
1940-01-01,"USCONS",1121,2025-05-14,2025-05-14
1940-02-01,"USCONS",1178,2025-05-14,2025-05-14
1940-03-01,"USCONS",1214,2025-05-14,2025-05-14
1940-04-01,"USCONS",1276,2025-05-14,2025-05-14
1940-05-01,"USCONS",1298,2025-05-14,2025-05-14
1940-06-01,"USCONS",1290,2025-05-14,2025-05-14
1940-07-01,"USCONS",1272,2025-05-14,2025-05-14
1940-08-01,"USCONS",1286,2025-05-14,2025-05-14
1940-09-01,"USCONS",1379,2025-05-14,2025-05-14
1940-10-01,"USCONS",1506,2025-05-14,2025-05-14
1940-11-01,"USCONS",1627,2025-05-14,2025-05-14
1940-12-01,"USCONS",1777,2025-05-14,2025-05-14
1941-01-01,"USCONS",1833,2025-05-14,2025-05-14
1941-02-01,"USCONS",1820,2025-05-14,2025-05-14
1941-03-01,"USCONS",1739,2025-05-14,2025-05-14
1941-04-01,"USCONS",1772,2025-05-14,2025-05-14
1941-05-01,"USCONS",1784,2025-05-14,2025-05-14
1941-06-01,"USCONS",1791,2025-05-14,2025-05-14
1941-07-01,"USCONS",1881,2025-05-14,2025-05-14
1941-08-01,"USCONS",1918,2025-05-14,2025-05-14
1941-09-01,"USCONS",1939,2025-05-14,2025-05-14
1941-10-01,"USCONS",1935,2025-05-14,2025-05-14
1941-11-01,"USCONS",1915,2025-05-14,2025-05-14
1941-12-01,"USCONS",1903,2025-05-14,2025-05-14
1942-01-01,"USCONS",1914,2025-05-14,2025-05-14
1942-02-01,"USCONS",1900,2025-05-14,2025-05-14
1942-03-01,"USCONS",2042,2025-05-14,2025-05-14
1942-04-01,"USCONS",2170,2025-05-14,2025-05-14
1942-05-01,"USCONS",2271,2025-05-14,2025-05-14
1942-06-01,"USCONS",2380,2025-05-14,2025-05-14
1942-07-01,"USCONS",2494,2025-05-14,2025-05-14
1942-08-01,"USCONS",2478,2025-05-14,2025-05-14
1942-09-01,"USCONS",2433,2025-05-14,2025-05-14
1942-10-01,"USCONS",2352,2025-05-14,2025-05-14
1942-11-01,"USCONS",2260,2025-05-14,2025-05-14
1942-12-01,"USCONS",2136,2025-05-14,2025-05-14
1943-01-01,"USCONS",2064,2025-05-14,2025-05-14
1943-02-01,"USCONS",2022,2025-05-14,2025-05-14
1943-03-01,"USCONS",1954,2025-05-14,2025-05-14
1943-04-01,"USCONS",1854,2025-05-14,2025-05-14
1943-05-01,"USCONS",1737,2025-05-14,2025-05-14
1943-06-01,"USCONS",1639,2025-05-14,2025-05-14
1943-07-01,"USCONS",1516,2025-05-14,2025-05-14
1943-08-01,"USCONS",1433,2025-05-14,2025-05-14
1943-09-01,"USCONS",1357,2025-05-14,2025-05-14
1943-10-01,"USCONS",1334,2025-05-14,2025-05-14
1943-11-01,"USCONS",1320,2025-05-14,2025-05-14
1943-12-01,"USCONS",1316,2025-05-14,2025-05-14
1944-01-01,"USCONS",1323,2025-05-14,2025-05-14
1944-02-01,"USCONS",1300,2025-05-14,2025-05-14
1944-03-01,"USCONS",1237,2025-05-14,2025-05-14
1944-04-01,"USCONS",1172,2025-05-14,2025-05-14
1944-05-01,"USCONS",1149,2025-05-14,2025-05-14
1944-06-01,"USCONS",1123,2025-05-14,2025-05-14
1944-07-01,"USCONS",1103,2025-05-14,2025-05-14
1944-08-01,"USCONS",1081,2025-05-14,2025-05-14
1944-09-01,"USCONS",1036,2025-05-14,2025-05-14
1944-10-01,"USCONS",1085,2025-05-14,2025-05-14
1944-11-01,"USCONS",1095,2025-05-14,2025-05-14
1944-12-01,"USCONS",1113,2025-05-14,2025-05-14
1945-01-01,"USCONS",1143,2025-05-14,2025-05-14
1945-02-01,"USCONS",1191,2025-05-14,2025-05-14
1945-03-01,"USCONS",1179,2025-05-14,2025-05-14
1945-04-01,"USCONS",1148,2025-05-14,2025-05-14
1945-05-01,"USCONS",1138,2025-05-14,2025-05-14
1945-06-01,"USCONS",1133,2025-05-14,2025-05-14
1945-07-01,"USCONS",1144,2025-05-14,2025-05-14
1945-08-01,"USCONS",1159,2025-05-14,2025-05-14
1945-09-01,"USCONS",1143,2025-05-14,2025-05-14
1945-10-01,"USCONS",1231,2025-05-14,2025-05-14
1945-11-01,"USCONS",1291,2025-05-14,2025-05-14
1945-12-01,"USCONS",1336,2025-05-14,2025-05-14
1946-01-01,"USCONS",1421,2025-05-14,2025-05-14
1946-02-01,"USCONS",1501,2025-05-14,2025-05-14
1946-03-01,"USCONS",1581,2025-05-14,2025-05-14
1946-04-01,"USCONS",1639,2025-05-14,2025-05-14
1946-05-01,"USCONS",1679,2025-05-14,2025-05-14
1946-06-01,"USCONS",1697,2025-05-14,2025-05-14
1946-07-01,"USCONS",1761,2025-05-14,2025-05-14
1946-08-01,"USCONS",1808,2025-05-14,2025-05-14
1946-09-01,"USCONS",1836,2025-05-14,2025-05-14
1946-10-01,"USCONS",1875,2025-05-14,2025-05-14
1946-11-01,"USCONS",1901,2025-05-14,2025-05-14
1946-12-01,"USCONS",1931,2025-05-14,2025-05-14
1947-01-01,"USCONS",1927,2025-05-14,2025-05-14
1947-02-01,"USCONS",1960,2025-05-14,2025-05-14
1947-03-01,"USCONS",1972,2025-05-14,2025-05-14
