"date","series_id","value","realtime_start","realtime_end"
1939-01-01,"DMANEMP",4380,2025-05-14,2025-05-14
1939-02-01,"DMANEMP",4454,2025-05-14,2025-05-14
1939-03-01,"DMANEMP",4518,2025-05-14,2025-05-14
1939-04-01,"DMANEMP",4550,2025-05-14,2025-05-14
1939-05-01,"DMANEMP",4544,2025-05-14,2025-05-14
1939-06-01,"DMANEMP",4561,2025-05-14,2025-05-14
1939-07-01,"DMANEMP",4470,2025-05-14,2025-05-14
1939-08-01,"DMANEMP",4578,2025-05-14,2025-05-14
1939-09-01,"DMANEMP",4740,2025-05-14,2025-05-14
1939-10-01,"DMANEMP",4945,2025-05-14,2025-05-14
1939-11-01,"DMANEMP",5007,2025-05-14,2025-05-14
1939-12-01,"DMANEMP",5097,2025-05-14,2025-05-14
1940-01-01,"DMANEMP",5061,2025-05-14,2025-05-14
1940-02-01,"DMANEMP",5058,2025-05-14,2025-05-14
1940-03-01,"DMANEMP",5064,2025-05-14,2025-05-14
1940-04-01,"DMANEMP",5045,2025-05-14,2025-05-14
1940-05-01,"DMANEMP",5067,2025-05-14,2025-05-14
1940-06-01,"DMANEMP",5090,2025-05-14,2025-05-14
1940-07-01,"DMANEMP",5022,2025-05-14,2025-05-14
1940-08-01,"DMANEMP",5243,2025-05-14,2025-05-14
1940-09-01,"DMANEMP",5411,2025-05-14,2025-05-14
1940-10-01,"DMANEMP",5554,2025-05-14,2025-05-14
1940-11-01,"DMANEMP",5693,2025-05-14,2025-05-14
1940-12-01,"DMANEMP",5836,2025-05-14,2025-05-14
1941-01-01,"DMANEMP",5947,2025-05-14,2025-05-14
1941-02-01,"DMANEMP",6110,2025-05-14,2025-05-14
1941-03-01,"DMANEMP",6249,2025-05-14,2025-05-14
1941-04-01,"DMANEMP",6454,2025-05-14,2025-05-14
1941-05-01,"DMANEMP",6638,2025-05-14,2025-05-14
1941-06-01,"DMANEMP",6814,2025-05-14,2025-05-14
1941-07-01,"DMANEMP",6941,2025-05-14,2025-05-14
1941-08-01,"DMANEMP",7055,2025-05-14,2025-05-14
1941-09-01,"DMANEMP",7189,2025-05-14,2025-05-14
1941-10-01,"DMANEMP",7274,2025-05-14,2025-05-14
1941-11-01,"DMANEMP",7323,2025-05-14,2025-05-14
1941-12-01,"DMANEMP",7386,2025-05-14,2025-05-14
1942-01-01,"DMANEMP",7483,2025-05-14,2025-05-14
1942-02-01,"DMANEMP",7629,2025-05-14,2025-05-14
1942-03-01,"DMANEMP",7797,2025-05-14,2025-05-14
1942-04-01,"DMANEMP",7976,2025-05-14,2025-05-14
1942-05-01,"DMANEMP",8168,2025-05-14,2025-05-14
1942-06-01,"DMANEMP",8343,2025-05-14,2025-05-14
1942-07-01,"DMANEMP",8555,2025-05-14,2025-05-14
1942-08-01,"DMANEMP",8817,2025-05-14,2025-05-14
1942-09-01,"DMANEMP",9008,2025-05-14,2025-05-14
1942-10-01,"DMANEMP",9216,2025-05-14,2025-05-14
1942-11-01,"DMANEMP",9411,2025-05-14,2025-05-14
1942-12-01,"DMANEMP",9702,2025-05-14,2025-05-14
1943-01-01,"DMANEMP",9923,2025-05-14,2025-05-14
1943-02-01,"DMANEMP",10090,2025-05-14,2025-05-14
1943-03-01,"DMANEMP",10264,2025-05-14,2025-05-14
1943-04-01,"DMANEMP",10381,2025-05-14,2025-05-14
1943-05-01,"DMANEMP",10470,2025-05-14,2025-05-14
1943-06-01,"DMANEMP",10603,2025-05-14,2025-05-14
1943-07-01,"DMANEMP",10709,2025-05-14,2025-05-14
1943-08-01,"DMANEMP",10787,2025-05-14,2025-05-14
1943-09-01,"DMANEMP",10865,2025-05-14,2025-05-14
1943-10-01,"DMANEMP",10972,2025-05-14,2025-05-14
1943-11-01,"DMANEMP",11032,2025-05-14,2025-05-14
1943-12-01,"DMANEMP",10990,2025-05-14,2025-05-14
1944-01-01,"DMANEMP",10902,2025-05-14,2025-05-14
1944-02-01,"DMANEMP",10793,2025-05-14,2025-05-14
1944-03-01,"DMANEMP",10646,2025-05-14,2025-05-14
1944-04-01,"DMANEMP",10498,2025-05-14,2025-05-14
1944-05-01,"DMANEMP",10424,2025-05-14,2025-05-14
1944-06-01,"DMANEMP",10350,2025-05-14,2025-05-14
1944-07-01,"DMANEMP",10283,2025-05-14,2025-05-14
1944-08-01,"DMANEMP",10254,2025-05-14,2025-05-14
1944-09-01,"DMANEMP",10189,2025-05-14,2025-05-14
1944-10-01,"DMANEMP",10094,2025-05-14,2025-05-14
1944-11-01,"DMANEMP",10009,2025-05-14,2025-05-14
1944-12-01,"DMANEMP",10085,2025-05-14,2025-05-14
1945-01-01,"DMANEMP",10106,2025-05-14,2025-05-14
1945-02-01,"DMANEMP",10039,2025-05-14,2025-05-14
1945-03-01,"DMANEMP",9933,2025-05-14,2025-05-14
1945-04-01,"DMANEMP",9791,2025-05-14,2025-05-14
1945-05-01,"DMANEMP",9643,2025-05-14,2025-05-14
