"date","series_id","value","realtime_start","realtime_end"
1939-01-01,"USEHS",1381,2025-05-14,2025-05-14
1939-02-01,"USEHS",1384,2025-05-14,2025-05-14
1939-03-01,"USEHS",1387,2025-05-14,2025-05-14
1939-04-01,"USEHS",1389,2025-05-14,2025-05-14
1939-05-01,"USEHS",1399,2025-05-14,2025-05-14
1939-06-01,"USEHS",1406,2025-05-14,2025-05-14
1939-07-01,"USEHS",1411,2025-05-14,2025-05-14
1939-08-01,"USEHS",1412,2025-05-14,2025-05-14
1939-09-01,"USEHS",1424,2025-05-14,2025-05-14
1939-10-01,"USEHS",1415,2025-05-14,2025-05-14
1939-11-01,"USEHS",1421,2025-05-14,2025-05-14
1939-12-01,"USEHS",1428,2025-05-14,2025-05-14
1940-01-01,"USEHS",1433,2025-05-14,2025-05-14
1940-02-01,"USEHS",1440,2025-05-14,2025-05-14
1940-03-01,"USEHS",1447,2025-05-14,2025-05-14
1940-04-01,"USEHS",1455,2025-05-14,2025-05-14
1940-05-01,"USEHS",1460,2025-05-14,2025-05-14
1940-06-01,"USEHS",1465,2025-05-14,2025-05-14
1940-07-01,"USEHS",1469,2025-05-14,2025-05-14
1940-08-01,"USEHS",1478,2025-05-14,2025-05-14
1940-09-01,"USEHS",1487,2025-05-14,2025-05-14
1940-10-01,"USEHS",1496,2025-05-14,2025-05-14
1940-11-01,"USEHS",1501,2025-05-14,2025-05-14
1940-12-01,"USEHS",1507,2025-05-14,2025-05-14
1941-01-01,"USEHS",1516,2025-05-14,2025-05-14
1941-02-01,"USEHS",1526,2025-05-14,2025-05-14
1941-03-01,"USEHS",1536,2025-05-14,2025-05-14
1941-04-01,"USEHS",1551,2025-05-14,2025-05-14
1941-05-01,"USEHS",1558,2025-05-14,2025-05-14
1941-06-01,"USEHS",1563,2025-05-14,2025-05-14
1941-07-01,"USEHS",1575,2025-05-14,2025-05-14
1941-08-01,"USEHS",1583,2025-05-14,2025-05-14
1941-09-01,"USEHS",1587,2025-05-14,2025-05-14
1941-10-01,"USEHS",1594,2025-05-14,2025-05-14
1941-11-01,"USEHS",1601,2025-05-14,2025-05-14
1941-12-01,"USEHS",1606,2025-05-14,2025-05-14
1942-01-01,"USEHS",1611,2025-05-14,2025-05-14
1942-02-01,"USEHS",1608,2025-05-14,2025-05-14
1942-03-01,"USEHS",1615,2025-05-14,2025-05-14
1942-04-01,"USEHS",1623,2025-05-14,2025-05-14
1942-05-01,"USEHS",1626,2025-05-14,2025-05-14
1942-06-01,"USEHS",1632,2025-05-14,2025-05-14
1942-07-01,"USEHS",1640,2025-05-14,2025-05-14
1942-08-01,"USEHS",1644,2025-05-14,2025-05-14
1942-09-01,"USEHS",1647,2025-05-14,2025-05-14
1942-10-01,"USEHS",1649,2025-05-14,2025-05-14
1942-11-01,"USEHS",1645,2025-05-14,2025-05-14
1942-12-01,"USEHS",1645,2025-05-14,2025-05-14
1943-01-01,"USEHS",1649,2025-05-14,2025-05-14
1943-02-01,"USEHS",1653,2025-05-14,2025-05-14
1943-03-01,"USEHS",1655,2025-05-14,2025-05-14
1943-04-01,"USEHS",1655,2025-05-14,2025-05-14
1943-05-01,"USEHS",1656,2025-05-14,2025-05-14
1943-06-01,"USEHS",1658,2025-05-14,2025-05-14
1943-07-01,"USEHS",1658,2025-05-14,2025-05-14
1943-08-01,"USEHS",1658,2025-05-14,2025-05-14
1943-09-01,"USEHS",1663,2025-05-14,2025-05-14
1943-10-01,"USEHS",1666,2025-05-14,2025-05-14
1943-11-01,"USEHS",1671,2025-05-14,2025-05-14
1943-12-01,"USEHS",1674,2025-05-14,2025-05-14
1944-01-01,"USEHS",1661,2025-05-14,2025-05-14
1944-02-01,"USEHS",1668,2025-05-14,2025-05-14
1944-03-01,"USEHS",1670,2025-05-14,2025-05-14
1944-04-01,"USEHS",1667,2025-05-14,2025-05-14
1944-05-01,"USEHS",1666,2025-05-14,2025-05-14
1944-06-01,"USEHS",1671,2025-05-14,2025-05-14
1944-07-01,"USEHS",1668,2025-05-14,2025-05-14
1944-08-01,"USEHS",1669,2025-05-14,2025-05-14
1944-09-01,"USEHS",1667,2025-05-14,2025-05-14
1944-10-01,"USEHS",1665,2025-05-14,2025-05-14
1944-11-01,"USEHS",1667,2025-05-14,2025-05-14
