"date","series_id","value","realtime_start","realtime_end"
1939-01-01,"CES9091000001",912,2025-05-14,2025-05-14
1939-02-01,"CES9091000001",925,2025-05-14,2025-05-14
1939-03-01,"CES9091000001",929,2025-05-14,2025-05-14
1939-04-01,"CES9091000001",933,2025-05-14,2025-05-14
1939-05-01,"CES9091000001",941,2025-05-14,2025-05-14
1939-06-01,"CES9091000001",948,2025-05-14,2025-05-14
1939-07-01,"CES9091000001",954,2025-05-14,2025-05-14
1939-08-01,"CES9091000001",962,2025-05-14,2025-05-14
1939-09-01,"CES9091000001",970,2025-05-14,2025-05-14
1939-10-01,"CES9091000001",968,2025-05-14,2025-05-14
1939-11-01,"CES9091000001",975,2025-05-14,2025-05-14
1939-12-01,"CES9091000001",977,2025-05-14,2025-05-14
1940-01-01,"CES9091000001",980,2025-05-14,2025-05-14
1940-02-01,"CES9091000001",984,2025-05-14,2025-05-14
1940-03-01,"CES9091000001",993,2025-05-14,2025-05-14
1940-04-01,"CES9091000001",997,2025-05-14,2025-05-14
1940-05-01,"CES9091000001",1007,2025-05-14,2025-05-14
1940-06-01,"CES9091000001",1020,2025-05-14,2025-05-14
1940-07-01,"CES9091000001",1037,2025-05-14,2025-05-14
1940-08-01,"CES9091000001",1051,2025-05-14,2025-05-14
1940-09-01,"CES9091000001",1072,2025-05-14,2025-05-14
1940-10-01,"CES9091000001",1106,2025-05-14,2025-05-14
1940-11-01,"CES9091000001",1139,2025-05-14,2025-05-14
1940-12-01,"CES9091000001",1149,2025-05-14,2025-05-14
1941-01-01,"CES9091000001",1201,2025-05-14,2025-05-14
1941-02-01,"CES9091000001",1225,2025-05-14,2025-05-14
1941-03-01,"CES9091000001",1247,2025-05-14,2025-05-14
1941-04-01,"CES9091000001",1290,2025-05-14,2025-05-14
1941-05-01,"CES9091000001",1335,2025-05-14,2025-05-14
1941-06-01,"CES9091000001",1381,2025-05-14,2025-05-14
1941-07-01,"CES9091000001",1418,2025-05-14,2025-05-14
1941-08-01,"CES9091000001",1472,2025-05-14,2025-05-14
1941-09-01,"CES9091000001",1529,2025-05-14,2025-05-14
1941-10-01,"CES9091000001",1557,2025-05-14,2025-05-14
1941-11-01,"CES9091000001",1601,2025-05-14,2025-05-14
1941-12-01,"CES9091000001",1606,2025-05-14,2025-05-14
1942-01-01,"CES9091000001",1756,2025-05-14,2025-05-14
1942-02-01,"CES9091000001",1834,2025-05-14,2025-05-14
1942-03-01,"CES9091000001",1949,2025-05-14,2025-05-14
1942-04-01,"CES9091000001",2053,2025-05-14,2025-05-14
1942-05-01,"CES9091000001",2134,2025-05-14,2025-05-14
1942-06-01,"CES9091000001",2205,2025-05-14,2025-05-14
1942-07-01,"CES9091000001",2332,2025-05-14,2025-05-14
1942-08-01,"CES9091000001",2583,2025-05-14,2025-05-14
1942-09-01,"CES9091000001",2630,2025-05-14,2025-05-14
1942-10-01,"CES9091000001",2734,2025-05-14,2025-05-14
1942-11-01,"CES9091000001",2825,2025-05-14,2025-05-14
1942-12-01,"CES9091000001",2799,2025-05-14,2025-05-14
1943-01-01,"CES9091000001",2956,2025-05-14,2025-05-14
1943-02-01,"CES9091000001",3027,2025-05-14,2025-05-14
1943-03-01,"CES9091000001",3055,2025-05-14,2025-05-14
1943-04-01,"CES9091000001",3062,2025-05-14,2025-05-14
1943-05-01,"CES9091000001",3082,2025-05-14,2025-05-14
1943-06-01,"CES9091000001",3128,2025-05-14,2025-05-14
1943-07-01,"CES9091000001",3106,2025-05-14,2025-05-14
1943-08-01,"CES9091000001",3025,2025-05-14,2025-05-14
1943-09-01,"CES9091000001",3016,2025-05-14,2025-05-14
1943-10-01,"CES9091000001",3025,2025-05-14,2025-05-14
1943-11-01,"CES9091000001",3050,2025-05-14,2025-05-14
1943-12-01,"CES9091000001",3045,2025-05-14,2025-05-14
1944-01-01,"CES9091000001",3041,2025-05-14,2025-05-14
1944-02-01,"CES9091000001",3030,2025-05-14,2025-05-14
1944-03-01,"CES9091000001",3021,2025-05-14,2025-05-14
1944-04-01,"CES9091000001",3022,2025-05-14,2025-05-14
1944-05-01,"CES9091000001",3028,2025-05-14,2025-05-14
1944-06-01,"CES9091000001",3043,2025-05-14,2025-05-14
1944-07-01,"CES9091000001",3070,2025-05-14,2025-05-14
1944-08-01,"CES9091000001",3095,2025-05-14,2025-05-14
1944-09-01,"CES9091000001",3107,2025-05-14,2025-05-14
1944-10-01,"CES9091000001",3122,2025-05-14,2025-05-14
1944-11-01,"CES9091000001",3144,2025-05-14,2025-05-14
1944-12-01,"CES9091000001",3138,2025-05-14,2025-05-14
1945-01-01,"CES9091000001",3134,2025-05-14,2025-05-14
1945-02-01,"CES9091000001",3134,2025-05-14,2025-05-14
1945-03-01,"CES9091000001",3120,2025-05-14,2025-05-14
1945-04-01,"CES9091000001",3092,2025-05-14,2025-05-14
1945-05-01,"CES9091000001",3065,2025-05-14,2025-05-14
1945-06-01,"CES9091000001",3066,2025-05-14,2025-05-14
1945-07-01,"CES9091000001",3053,2025-05-14,2025-05-14
1945-08-01,"CES9091000001",2992,2025-05-14,2025-05-14
1945-09-01,"CES9091000001",2786,2025-05-14,2025-05-14
1945-10-01,"CES9091000001",2691,2025-05-14,2025-05-14
1945-11-01,"CES9091000001",2652,2025-05-14,2025-05-14
1945-12-01,"CES9091000001",2566,2025-05-14,2025-05-14
1946-01-01,"CES9091000001",2564,2025-05-14,2025-05-14
1946-02-01,"CES9091000001",2527,2025-05-14,2025-05-14
1946-03-01,"CES9091000001",2488,2025-05-14,2025-05-14
1946-04-01,"CES9091000001",2477,2025-05-14,2025-05-14
1946-05-01,"CES9091000001",2432,2025-05-14,2025-05-14
1946-06-01,"CES9091000001",2370,2025-05-14,2025-05-14
1946-07-01,"CES9091000001",2353,2025-05-14,2025-05-14
1946-08-01,"CES9091000001",2319,2025-05-14,2025-05-14
1946-09-01,"CES9091000001",2267,2025-05-14,2025-05-14
1946-10-01,"CES9091000001",2234,2025-05-14,2025-05-14
1946-11-01,"CES9091000001",2177,2025-05-14,2025-05-14
1946-12-01,"CES9091000001",2163,2025-05-14,2025-05-14
1947-01-01,"CES9091000001",2143,2025-05-14,2025-05-14
1947-02-01,"CES9091000001",2110,2025-05-14,2025-05-14
1947-03-01,"CES9091000001",2077,2025-05-14,2025-05-14
1947-04-01,"CES9091000001",2035,2025-05-14,2025-05-14
1947-05-01,"CES9091000001",2002,2025-05-14,2025-05-14
1947-06-01,"CES9091000001",1946,2025-05-14,2025-05-14
1947-07-01,"CES9091000001",1909,2025-05-14,2025-05-14
1947-08-01,"CES9091000001",1896,2025-05-14,2025-05-14
1947-09-01,"CES9091000001",1901,2025-05-14,2025-05-14
1947-10-01,"CES9091000001",1912,2025-05-14,2025-05-14
1947-11-01,"CES9091000001",1916,2025-05-14,2025-05-14
1947-12-01,"CES9091000001",1948,2025-05-14,2025-05-14
1948-01-01,"CES9091000001",1889,2025-05-14,2025-05-14
1948-02-01,"CES9091000001",1884,2025-05-14,2025-05-14
1948-03-01,"CES9091000001",1884,2025-05-14,2025-05-14
1948-04-01,"CES9091000001",1889,2025-05-14,2025-05-14
1948-05-01,"CES9091000001",1901,2025-05-14,2025-05-14
1948-06-01,"CES9091000001",1942,2025-05-14,2025-05-14
1948-07-01,"CES9091000001",1964,2025-05-14,2025-05-14
1948-08-01,"CES9091000001",1981,2025-05-14,2025-05-14
1948-09-01,"CES9091000001",1998,2025-05-14,2025-05-14
1948-10-01,"CES9091000001",2011,2025-05-14,2025-05-14
1948-11-01,"CES9091000001",2029,2025-05-14,2025-05-14
1948-12-01,"CES9091000001",2049,2025-05-14,2025-05-14
1949-01-01,"CES9091000001",2025,2025-05-14,2025-05-14
1949-02-01,"CES9091000001",2008,2025-05-14,2025-05-14
1949-03-01,"CES9091000001",2004,2025-05-14,2025-05-14
1949-04-01,"CES9091000001",2011,2025-05-14,2025-05-14
1949-05-01,"CES9091000001",2027,2025-05-14,2025-05-14
1949-06-01,"CES9091000001",2025,2025-05-14,2025-05-14
1949-07-01,"CES9091000001",2027,2025-05-14,2025-05-14
1949-08-01,"CES9091000001",2011,2025-05-14,2025-05-14
1949-09-01,"CES9091000001",1991,2025-05-14,2025-05-14
1949-10-01,"CES9091000001",1957,2025-05-14,2025-05-14
1949-11-01,"CES9091000001",1943,2025-05-14,2025-05-14
1949-12-01,"CES9091000001",1974,2025-05-14,2025-05-14
1950-01-01,"CES9091000001",1921,2025-05-14,2025-05-14
1950-02-01,"CES9091000001",1903,2025-05-14,2025-05-14
1950-03-01,"CES9091000001",2038,2025-05-14,2025-05-14
1950-04-01,"CES9091000001",2032,2025-05-14,2025-05-14
1950-05-01,"CES9091000001",1951,2025-05-14,2025-05-14
1950-06-01,"CES9091000001",1914,2025-05-14,2025-05-14
1950-07-01,"CES9091000001",1947,2025-05-14,2025-05-14
1950-08-01,"CES9091000001",2019,2025-05-14,2025-05-14
1950-09-01,"CES9091000001",2067,2025-05-14,2025-05-14
1950-10-01,"CES9091000001",2113,2025-05-14,2025-05-14
1950-11-01,"CES9091000001",2147,2025-05-14,2025-05-14
1950-12-01,"CES9091000001",2190,2025-05-14,2025-05-14
1951-01-01,"CES9091000001",2225,2025-05-14,2025-05-14
1951-02-01,"CES9091000001",2273,2025-05-14,2025-05-14
1951-03-01,"CES9091000001",2315,2025-05-14,2025-05-14
1951-04-01,"CES9091000001",2357,2025-05-14,2025-05-14
1951-05-01,"CES9091000001",2403,2025-05-14,2025-05-14
1951-06-01,"CES9091000001",2436,2025-05-14,2025-05-14
1951-07-01,"CES9091000001",2466,2025-05-14,2025-05-14
1951-08-01,"CES9091000001",2473,2025-05-14,2025-05-14
1951-09-01,"CES9091000001",2478,2025-05-14,2025-05-14
1951-10-01,"CES9091000001",2493,2025-05-14,2025-05-14
1951-11-01,"CES9091000001",2505,2025-05-14,2025-05-14
1951-12-01,"CES9091000001",2532,2025-05-14,2025-05-14
1952-01-01,"CES9091000001",2518,2025-05-14,2025-05-14
1952-02-01,"CES9091000001",2513,2025-05-14,2025-05-14
1952-03-01,"CES9091000001",2515,2025-05-14,2025-05-14
1952-04-01,"CES9091000001",2522,2025-05-14,2025-05-14
1952-05-01,"CES9091000001",2533,2025-05-14,2025-05-14
