"date","series_id","value","realtime_start","realtime_end"
1939-01-01,"USFIRE",1371,2025-05-14,2025-05-14
1939-02-01,"USFIRE",1372,2025-05-14,2025-05-14
1939-03-01,"USFIRE",1376,2025-05-14,2025-05-14
1939-04-01,"USFIRE",1370,2025-05-14,2025-05-14
1939-05-01,"USFIRE",1379,2025-05-14,2025-05-14
1939-06-01,"USFIRE",1381,2025-05-14,2025-05-14
1939-07-01,"USFIRE",1386,2025-05-14,2025-05-14
1939-08-01,"USFIRE",1392,2025-05-14,2025-05-14
1939-09-01,"USFIRE",1406,2025-05-14,2025-05-14
1939-10-01,"USFIRE",1398,2025-05-14,2025-05-14
1939-11-01,"USFIRE",1400,2025-05-14,2025-05-14
1939-12-01,"USFIRE",1405,2025-05-14,2025-05-14
1940-01-01,"USFIRE",1409,2025-05-14,2025-05-14
1940-02-01,"USFIRE",1415,2025-05-14,2025-05-14
1940-03-01,"USFIRE",1416,2025-05-14,2025-05-14
1940-04-01,"USFIRE",1419,2025-05-14,2025-05-14
1940-05-01,"USFIRE",1421,2025-05-14,2025-05-14
1940-06-01,"USFIRE",1423,2025-05-14,2025-05-14
1940-07-01,"USFIRE",1423,2025-05-14,2025-05-14
1940-08-01,"USFIRE",1427,2025-05-14,2025-05-14
1940-09-01,"USFIRE",1428,2025-05-14,2025-05-14
1940-10-01,"USFIRE",1432,2025-05-14,2025-05-14
1940-11-01,"USFIRE",1436,2025-05-14,2025-05-14
1940-12-01,"USFIRE",1436,2025-05-14,2025-05-14
1941-01-01,"USFIRE",1438,2025-05-14,2025-05-14
1941-02-01,"USFIRE",1439,2025-05-14,2025-05-14
1941-03-01,"USFIRE",1444,2025-05-14,2025-05-14
1941-04-01,"USFIRE",1458,2025-05-14,2025-05-14
1941-05-01,"USFIRE",1460,2025-05-14,2025-05-14
1941-06-01,"USFIRE",1468,2025-05-14,2025-05-14
1941-07-01,"USFIRE",1475,2025-05-14,2025-05-14
1941-08-01,"USFIRE",1478,2025-05-14,2025-05-14
1941-09-01,"USFIRE",1482,2025-05-14,2025-05-14
1941-10-01,"USFIRE",1482,2025-05-14,2025-05-14
1941-11-01,"USFIRE",1481,2025-05-14,2025-05-14
1941-12-01,"USFIRE",1481,2025-05-14,2025-05-14
1942-01-01,"USFIRE",1485,2025-05-14,2025-05-14
1942-02-01,"USFIRE",1480,2025-05-14,2025-05-14
1942-03-01,"USFIRE",1478,2025-05-14,2025-05-14
1942-04-01,"USFIRE",1468,2025-05-14,2025-05-14
1942-05-01,"USFIRE",1460,2025-05-14,2025-05-14
1942-06-01,"USFIRE",1453,2025-05-14,2025-05-14
1942-07-01,"USFIRE",1446,2025-05-14,2025-05-14
1942-08-01,"USFIRE",1441,2025-05-14,2025-05-14
1942-09-01,"USFIRE",1440,2025-05-14,2025-05-14
1942-10-01,"USFIRE",1439,2025-05-14,2025-05-14
1942-11-01,"USFIRE",1434,2025-05-14,2025-05-14
1942-12-01,"USFIRE",1432,2025-05-14,2025-05-14
1943-01-01,"USFIRE",1427,2025-05-14,2025-05-14
1943-02-01,"USFIRE",1427,2025-05-14,2025-05-14
1943-03-01,"USFIRE",1426,2025-05-14,2025-05-14
1943-04-01,"USFIRE",1432,2025-05-14,2025-05-14
1943-05-01,"USFIRE",1435,2025-05-14,2025-05-14
1943-06-01,"USFIRE",1446,2025-05-14,2025-05-14
1943-07-01,"USFIRE",1435,2025-05-14,2025-05-14
