"date","series_id","value","realtime_start","realtime_end"
1939-01-01,"USGOVT",3988,2025-05-14,2025-05-14
1939-02-01,"USGOVT",4001,2025-05-14,2025-05-14
1939-03-01,"USGOVT",4002,2025-05-14,2025-05-14
1939-04-01,"USGOVT",4002,2025-05-14,2025-05-14
1939-05-01,"USGOVT",4006,2025-05-14,2025-05-14
1939-06-01,"USGOVT",4003,2025-05-14,2025-05-14
1939-07-01,"USGOVT",4019,2025-05-14,2025-05-14
1939-08-01,"USGOVT",4046,2025-05-14,2025-05-14
1939-09-01,"USGOVT",4076,2025-05-14,2025-05-14
1939-10-01,"USGOVT",4089,2025-05-14,2025-05-14
1939-11-01,"USGOVT",4109,2025-05-14,2025-05-14
1939-12-01,"USGOVT",4134,2025-05-14,2025-05-14
1940-01-01,"USGOVT",4150,2025-05-14,2025-05-14
1940-02-01,"USGOVT",4150,2025-05-14,2025-05-14
1940-03-01,"USGOVT",4151,2025-05-14,2025-05-14
1940-04-01,"USGOVT",4152,2025-05-14,2025-05-14
1940-05-01,"USGOVT",4172,2025-05-14,2025-05-14
1940-06-01,"USGOVT",4218,2025-05-14,2025-05-14
1940-07-01,"USGOVT",4261,2025-05-14,2025-05-14
1940-08-01,"USGOVT",4282,2025-05-14,2025-05-14
1940-09-01,"USGOVT",4312,2025-05-14,2025-05-14
1940-10-01,"USGOVT",4353,2025-05-14,2025-05-14
1940-11-01,"USGOVT",4396,2025-05-14,2025-05-14
1940-12-01,"USGOVT",4415,2025-05-14,2025-05-14
1941-01-01,"USGOVT",4468,2025-05-14,2025-05-14
1941-02-01,"USGOVT",4504,2025-05-14,2025-05-14
1941-03-01,"USGOVT",4535,2025-05-14,2025-05-14
1941-04-01,"USGOVT",4585,2025-05-14,2025-05-14
1941-05-01,"USGOVT",4642,2025-05-14,2025-05-14
1941-06-01,"USGOVT",4701,2025-05-14,2025-05-14
1941-07-01,"USGOVT",4750,2025-05-14,2025-05-14
1941-08-01,"USGOVT",4821,2025-05-14,2025-05-14
1941-09-01,"USGOVT",4891,2025-05-14,2025-05-14
1941-10-01,"USGOVT",4907,2025-05-14,2025-05-14
1941-11-01,"USGOVT",4949,2025-05-14,2025-05-14
1941-12-01,"USGOVT",4971,2025-05-14,2025-05-14
1942-01-01,"USGOVT",5089,2025-05-14,2025-05-14
1942-02-01,"USGOVT",5146,2025-05-14,2025-05-14
1942-03-01,"USGOVT",5257,2025-05-14,2025-05-14
1942-04-01,"USGOVT",5357,2025-05-14,2025-05-14
1942-05-01,"USGOVT",5431,2025-05-14,2025-05-14
1942-06-01,"USGOVT",5510,2025-05-14,2025-05-14
1942-07-01,"USGOVT",5591,2025-05-14,2025-05-14
1942-08-01,"USGOVT",5814,2025-05-14,2025-05-14
1942-09-01,"USGOVT",5866,2025-05-14,2025-05-14
1942-10-01,"USGOVT",5956,2025-05-14,2025-05-14
1942-11-01,"USGOVT",6026,2025-05-14,2025-05-14
1942-12-01,"USGOVT",6072,2025-05-14,2025-05-14
1943-01-01,"USGOVT",6132,2025-05-14,2025-05-14
1943-02-01,"USGOVT",6223,2025-05-14,2025-05-14
1943-03-01,"USGOVT",6257,2025-05-14,2025-05-14
1943-04-01,"USGOVT",6267,2025-05-14,2025-05-14
1943-05-01,"USGOVT",6281,2025-05-14,2025-05-14
1943-06-01,"USGOVT",6324,2025-05-14,2025-05-14
1943-07-01,"USGOVT",6257,2025-05-14,2025-05-14
1943-08-01,"USGOVT",6151,2025-05-14,2025-05-14
1943-09-01,"USGOVT",6167,2025-05-14,2025-05-14
