"date","series_id","value","realtime_start","realtime_end"
1939-01-01,"USINFO",1112,2025-05-14,2025-05-14
1939-02-01,"USINFO",1118,2025-05-14,2025-05-14
1939-03-01,"USINFO",1126,2025-05-14,2025-05-14
1939-04-01,"USINFO",1127,2025-05-14,2025-05-14
1939-05-01,"USINFO",1125,2025-05-14,2025-05-14
1939-06-01,"USINFO",1131,2025-05-14,2025-05-14
1939-07-01,"USINFO",1131,2025-05-14,2025-05-14
1939-08-01,"USINFO",1134,2025-05-14,2025-05-14
1939-09-01,"USINFO",1152,2025-05-14,2025-05-14
1939-10-01,"USINFO",1179,2025-05-14,2025-05-14
1939-11-01,"USINFO",1179,2025-05-14,2025-05-14
1939-12-01,"USINFO",1178,2025-05-14,2025-05-14
1940-01-01,"USINFO",1183,2025-05-14,2025-05-14
1940-02-01,"USINFO",1186,2025-05-14,2025-05-14
1940-03-01,"USINFO",1182,2025-05-14,2025-05-14
1940-04-01,"USINFO",1174,2025-05-14,2025-05-14
1940-05-01,"USINFO",1178,2025-05-14,2025-05-14
1940-06-01,"USINFO",1178,2025-05-14,2025-05-14
1940-07-01,"USINFO",1178,2025-05-14,2025-05-14
1940-08-01,"USINFO",1191,2025-05-14,2025-05-14
1940-09-01,"USINFO",1205,2025-05-14,2025-05-14
1940-10-01,"USINFO",1222,2025-05-14,2025-05-14
1940-11-01,"USINFO",1231,2025-05-14,2025-05-14
1940-12-01,"USINFO",1241,2025-05-14,2025-05-14
1941-01-01,"USINFO",1253,2025-05-14,2025-05-14
1941-02-01,"USINFO",1267,2025-05-14,2025-05-14
1941-03-01,"USINFO",1284,2025-05-14,2025-05-14
1941-04-01,"USINFO",1305,2025-05-14,2025-05-14
1941-05-01,"USINFO",1327,2025-05-14,2025-05-14
1941-06-01,"USINFO",1345,2025-05-14,2025-05-14
1941-07-01,"USINFO",1363,2025-05-14,2025-05-14
1941-08-01,"USINFO",1376,2025-05-14,2025-05-14
1941-09-01,"USINFO",1386,2025-05-14,2025-05-14
1941-10-01,"USINFO",1396,2025-05-14,2025-05-14
1941-11-01,"USINFO",1399,2025-05-14,2025-05-14
1941-12-01,"USINFO",1401,2025-05-14,2025-05-14
1942-01-01,"USINFO",1408,2025-05-14,2025-05-14
1942-02-01,"USINFO",1415,2025-05-14,2025-05-14
1942-03-01,"USINFO",1426,2025-05-14,2025-05-14
1942-04-01,"USINFO",1440,2025-05-14,2025-05-14
1942-05-01,"USINFO",1450,2025-05-14,2025-05-14
1942-06-01,"USINFO",1457,2025-05-14,2025-05-14
1942-07-01,"USINFO",1471,2025-05-14,2025-05-14
1942-08-01,"USINFO",1486,2025-05-14,2025-05-14
1942-09-01,"USINFO",1500,2025-05-14,2025-05-14
1942-10-01,"USINFO",1514,2025-05-14,2025-05-14
1942-11-01,"USINFO",1527,2025-05-14,2025-05-14
1942-12-01,"USINFO",1547,2025-05-14,2025-05-14
1943-01-01,"USINFO",1562,2025-05-14,2025-05-14
1943-02-01,"USINFO",1570,2025-05-14,2025-05-14
1943-03-01,"USINFO",1582,2025-05-14,2025-05-14
1943-04-01,"USINFO",1590,2025-05-14,2025-05-14
1943-05-01,"USINFO",1594,2025-05-14,2025-05-14
1943-06-01,"USINFO",1606,2025-05-14,2025-05-14
1943-07-01,"USINFO",1614,2025-05-14,2025-05-14
1943-08-01,"USINFO",1618,2025-05-14,2025-05-14
1943-09-01,"USINFO",1619,2025-05-14,2025-05-14
1943-10-01,"USINFO",1631,2025-05-14,2025-05-14
1943-11-01,"USINFO",1640,2025-05-14,2025-05-14
1943-12-01,"USINFO",1640,2025-05-14,2025-05-14
1944-01-01,"USINFO",1641,2025-05-14,2025-05-14
1944-02-01,"USINFO",1645,2025-05-14,2025-05-14
1944-03-01,"USINFO",1643,2025-05-14,2025-05-14
1944-04-01,"USINFO",1640,2025-05-14,2025-05-14
1944-05-01,"USINFO",1639,2025-05-14,2025-05-14
1944-06-01,"USINFO",1637,2025-05-14,2025-05-14
1944-07-01,"USINFO",1633,2025-05-14,2025-05-14
1944-08-01,"USINFO",1631,2025-05-14,2025-05-14
1944-09-01,"USINFO",1626,2025-05-14,2025-05-14
1944-10-01,"USINFO",1622,2025-05-14,2025-05-14
1944-11-01,"USINFO",1625,2025-05-14,2025-05-14
1944-12-01,"USINFO",1634,2025-05-14,2025-05-14
1945-01-01,"USINFO",1631,2025-05-14,2025-05-14
1945-02-01,"USINFO",1634,2025-05-14,2025-05-14
1945-03-01,"USINFO",1636,2025-05-14,2025-05-14
1945-04-01,"USINFO",1628,2025-05-14,2025-05-14
1945-05-01,"USINFO",1620,2025-05-14,2025-05-14
1945-06-01,"USINFO",1609,2025-05-14,2025-05-14
1945-07-01,"USINFO",1596,2025-05-14,2025-05-14
1945-08-01,"USINFO",1576,2025-05-14,2025-05-14
1945-09-01,"USINFO",1498,2025-05-14,2025-05-14
1945-10-01,"USINFO",1499,2025-05-14,2025-05-14
1945-11-01,"USINFO",1517,2025-05-14,2025-05-14
1945-12-01,"USINFO",1529,2025-05-14,2025-05-14
1946-01-01,"USINFO",1543,2025-05-14,2025-05-14
1946-02-01,"USINFO",1512,2025-05-14,2025-05-14
1946-03-01,"USINFO",1553,2025-05-14,2025-05-14
1946-04-01,"USINFO",1582,2025-05-14,2025-05-14
1946-05-01,"USINFO",1575,2025-05-14,2025-05-14
1946-06-01,"USINFO",1583,2025-05-14,2025-05-14
1946-07-01,"USINFO",1600,2025-05-14,2025-05-14
1946-08-01,"USINFO",1618,2025-05-14,2025-05-14
1946-09-01,"USINFO",1625,2025-05-14,2025-05-14
1946-10-01,"USINFO",1636,2025-05-14,2025-05-14
1946-11-01,"USINFO",1646,2025-05-14,2025-05-14
1946-12-01,"USINFO",1646,2025-05-14,2025-05-14
1947-01-01,"USINFO",1653,2025-05-14,2025-05-14
1947-02-01,"USINFO",1652,2025-05-14,2025-05-14
1947-03-01,"USINFO",1662,2025-05-14,2025-05-14
1947-04-01,"USINFO",1631,2025-05-14,2025-05-14
1947-05-01,"USINFO",1643,2025-05-14,2025-05-14
1947-06-01,"USINFO",1657,2025-05-14,2025-05-14
1947-07-01,"USINFO",1654,2025-05-14,2025-05-14
1947-08-01,"USINFO",1659,2025-05-14,2025-05-14
1947-09-01,"USINFO",1665,2025-05-14,2025-05-14
1947-10-01,"USINFO",1667,2025-05-14,2025-05-14
1947-11-01,"USINFO",1668,2025-05-14,2025-05-14
1947-12-01,"USINFO",1679,2025-05-14,2025-05-14
1948-01-01,"USINFO",1669,2025-05-14,2025-05-14
1948-02-01,"USINFO",1670,2025-05-14,2025-05-14
1948-03-01,"USINFO",1678,2025-05-14,2025-05-14
1948-04-01,"USINFO",1653,2025-05-14,2025-05-14
1948-05-01,"USINFO",1664,2025-05-14,2025-05-14
1948-06-01,"USINFO",1670,2025-05-14,2025-05-14
1948-07-01,"USINFO",1677,2025-05-14,2025-05-14
1948-08-01,"USINFO",1670,2025-05-14,2025-05-14
1948-09-01,"USINFO",1671,2025-05-14,2025-05-14
1948-10-01,"USINFO",1670,2025-05-14,2025-05-14
1948-11-01,"USINFO",1663,2025-05-14,2025-05-14
1948-12-01,"USINFO",1662,2025-05-14,2025-05-14
1949-01-01,"USINFO",1638,2025-05-14,2025-05-14
1949-02-01,"USINFO",1628,2025-05-14,2025-05-14
1949-03-01,"USINFO",1612,2025-05-14,2025-05-14
1949-04-01,"USINFO",1604,2025-05-14,2025-05-14
1949-05-01,"USINFO",1596,2025-05-14,2025-05-14
1949-06-01,"USINFO",1585,2025-05-14,2025-05-14
1949-07-01,"USINFO",1572,2025-05-14,2025-05-14
1949-08-01,"USINFO",1565,2025-05-14,2025-05-14
1949-09-01,"USINFO",1564,2025-05-14,2025-05-14
1949-10-01,"USINFO",1532,2025-05-14,2025-05-14
1949-11-01,"USINFO",1540,2025-05-14,2025-05-14
1949-12-01,"USINFO",1558,2025-05-14,2025-05-14
1950-01-01,"USINFO",1562,2025-05-14,2025-05-14
1950-02-01,"USINFO",1559,2025-05-14,2025-05-14
1950-03-01,"USINFO",1570,2025-05-14,2025-05-14
1950-04-01,"USINFO",1587,2025-05-14,2025-05-14
1950-05-01,"USINFO",1586,2025-05-14,2025-05-14
1950-06-01,"USINFO",1619,2025-05-14,2025-05-14
1950-07-01,"USINFO",1634,2025-05-14,2025-05-14
1950-08-01,"USINFO",1658,2025-05-14,2025-05-14
1950-09-01,"USINFO",1670,2025-05-14,2025-05-14
1950-10-01,"USINFO",1681,2025-05-14,2025-05-14
1950-11-01,"USINFO",1684,2025-05-14,2025-05-14
1950-12-01,"USINFO",1689,2025-05-14,2025-05-14
1951-01-01,"USINFO",1701,2025-05-14,2025-05-14
1951-02-01,"USINFO",1713,2025-05-14,2025-05-14
1951-03-01,"USINFO",1722,2025-05-14,2025-05-14
1951-04-01,"USINFO",1726,2025-05-14,2025-05-14
1951-05-01,"USINFO",1723,2025-05-14,2025-05-14
1951-06-01,"USINFO",1725,2025-05-14,2025-05-14
1951-07-01,"USINFO",1722,2025-05-14,2025-05-14
1951-08-01,"USINFO",1717,2025-05-14,2025-05-14
1951-09-01,"USINFO",1714,2025-05-14,2025-05-14
1951-10-01,"USINFO",1713,2025-05-14,2025-05-14
1951-11-01,"USINFO",1718,2025-05-14,2025-05-14
1951-12-01,"USINFO",1721,2025-05-14,2025-05-14
1952-01-01,"USINFO",1726,2025-05-14,2025-05-14
1952-02-01,"USINFO",1731,2025-05-14,2025-05-14
1952-03-01,"USINFO",1732,2025-05-14,2025-05-14
1952-04-01,"USINFO",1724,2025-05-14,2025-05-14
1952-05-01,"USINFO",1728,2025-05-14,2025-05-14
1952-06-01,"USINFO",1713,2025-05-14,2025-05-14
1952-07-01,"USINFO",1695,2025-05-14,2025-05-14
1952-08-01,"USINFO",1731,2025-05-14,2025-05-14
1952-09-01,"USINFO",1747,2025-05-14,2025-05-14
1952-10-01,"USINFO",1759,2025-05-14,2025-05-14
1952-11-01,"USINFO",1768,2025-05-14,2025-05-14
1952-12-01,"USINFO",1776,2025-05-14,2025-05-14
1953-01-01,"USINFO",1778,2025-05-14,2025-05-14
1953-02-01,"USINFO",1784,2025-05-14,2025-05-14
1953-03-01,"USINFO",1792,2025-05-14,2025-05-14
1953-04-01,"USINFO",1794,2025-05-14,2025-05-14
1953-05-01,"USINFO",1800,2025-05-14,2025-05-14
1953-06-01,"USINFO",1800,2025-05-14,2025-05-14
1953-07-01,"USINFO",1802,2025-05-14,2025-05-14
1953-08-01,"USINFO",1796,2025-05-14,2025-05-14
1953-09-01,"USINFO",1787,2025-05-14,2025-05-14
1953-10-01,"USINFO",1776,2025-05-14,2025-05-14
