"date","series_id","value","realtime_start","realtime_end"
1955-01-01,"CES9093000001",3516,2025-05-14,2025-05-14
1955-02-01,"CES9093000001",3491,2025-05-14,2025-05-14
1955-03-01,"CES9093000001",3503,2025-05-14,2025-05-14
1955-04-01,"CES9093000001",3519,2025-05-14,2025-05-14
1955-05-01,"CES9093000001",3543,2025-05-14,2025-05-14
1955-06-01,"CES9093000001",3559,2025-05-14,2025-05-14
1955-07-01,"CES9093000001",3582,2025-05-14,2025-05-14
1955-08-01,"CES9093000001",3546,2025-05-14,2025-05-14
1955-09-01,"CES9093000001",3572,2025-05-14,2025-05-14
1955-10-01,"CES9093000001",3623,2025-05-14,2025-05-14
1955-11-01,"CES9093000001",3592,2025-05-14,2025-05-14
1955-12-01,"CES9093000001",3656,2025-05-14,2025-05-14
1956-01-01,"CES9093000001",3677,2025-05-14,2025-05-14
1956-02-01,"CES9093000001",3702,2025-05-14,2025-05-14
1956-03-01,"CES9093000001",3732,2025-05-14,2025-05-14
1956-04-01,"CES9093000001",3754,2025-05-14,2025-05-14
1956-05-01,"CES9093000001",3815,2025-05-14,2025-05-14
1956-06-01,"CES9093000001",3806,2025-05-14,2025-05-14
1956-07-01,"CES9093000001",3827,2025-05-14,2025-05-14
1956-08-01,"CES9093000001",3859,2025-05-14,2025-05-14
1956-09-01,"CES9093000001",3879,2025-05-14,2025-05-14
1956-10-01,"CES9093000001",3897,2025-05-14,2025-05-14
1956-11-01,"CES9093000001",3930,2025-05-14,2025-05-14
1956-12-01,"CES9093000001",3950,2025-05-14,2025-05-14
1957-01-01,"CES9093000001",3974,2025-05-14,2025-05-14
1957-02-01,"CES9093000001",3993,2025-05-14,2025-05-14
1957-03-01,"CES9093000001",4013,2025-05-14,2025-05-14
1957-04-01,"CES9093000001",4039,2025-05-14,2025-05-14
1957-05-01,"CES9093000001",4052,2025-05-14,2025-05-14
1957-06-01,"CES9093000001",4045,2025-05-14,2025-05-14
1957-07-01,"CES9093000001",4097,2025-05-14,2025-05-14
1957-08-01,"CES9093000001",4100,2025-05-14,2025-05-14
1957-09-01,"CES9093000001",4098,2025-05-14,2025-05-14
1957-10-01,"CES9093000001",4135,2025-05-14,2025-05-14
1957-11-01,"CES9093000001",4145,2025-05-14,2025-05-14
1957-12-01,"CES9093000001",4157,2025-05-14,2025-05-14
1958-01-01,"CES9093000001",4168,2025-05-14,2025-05-14
1958-02-01,"CES9093000001",4174,2025-05-14,2025-05-14
1958-03-01,"CES9093000001",4183,2025-05-14,2025-05-14
1958-04-01,"CES9093000001",4195,2025-05-14,2025-05-14
1958-05-01,"CES9093000001",4209,2025-05-14,2025-05-14
1958-06-01,"CES9093000001",4223,2025-05-14,2025-05-14
1958-07-01,"CES9093000001",4247,2025-05-14,2025-05-14
1958-08-01,"CES9093000001",4272,2025-05-14,2025-05-14
1958-09-01,"CES9093000001",4272,2025-05-14,2025-05-14
1958-10-01,"CES9093000001",4273,2025-05-14,2025-05-14
1958-11-01,"CES9093000001",4282,2025-05-14,2025-05-14
1958-12-01,"CES9093000001",4289,2025-05-14,2025-05-14
1959-01-01,"CES9093000001",4298,2025-05-14,2025-05-14
1959-02-01,"CES9093000001",4307,2025-05-14,2025-05-14
1959-03-01,"CES9093000001",4319,2025-05-14,2025-05-14
1959-04-01,"CES9093000001",4333,2025-05-14,2025-05-14
1959-05-01,"CES9093000001",4343,2025-05-14,2025-05-14
1959-06-01,"CES9093000001",4333,2025-05-14,2025-05-14
1959-07-01,"CES9093000001",4360,2025-05-14,2025-05-14
1959-08-01,"CES9093000001",4370,2025-05-14,2025-05-14
1959-09-01,"CES9093000001",4412,2025-05-14,2025-05-14
1959-10-01,"CES9093000001",4429,2025-05-14,2025-05-14
1959-11-01,"CES9093000001",4430,2025-05-14,2025-05-14
1959-12-01,"CES9093000001",4454,2025-05-14,2025-05-14
1960-01-01,"CES9093000001",4471,2025-05-14,2025-05-14
1960-02-01,"CES9093000001",4486,2025-05-14,2025-05-14
1960-03-01,"CES9093000001",4493,2025-05-14,2025-05-14
1960-04-01,"CES9093000001",4506,2025-05-14,2025-05-14
1960-05-01,"CES9093000001",4523,2025-05-14,2025-05-14
1960-06-01,"CES9093000001",4545,2025-05-14,2025-05-14
1960-07-01,"CES9093000001",4555,2025-05-14,2025-05-14
