"date","series_id","value","realtime_start","realtime_end"
1939-01-01,"MANEMP",9077,2025-05-14,2025-05-14
1939-02-01,"MANEMP",9175,2025-05-14,2025-05-14
1939-03-01,"MANEMP",9275,2025-05-14,2025-05-14
1939-04-01,"MANEMP",9309,2025-05-14,2025-05-14
1939-05-01,"MANEMP",9299,2025-05-14,2025-05-14
1939-06-01,"MANEMP",9315,2025-05-14,2025-05-14
1939-07-01,"MANEMP",9231,2025-05-14,2025-05-14
1939-08-01,"MANEMP",9400,2025-05-14,2025-05-14
1939-09-01,"MANEMP",9604,2025-05-14,2025-05-14
1939-10-01,"MANEMP",9873,2025-05-14,2025-05-14
1939-11-01,"MANEMP",9896,2025-05-14,2025-05-14
1939-12-01,"MANEMP",9949,2025-05-14,2025-05-14
1940-01-01,"MANEMP",9927,2025-05-14,2025-05-14
1940-02-01,"MANEMP",9916,2025-05-14,2025-05-14
1940-03-01,"MANEMP",9884,2025-05-14,2025-05-14
1940-04-01,"MANEMP",9817,2025-05-14,2025-05-14
1940-05-01,"MANEMP",9810,2025-05-14,2025-05-14
1940-06-01,"MANEMP",9832,2025-05-14,2025-05-14
1940-07-01,"MANEMP",9766,2025-05-14,2025-05-14
1940-08-01,"MANEMP",10048,2025-05-14,2025-05-14
1940-09-01,"MANEMP",10258,2025-05-14,2025-05-14
1940-10-01,"MANEMP",10471,2025-05-14,2025-05-14
1940-11-01,"MANEMP",10643,2025-05-14,2025-05-14
1940-12-01,"MANEMP",10847,2025-05-14,2025-05-14
1941-01-01,"MANEMP",10993,2025-05-14,2025-05-14
1941-02-01,"MANEMP",11211,2025-05-14,2025-05-14
1941-03-01,"MANEMP",11409,2025-05-14,2025-05-14
1941-04-01,"MANEMP",11698,2025-05-14,2025-05-14
1941-05-01,"MANEMP",11957,2025-05-14,2025-05-14
1941-06-01,"MANEMP",12204,2025-05-14,2025-05-14
1941-07-01,"MANEMP",12382,2025-05-14,2025-05-14
1941-08-01,"MANEMP",12532,2025-05-14,2025-05-14
1941-09-01,"MANEMP",12683,2025-05-14,2025-05-14
1941-10-01,"MANEMP",12770,2025-05-14,2025-05-14
1941-11-01,"MANEMP",12810,2025-05-14,2025-05-14
1941-12-01,"MANEMP",12876,2025-05-14,2025-05-14
1942-01-01,"MANEMP",12965,2025-05-14,2025-05-14
1942-02-01,"MANEMP",13127,2025-05-14,2025-05-14
1942-03-01,"MANEMP",13311,2025-05-14,2025-05-14
1942-04-01,"MANEMP",13509,2025-05-14,2025-05-14
1942-05-01,"MANEMP",13704,2025-05-14,2025-05-14
1942-06-01,"MANEMP",13842,2025-05-14,2025-05-14
