"date","series_id","value","realtime_start","realtime_end"
1939-01-01,"USMINE",882,2025-05-14,2025-05-14
1939-02-01,"USMINE",884,2025-05-14,2025-05-14
1939-03-01,"USMINE",883,2025-05-14,2025-05-14
1939-04-01,"USMINE",624,2025-05-14,2025-05-14
1939-05-01,"USMINE",737,2025-05-14,2025-05-14
1939-06-01,"USMINE",868,2025-05-14,2025-05-14
1939-07-01,"USMINE",852,2025-05-14,2025-05-14
1939-08-01,"USMINE",859,2025-05-14,2025-05-14
1939-09-01,"USMINE",885,2025-05-14,2025-05-14
1939-10-01,"USMINE",925,2025-05-14,2025-05-14
1939-11-01,"USMINE",939,2025-05-14,2025-05-14
1939-12-01,"USMINE",930,2025-05-14,2025-05-14
1940-01-01,"USMINE",925,2025-05-14,2025-05-14
1940-02-01,"USMINE",929,2025-05-14,2025-05-14
1940-03-01,"USMINE",926,2025-05-14,2025-05-14
1940-04-01,"USMINE",920,2025-05-14,2025-05-14
1940-05-01,"USMINE",930,2025-05-14,2025-05-14
1940-06-01,"USMINE",918,2025-05-14,2025-05-14
1940-07-01,"USMINE",920,2025-05-14,2025-05-14
1940-08-01,"USMINE",923,2025-05-14,2025-05-14
1940-09-01,"USMINE",928,2025-05-14,2025-05-14
1940-10-01,"USMINE",932,2025-05-14,2025-05-14
1940-11-01,"USMINE",936,2025-05-14,2025-05-14
1940-12-01,"USMINE",939,2025-05-14,2025-05-14
1941-01-01,"USMINE",945,2025-05-14,2025-05-14
1941-02-01,"USMINE",951,2025-05-14,2025-05-14
1941-03-01,"USMINE",961,2025-05-14,2025-05-14
1941-04-01,"USMINE",681,2025-05-14,2025-05-14
1941-05-01,"USMINE",979,2025-05-14,2025-05-14
1941-06-01,"USMINE",990,2025-05-14,2025-05-14
1941-07-01,"USMINE",1001,2025-05-14,2025-05-14
1941-08-01,"USMINE",1013,2025-05-14,2025-05-14
1941-09-01,"USMINE",1020,2025-05-14,2025-05-14
1941-10-01,"USMINE",1022,2025-05-14,2025-05-14
1941-11-01,"USMINE",1021,2025-05-14,2025-05-14
1941-12-01,"USMINE",1024,2025-05-14,2025-05-14
1942-01-01,"USMINE",1029,2025-05-14,2025-05-14
1942-02-01,"USMINE",1021,2025-05-14,2025-05-14
1942-03-01,"USMINE",1014,2025-05-14,2025-05-14
1942-04-01,"USMINE",1022,2025-05-14,2025-05-14
1942-05-01,"USMINE",1025,2025-05-14,2025-05-14
1942-06-01,"USMINE",1019,2025-05-14,2025-05-14
1942-07-01,"USMINE",1018,2025-05-14,2025-05-14
1942-08-01,"USMINE",1011,2025-05-14,2025-05-14
1942-09-01,"USMINE",1002,2025-05-14,2025-05-14
1942-10-01,"USMINE",994,2025-05-14,2025-05-14
1942-11-01,"USMINE",989,2025-05-14,2025-05-14
1942-12-01,"USMINE",984,2025-05-14,2025-05-14
1943-01-01,"USMINE",974,2025-05-14,2025-05-14
1943-02-01,"USMINE",978,2025-05-14,2025-05-14
