"date","series_id","value","realtime_start","realtime_end"
1939-01-01,"NDMANEMP",4697,2025-05-14,2025-05-14
1939-02-01,"NDMANEMP",4721,2025-05-14,2025-05-14
1939-03-01,"NDMANEMP",4757,2025-05-14,2025-05-14
1939-04-01,"NDMANEMP",4759,2025-05-14,2025-05-14
1939-05-01,"NDMANEMP",4755,2025-05-14,2025-05-14
1939-06-01,"NDMANEMP",4754,2025-05-14,2025-05-14
1939-07-01,"NDMANEMP",4761,2025-05-14,2025-05-14
1939-08-01,"NDMANEMP",4822,2025-05-14,2025-05-14
1939-09-01,"NDMANEMP",4864,2025-05-14,2025-05-14
1939-10-01,"NDMANEMP",4928,2025-05-14,2025-05-14
1939-11-01,"NDMANEMP",4889,2025-05-14,2025-05-14
1939-12-01,"NDMANEMP",4852,2025-05-14,2025-05-14
1940-01-01,"NDMANEMP",4866,2025-05-14,2025-05-14
1940-02-01,"NDMANEMP",4858,2025-05-14,2025-05-14
1940-03-01,"NDMANEMP",4820,2025-05-14,2025-05-14
1940-04-01,"NDMANEMP",4772,2025-05-14,2025-05-14
1940-05-01,"NDMANEMP",4743,2025-05-14,2025-05-14
1940-06-01,"NDMANEMP",4742,2025-05-14,2025-05-14
1940-07-01,"NDMANEMP",4744,2025-05-14,2025-05-14
1940-08-01,"NDMANEMP",4805,2025-05-14,2025-05-14
1940-09-01,"NDMANEMP",4847,2025-05-14,2025-05-14
1940-10-01,"NDMANEMP",4917,2025-05-14,2025-05-14
1940-11-01,"NDMANEMP",4950,2025-05-14,2025-05-14
1940-12-01,"NDMANEMP",5011,2025-05-14,2025-05-14
1941-01-01,"NDMANEMP",5046,2025-05-14,2025-05-14
1941-02-01,"NDMANEMP",5101,2025-05-14,2025-05-14
1941-03-01,"NDMANEMP",5160,2025-05-14,2025-05-14
1941-04-01,"NDMANEMP",5244,2025-05-14,2025-05-14
1941-05-01,"NDMANEMP",5319,2025-05-14,2025-05-14
1941-06-01,"NDMANEMP",5390,2025-05-14,2025-05-14
1941-07-01,"NDMANEMP",5441,2025-05-14,2025-05-14
1941-08-01,"NDMANEMP",5477,2025-05-14,2025-05-14
1941-09-01,"NDMANEMP",5494,2025-05-14,2025-05-14
1941-10-01,"NDMANEMP",5496,2025-05-14,2025-05-14
1941-11-01,"NDMANEMP",5487,2025-05-14,2025-05-14
1941-12-01,"NDMANEMP",5490,2025-05-14,2025-05-14
1942-01-01,"NDMANEMP",5482,2025-05-14,2025-05-14
1942-02-01,"NDMANEMP",5498,2025-05-14,2025-05-14
1942-03-01,"NDMANEMP",5514,2025-05-14,2025-05-14
1942-04-01,"NDMANEMP",5533,2025-05-14,2025-05-14
1942-05-01,"NDMANEMP",5536,2025-05-14,2025-05-14
1942-06-01,"NDMANEMP",5499,2025-05-14,2025-05-14
1942-07-01,"NDMANEMP",5517,2025-05-14,2025-05-14
1942-08-01,"NDMANEMP",5522,2025-05-14,2025-05-14
1942-09-01,"NDMANEMP",5574,2025-05-14,2025-05-14
1942-10-01,"NDMANEMP",5556,2025-05-14,2025-05-14
1942-11-01,"NDMANEMP",5560,2025-05-14,2025-05-14
1942-12-01,"NDMANEMP",5586,2025-05-14,2025-05-14
1943-01-01,"NDMANEMP",5609,2025-05-14,2025-05-14
1943-02-01,"NDMANEMP",5595,2025-05-14,2025-05-14
1943-03-01,"NDMANEMP",5592,2025-05-14,2025-05-14
1943-04-01,"NDMANEMP",5580,2025-05-14,2025-05-14
1943-05-01,"NDMANEMP",5574,2025-05-14,2025-05-14
1943-06-01,"NDMANEMP",5601,2025-05-14,2025-05-14
1943-07-01,"NDMANEMP",5597,2025-05-14,2025-05-14
1943-08-01,"NDMANEMP",5582,2025-05-14,2025-05-14
1943-09-01,"NDMANEMP",5501,2025-05-14,2025-05-14
1943-10-01,"NDMANEMP",5540,2025-05-14,2025-05-14
1943-11-01,"NDMANEMP",5566,2025-05-14,2025-05-14
1943-12-01,"NDMANEMP",5536,2025-05-14,2025-05-14
1944-01-01,"NDMANEMP",5537,2025-05-14,2025-05-14
1944-02-01,"NDMANEMP",5537,2025-05-14,2025-05-14
