"date","series_id","value","realtime_start","realtime_end"
1939-01-01,"CES0800000001",14837,2025-05-14,2025-05-14
1939-02-01,"CES0800000001",14878,2025-05-14,2025-05-14
1939-03-01,"CES0800000001",14895,2025-05-14,2025-05-14
1939-04-01,"CES0800000001",14910,2025-05-14,2025-05-14
1939-05-01,"CES0800000001",14995,2025-05-14,2025-05-14
1939-06-01,"CES0800000001",15052,2025-05-14,2025-05-14
1939-07-01,"CES0800000001",15096,2025-05-14,2025-05-14
1939-08-01,"CES0800000001",15122,2025-05-14,2025-05-14
1939-09-01,"CES0800000001",15263,2025-05-14,2025-05-14
1939-10-01,"CES0800000001",15338,2025-05-14,2025-05-14
1939-11-01,"CES0800000001",15354,2025-05-14,2025-05-14
1939-12-01,"CES0800000001",15387,2025-05-14,2025-05-14
1940-01-01,"CES0800000001",15480,2025-05-14,2025-05-14
1940-02-01,"CES0800000001",15542,2025-05-14,2025-05-14
1940-03-01,"CES0800000001",15650,2025-05-14,2025-05-14
1940-04-01,"CES0800000001",15536,2025-05-14,2025-05-14
1940-05-01,"CES0800000001",15669,2025-05-14,2025-05-14
1940-06-01,"CES0800000001",15719,2025-05-14,2025-05-14
1940-07-01,"CES0800000001",15723,2025-05-14,2025-05-14
1940-08-01,"CES0800000001",15813,2025-05-14,2025-05-14
1940-09-01,"CES0800000001",15933,2025-05-14,2025-05-14
1940-10-01,"CES0800000001",16005,2025-05-14,2025-05-14
1940-11-01,"CES0800000001",16067,2025-05-14,2025-05-14
1940-12-01,"CES0800000001",16196,2025-05-14,2025-05-14
1941-01-01,"CES0800000001",16242,2025-05-14,2025-05-14
1941-02-01,"CES0800000001",16357,2025-05-14,2025-05-14
1941-03-01,"CES0800000001",16448,2025-05-14,2025-05-14
1941-04-01,"CES0800000001",16732,2025-05-14,2025-05-14
1941-05-01,"CES0800000001",16820,2025-05-14,2025-05-14
1941-06-01,"CES0800000001",16964,2025-05-14,2025-05-14
1941-07-01,"CES0800000001",17123,2025-05-14,2025-05-14
1941-08-01,"CES0800000001",17260,2025-05-14,2025-05-14
1941-09-01,"CES0800000001",17302,2025-05-14,2025-05-14
1941-10-01,"CES0800000001",17315,2025-05-14,2025-05-14
1941-11-01,"CES0800000001",17329,2025-05-14,2025-05-14
1941-12-01,"CES0800000001",17330,2025-05-14,2025-05-14
1942-01-01,"CES0800000001",17350,2025-05-14,2025-05-14
1942-02-01,"CES0800000001",17318,2025-05-14,2025-05-14
1942-03-01,"CES0800000001",17311,2025-05-14,2025-05-14
1942-04-01,"CES0800000001",17294,2025-05-14,2025-05-14
1942-05-01,"CES0800000001",17340,2025-05-14,2025-05-14
1942-06-01,"CES0800000001",17278,2025-05-14,2025-05-14
1942-07-01,"CES0800000001",17297,2025-05-14,2025-05-14
1942-08-01,"CES0800000001",17346,2025-05-14,2025-05-14
1942-09-01,"CES0800000001",17376,2025-05-14,2025-05-14
1942-10-01,"CES0800000001",17441,2025-05-14,2025-05-14
1942-11-01,"CES0800000001",17428,2025-05-14,2025-05-14
1942-12-01,"CES0800000001",17435,2025-05-14,2025-05-14
1943-01-01,"CES0800000001",17470,2025-05-14,2025-05-14
1943-02-01,"CES0800000001",17485,2025-05-14,2025-05-14
1943-03-01,"CES0800000001",17512,2025-05-14,2025-05-14
1943-04-01,"CES0800000001",17597,2025-05-14,2025-05-14
1943-05-01,"CES0800000001",17576,2025-05-14,2025-05-14
1943-06-01,"CES0800000001",17657,2025-05-14,2025-05-14
1943-07-01,"CES0800000001",17667,2025-05-14,2025-05-14
1943-08-01,"CES0800000001",17646,2025-05-14,2025-05-14
1943-09-01,"CES0800000001",17652,2025-05-14,2025-05-14
1943-10-01,"CES0800000001",17709,2025-05-14,2025-05-14
1943-11-01,"CES0800000001",17781,2025-05-14,2025-05-14
1943-12-01,"CES0800000001",17683,2025-05-14,2025-05-14
1944-01-01,"CES0800000001",17783,2025-05-14,2025-05-14
1944-02-01,"CES0800000001",17831,2025-05-14,2025-05-14
1944-03-01,"CES0800000001",17832,2025-05-14,2025-05-14
1944-04-01,"CES0800000001",17827,2025-05-14,2025-05-14
1944-05-01,"CES0800000001",17833,2025-05-14,2025-05-14
1944-06-01,"CES0800000001",17853,2025-05-14,2025-05-14
1944-07-01,"CES0800000001",17854,2025-05-14,2025-05-14
1944-08-01,"CES0800000001",17862,2025-05-14,2025-05-14
1944-09-01,"CES0800000001",17851,2025-05-14,2025-05-14
1944-10-01,"CES0800000001",17864,2025-05-14,2025-05-14
1944-11-01,"CES0800000001",17884,2025-05-14,2025-05-14
1944-12-01,"CES0800000001",17819,2025-05-14,2025-05-14
