"date","series_id","value","realtime_start","realtime_end"
1939-01-01,"USPBS",1943,2025-05-14,2025-05-14
1939-02-01,"USPBS",1950,2025-05-14,2025-05-14
1939-03-01,"USPBS",1958,2025-05-14,2025-05-14
1939-04-01,"USPBS",1957,2025-05-14,2025-05-14
1939-05-01,"USPBS",1968,2025-05-14,2025-05-14
1939-06-01,"USPBS",1980,2025-05-14,2025-05-14
1939-07-01,"USPBS",1985,2025-05-14,2025-05-14
1939-08-01,"USPBS",1990,2025-05-14,2025-05-14
1939-09-01,"USPBS",2010,2025-05-14,2025-05-14
1939-10-01,"USPBS",2021,2025-05-14,2025-05-14
1939-11-01,"USPBS",2027,2025-05-14,2025-05-14
1939-12-01,"USPBS",2033,2025-05-14,2025-05-14
1940-01-01,"USPBS",2039,2025-05-14,2025-05-14
1940-02-01,"USPBS",2047,2025-05-14,2025-05-14
1940-03-01,"USPBS",2051,2025-05-14,2025-05-14
1940-04-01,"USPBS",2055,2025-05-14,2025-05-14
1940-05-01,"USPBS",2061,2025-05-14,2025-05-14
1940-06-01,"USPBS",2066,2025-05-14,2025-05-14
1940-07-01,"USPBS",2070,2025-05-14,2025-05-14
1940-08-01,"USPBS",2087,2025-05-14,2025-05-14
1940-09-01,"USPBS",2104,2025-05-14,2025-05-14
1940-10-01,"USPBS",2123,2025-05-14,2025-05-14
1940-11-01,"USPBS",2137,2025-05-14,2025-05-14
1940-12-01,"USPBS",2155,2025-05-14,2025-05-14
1941-01-01,"USPBS",2171,2025-05-14,2025-05-14
1941-02-01,"USPBS",2189,2025-05-14,2025-05-14
1941-03-01,"USPBS",2207,2025-05-14,2025-05-14
1941-04-01,"USPBS",2232,2025-05-14,2025-05-14
1941-05-01,"USPBS",2259,2025-05-14,2025-05-14
1941-06-01,"USPBS",2277,2025-05-14,2025-05-14
1941-07-01,"USPBS",2301,2025-05-14,2025-05-14
1941-08-01,"USPBS",2317,2025-05-14,2025-05-14
1941-09-01,"USPBS",2326,2025-05-14,2025-05-14
1941-10-01,"USPBS",2336,2025-05-14,2025-05-14
1941-11-01,"USPBS",2344,2025-05-14,2025-05-14
1941-12-01,"USPBS",2351,2025-05-14,2025-05-14
1942-01-01,"USPBS",2362,2025-05-14,2025-05-14
1942-02-01,"USPBS",2365,2025-05-14,2025-05-14
1942-03-01,"USPBS",2377,2025-05-14,2025-05-14
1942-04-01,"USPBS",2394,2025-05-14,2025-05-14
1942-05-01,"USPBS",2403,2025-05-14,2025-05-14
1942-06-01,"USPBS",2413,2025-05-14,2025-05-14
1942-07-01,"USPBS",2429,2025-05-14,2025-05-14
1942-08-01,"USPBS",2442,2025-05-14,2025-05-14
1942-09-01,"USPBS",2454,2025-05-14,2025-05-14
1942-10-01,"USPBS",2463,2025-05-14,2025-05-14
