"date","series_id","value","realtime_start","realtime_end"
1939-01-01,"USTRADE",3107.8,2025-05-14,2025-05-14
1939-02-01,"USTRADE",3121.8,2025-05-14,2025-05-14
1939-03-01,"USTRADE",3139.7,2025-05-14,2025-05-14
1939-04-01,"USTRADE",3154.8,2025-05-14,2025-05-14
1939-05-01,"USTRADE",3151.7,2025-05-14,2025-05-14
1939-06-01,"USTRADE",3152.9,2025-05-14,2025-05-14
1939-07-01,"USTRADE",3165.8,2025-05-14,2025-05-14
1939-08-01,"USTRADE",3165.9,2025-05-14,2025-05-14
1939-09-01,"USTRADE",3185,2025-05-14,2025-05-14
1939-10-01,"USTRADE",3186.1,2025-05-14,2025-05-14
1939-11-01,"USTRADE",3192,2025-05-14,2025-05-14
1939-12-01,"USTRADE",3178.1,2025-05-14,2025-05-14
1940-01-01,"USTRADE",3233.5,2025-05-14,2025-05-14
1940-02-01,"USTRADE",3250.8,2025-05-14,2025-05-14
1940-03-01,"USTRADE",3336.7,2025-05-14,2025-05-14
1940-04-01,"USTRADE",3279.1,2025-05-14,2025-05-14
1940-05-01,"USTRADE",3303.7,2025-05-14,2025-05-14
1940-06-01,"USTRADE",3324.9,2025-05-14,2025-05-14
1940-07-01,"USTRADE",3318.9,2025-05-14,2025-05-14
1940-08-01,"USTRADE",3331.5,2025-05-14,2025-05-14
1940-09-01,"USTRADE",3366.1,2025-05-14,2025-05-14
1940-10-01,"USTRADE",3370.1,2025-05-14,2025-05-14
1940-11-01,"USTRADE",3379.8,2025-05-14,2025-05-14
1940-12-01,"USTRADE",3411.1,2025-05-14,2025-05-14
1941-01-01,"USTRADE",3408.6,2025-05-14,2025-05-14
1941-02-01,"USTRADE",3436.5,2025-05-14,2025-05-14
1941-03-01,"USTRADE",3458.1,2025-05-14,2025-05-14
1941-04-01,"USTRADE",3570.6,2025-05-14,2025-05-14
1941-05-01,"USTRADE",3519.9,2025-05-14,2025-05-14
1941-06-01,"USTRADE",3560.1,2025-05-14,2025-05-14
1941-07-01,"USTRADE",3593.6,2025-05-14,2025-05-14
1941-08-01,"USTRADE",3624.1,2025-05-14,2025-05-14
1941-09-01,"USTRADE",3632.5,2025-05-14,2025-05-14
1941-10-01,"USTRADE",3615.1,2025-05-14,2025-05-14
1941-11-01,"USTRADE",3615.3,2025-05-14,2025-05-14
1941-12-01,"USTRADE",3606.7,2025-05-14,2025-05-14
1942-01-01,"USTRADE",3592.6,2025-05-14,2025-05-14
1942-02-01,"USTRADE",3579.5,2025-05-14,2025-05-14
1942-03-01,"USTRADE",3566.7,2025-05-14,2025-05-14
1942-04-01,"USTRADE",3542,2025-05-14,2025-05-14
1942-05-01,"USTRADE",3535.8,2025-05-14,2025-05-14
1942-06-01,"USTRADE",3503.1,2025-05-14,2025-05-14
1942-07-01,"USTRADE",3490.9,2025-05-14,2025-05-14
