"date","series_id","value","realtime_start","realtime_end"
1955-01-01,"CES9092000001",1154,2025-05-14,2025-05-14
1955-02-01,"CES9092000001",1151,2025-05-14,2025-05-14
1955-03-01,"CES9092000001",1150,2025-05-14,2025-05-14
1955-04-01,"CES9092000001",1151,2025-05-14,2025-05-14
1955-05-01,"CES9092000001",1155,2025-05-14,2025-05-14
1955-06-01,"CES9092000001",1159,2025-05-14,2025-05-14
1955-07-01,"CES9092000001",1165,2025-05-14,2025-05-14
1955-08-01,"CES9092000001",1171,2025-05-14,2025-05-14
1955-09-01,"CES9092000001",1189,2025-05-14,2025-05-14
1955-10-01,"CES9092000001",1188,2025-05-14,2025-05-14
1955-11-01,"CES9092000001",1193,2025-05-14,2025-05-14
1955-12-01,"CES9092000001",1193,2025-05-14,2025-05-14
1956-01-01,"CES9092000001",1189,2025-05-14,2025-05-14
1956-02-01,"CES9092000001",1208,2025-05-14,2025-05-14
1956-03-01,"CES9092000001",1218,2025-05-14,2025-05-14
1956-04-01,"CES9092000001",1217,2025-05-14,2025-05-14
1956-05-01,"CES9092000001",1240,2025-05-14,2025-05-14
1956-06-01,"CES9092000001",1249,2025-05-14,2025-05-14
1956-07-01,"CES9092000001",1259,2025-05-14,2025-05-14
1956-08-01,"CES9092000001",1270,2025-05-14,2025-05-14
1956-09-01,"CES9092000001",1273,2025-05-14,2025-05-14
1956-10-01,"CES9092000001",1283,2025-05-14,2025-05-14
1956-11-01,"CES9092000001",1290,2025-05-14,2025-05-14
1956-12-01,"CES9092000001",1299,2025-05-14,2025-05-14
1957-01-01,"CES9092000001",1301,2025-05-14,2025-05-14
1957-02-01,"CES9092000001",1307,2025-05-14,2025-05-14
1957-03-01,"CES9092000001",1312,2025-05-14,2025-05-14
1957-04-01,"CES9092000001",1318,2025-05-14,2025-05-14
1957-05-01,"CES9092000001",1321,2025-05-14,2025-05-14
1957-06-01,"CES9092000001",1329,2025-05-14,2025-05-14
1957-07-01,"CES9092000001",1329,2025-05-14,2025-05-14
1957-08-01,"CES9092000001",1334,2025-05-14,2025-05-14
1957-09-01,"CES9092000001",1340,2025-05-14,2025-05-14
1957-10-01,"CES9092000001",1340,2025-05-14,2025-05-14
1957-11-01,"CES9092000001",1350,2025-05-14,2025-05-14
1957-12-01,"CES9092000001",1358,2025-05-14,2025-05-14
1958-01-01,"CES9092000001",1372,2025-05-14,2025-05-14
1958-02-01,"CES9092000001",1376,2025-05-14,2025-05-14
1958-03-01,"CES9092000001",1384,2025-05-14,2025-05-14
1958-04-01,"CES9092000001",1391,2025-05-14,2025-05-14
1958-05-01,"CES9092000001",1400,2025-05-14,2025-05-14
1958-06-01,"CES9092000001",1406,2025-05-14,2025-05-14
1958-07-01,"CES9092000001",1427,2025-05-14,2025-05-14
1958-08-01,"CES9092000001",1439,2025-05-14,2025-05-14
1958-09-01,"CES9092000001",1438,2025-05-14,2025-05-14
1958-10-01,"CES9092000001",1447,2025-05-14,2025-05-14
1958-11-01,"CES9092000001",1449,2025-05-14,2025-05-14
1958-12-01,"CES9092000001",1455,2025-05-14,2025-05-14
1959-01-01,"CES9092000001",1468,2025-05-14,2025-05-14
1959-02-01,"CES9092000001",1473,2025-05-14,2025-05-14
1959-03-01,"CES9092000001",1477,2025-05-14,2025-05-14
1959-04-01,"CES9092000001",1479,2025-05-14,2025-05-14
1959-05-01,"CES9092000001",1479,2025-05-14,2025-05-14
1959-06-01,"CES9092000001",1476,2025-05-14,2025-05-14
1959-07-01,"CES9092000001",1480,2025-05-14,2025-05-14
1959-08-01,"CES9092000001",1482,2025-05-14,2025-05-14
1959-09-01,"CES9092000001",1494,2025-05-14,2025-05-14
1959-10-01,"CES9092000001",1494,2025-05-14,2025-05-14
1959-11-01,"CES9092000001",1501,2025-05-14,2025-05-14
1959-12-01,"CES9092000001",1507,2025-05-14,2025-05-14
1960-01-01,"CES9092000001",1503,2025-05-14,2025-05-14
1960-02-01,"CES9092000001",1506,2025-05-14,2025-05-14
1960-03-01,"CES9092000001",1509,2025-05-14,2025-05-14
1960-04-01,"CES9092000001",1517,2025-05-14,2025-05-14
1960-05-01,"CES9092000001",1522,2025-05-14,2025-05-14
1960-06-01,"CES9092000001",1534,2025-05-14,2025-05-14
1960-07-01,"CES9092000001",1541,2025-05-14,2025-05-14
1960-08-01,"CES9092000001",1548,2025-05-14,2025-05-14
1960-09-01,"CES9092000001",1557,2025-05-14,2025-05-14
1960-10-01,"CES9092000001",1557,2025-05-14,2025-05-14
1960-11-01,"CES9092000001",1563,2025-05-14,2025-05-14
1960-12-01,"CES9092000001",1571,2025-05-14,2025-05-14
1961-01-01,"CES9092000001",1576,2025-05-14,2025-05-14
1961-02-01,"CES9092000001",1583,2025-05-14,2025-05-14
1961-03-01,"CES9092000001",1588,2025-05-14,2025-05-14
1961-04-01,"CES9092000001",1595,2025-05-14,2025-05-14
1961-05-01,"CES9092000001",1605,2025-05-14,2025-05-14
1961-06-01,"CES9092000001",1606,2025-05-14,2025-05-14
1961-07-01,"CES9092000001",1605,2025-05-14,2025-05-14
1961-08-01,"CES9092000001",1629,2025-05-14,2025-05-14
1961-09-01,"CES9092000001",1626,2025-05-14,2025-05-14
1961-10-01,"CES9092000001",1624,2025-05-14,2025-05-14
1961-11-01,"CES9092000001",1624,2025-05-14,2025-05-14
1961-12-01,"CES9092000001",1625,2025-05-14,2025-05-14
1962-01-01,"CES9092000001",1624,2025-05-14,2025-05-14
1962-02-01,"CES9092000001",1635,2025-05-14,2025-05-14
1962-03-01,"CES9092000001",1642,2025-05-14,2025-05-14
1962-04-01,"CES9092000001",1648,2025-05-14,2025-05-14
1962-05-01,"CES9092000001",1657,2025-05-14,2025-05-14
1962-06-01,"CES9092000001",1671,2025-05-14,2025-05-14
1962-07-01,"CES9092000001",1671,2025-05-14,2025-05-14
1962-08-01,"CES9092000001",1680,2025-05-14,2025-05-14
1962-09-01,"CES9092000001",1688,2025-05-14,2025-05-14
1962-10-01,"CES9092000001",1696,2025-05-14,2025-05-14
1962-11-01,"CES9092000001",1702,2025-05-14,2025-05-14
1962-12-01,"CES9092000001",1710,2025-05-14,2025-05-14
1963-01-01,"CES9092000001",1718,2025-05-14,2025-05-14
1963-02-01,"CES9092000001",1721,2025-05-14,2025-05-14
1963-03-01,"CES9092000001",1720,2025-05-14,2025-05-14
1963-04-01,"CES9092000001",1723,2025-05-14,2025-05-14
1963-05-01,"CES9092000001",1727,2025-05-14,2025-05-14
1963-06-01,"CES9092000001",1728,2025-05-14,2025-05-14
1963-07-01,"CES9092000001",1745,2025-05-14,2025-05-14
1963-08-01,"CES9092000001",1755,2025-05-14,2025-05-14
1963-09-01,"CES9092000001",1767,2025-05-14,2025-05-14
1963-10-01,"CES9092000001",1776,2025-05-14,2025-05-14
1963-11-01,"CES9092000001",1785,2025-05-14,2025-05-14
1963-12-01,"CES9092000001",1795,2025-05-14,2025-05-14
1964-01-01,"CES9092000001",1807,2025-05-14,2025-05-14
1964-02-01,"CES9092000001",1814,2025-05-14,2025-05-14
1964-03-01,"CES9092000001",1824,2025-05-14,2025-05-14
1964-04-01,"CES9092000001",1835,2025-05-14,2025-05-14
1964-05-01,"CES9092000001",1844,2025-05-14,2025-05-14
1964-06-01,"CES9092000001",1848,2025-05-14,2025-05-14
1964-07-01,"CES9092000001",1859,2025-05-14,2025-05-14
1964-08-01,"CES9092000001",1874,2025-05-14,2025-05-14
1964-09-01,"CES9092000001",1875,2025-05-14,2025-05-14
1964-10-01,"CES9092000001",1888,2025-05-14,2025-05-14
1964-11-01,"CES9092000001",1899,2025-05-14,2025-05-14
1964-12-01,"CES9092000001",1907,2025-05-14,2025-05-14
1965-01-01,"CES9092000001",1916,2025-05-14,2025-05-14
1965-02-01,"CES9092000001",1929,2025-05-14,2025-05-14
1965-03-01,"CES9092000001",1945,2025-05-14,2025-05-14
1965-04-01,"CES9092000001",1959,2025-05-14,2025-05-14
1965-05-01,"CES9092000001",1972,2025-05-14,2025-05-14
1965-06-01,"CES9092000001",1988,2025-05-14,2025-05-14
1965-07-01,"CES9092000001",2008,2025-05-14,2025-05-14
1965-08-01,"CES9092000001",2027,2025-05-14,2025-05-14
1965-09-01,"CES9092000001",2046,2025-05-14,2025-05-14
1965-10-01,"CES9092000001",2044,2025-05-14,2025-05-14
1965-11-01,"CES9092000001",2055,2025-05-14,2025-05-14
1965-12-01,"CES9092000001",2067,2025-05-14,2025-05-14
1966-01-01,"CES9092000001",2071,2025-05-14,2025-05-14
1966-02-01,"CES9092000001",2079,2025-05-14,2025-05-14
1966-03-01,"CES9092000001",2088,2025-05-14,2025-05-14
1966-04-01,"CES9092000001",2096,2025-05-14,2025-05-14
1966-05-01,"CES9092000001",2108,2025-05-14,2025-05-14
1966-06-01,"CES9092000001",2135,2025-05-14,2025-05-14
1966-07-01,"CES9092000001",2163,2025-05-14,2025-05-14
1966-08-01,"CES9092000001",2163,2025-05-14,2025-05-14
1966-09-01,"CES9092000001",2182,2025-05-14,2025-05-14
1966-10-01,"CES9092000001",2186,2025-05-14,2025-05-14
1966-11-01,"CES9092000001",2203,2025-05-14,2025-05-14
1966-12-01,"CES9092000001",2220,2025-05-14,2025-05-14
1967-01-01,"CES9092000001",2241,2025-05-14,2025-05-14
1967-02-01,"CES9092000001",2249,2025-05-14,2025-05-14
1967-03-01,"CES9092000001",2261,2025-05-14,2025-05-14
1967-04-01,"CES9092000001",2276,2025-05-14,2025-05-14
1967-05-01,"CES9092000001",2284,2025-05-14,2025-05-14
1967-06-01,"CES9092000001",2302,2025-05-14,2025-05-14
1967-07-01,"CES9092000001",2310,2025-05-14,2025-05-14
1967-08-01,"CES9092000001",2320,2025-05-14,2025-05-14
1967-09-01,"CES9092000001",2322,2025-05-14,2025-05-14
1967-10-01,"CES9092000001",2340,2025-05-14,2025-05-14
1967-11-01,"CES9092000001",2357,2025-05-14,2025-05-14
1967-12-01,"CES9092000001",2366,2025-05-14,2025-05-14
1968-01-01,"CES9092000001",2384,2025-05-14,2025-05-14
1968-02-01,"CES9092000001",2395,2025-05-14,2025-05-14
1968-03-01,"CES9092000001",2398,2025-05-14,2025-05-14
1968-04-01,"CES9092000001",2405,2025-05-14,2025-05-14
1968-05-01,"CES9092000001",2416,2025-05-14,2025-05-14
1968-06-01,"CES9092000001",2433,2025-05-14,2025-05-14
1968-07-01,"CES9092000001",2445,2025-05-14,2025-05-14
1968-08-01,"CES9092000001",2461,2025-05-14,2025-05-14
1968-09-01,"CES9092000001",2477,2025-05-14,2025-05-14
1968-10-01,"CES9092000001",2486,2025-05-14,2025-05-14
1968-11-01,"CES9092000001",2505,2025-05-14,2025-05-14
1968-12-01,"CES9092000001",2499,2025-05-14,2025-05-14
1969-01-01,"CES9092000001",2483,2025-05-14,2025-05-14
1969-02-01,"CES9092000001",2491,2025-05-14,2025-05-14
1969-03-01,"CES9092000001",2498,2025-05-14,2025-05-14
1969-04-01,"CES9092000001",2503,2025-05-14,2025-05-14
1969-05-01,"CES9092000001",2522,2025-05-14,2025-05-14
1969-06-01,"CES9092000001",2542,2025-05-14,2025-05-14
1969-07-01,"CES9092000001",2535,2025-05-14,2025-05-14
1969-08-01,"CES9092000001",2539,2025-05-14,2025-05-14
1969-09-01,"CES9092000001",2553,2025-05-14,2025-05-14
1969-10-01,"CES9092000001",2568,2025-05-14,2025-05-14
1969-11-01,"CES9092000001",2580,2025-05-14,2025-05-14
1969-12-01,"CES9092000001",2590,2025-05-14,2025-05-14
