"date","series_id","value","realtime_start","realtime_end"
1939-01-01,"USTPU",6627,2025-05-14,2025-05-14
1939-02-01,"USTPU",6643,2025-05-14,2025-05-14
1939-03-01,"USTPU",6625,2025-05-14,2025-05-14
1939-04-01,"USTPU",6634,2025-05-14,2025-05-14
1939-05-01,"USTPU",6686,2025-05-14,2025-05-14
1939-06-01,"USTPU",6706,2025-05-14,2025-05-14
1939-07-01,"USTPU",6731,2025-05-14,2025-05-14
1939-08-01,"USTPU",6740,2025-05-14,2025-05-14
1939-09-01,"USTPU",6793,2025-05-14,2025-05-14
1939-10-01,"USTPU",6858,2025-05-14,2025-05-14
1939-11-01,"USTPU",6855,2025-05-14,2025-05-14
1939-12-01,"USTPU",6851,2025-05-14,2025-05-14
1940-01-01,"USTPU",6916,2025-05-14,2025-05-14
1940-02-01,"USTPU",6943,2025-05-14,2025-05-14
1940-03-01,"USTPU",6992,2025-05-14,2025-05-14
1940-04-01,"USTPU",6896,2025-05-14,2025-05-14
1940-05-01,"USTPU",6996,2025-05-14,2025-05-14
1940-06-01,"USTPU",7016,2025-05-14,2025-05-14
1940-07-01,"USTPU",7017,2025-05-14,2025-05-14
1940-08-01,"USTPU",7049,2025-05-14,2025-05-14
1940-09-01,"USTPU",7101,2025-05-14,2025-05-14
1940-10-01,"USTPU",7121,2025-05-14,2025-05-14
1940-11-01,"USTPU",7147,2025-05-14,2025-05-14
1940-12-01,"USTPU",7208,2025-05-14,2025-05-14
1941-01-01,"USTPU",7223,2025-05-14,2025-05-14
1941-02-01,"USTPU",7275,2025-05-14,2025-05-14
1941-03-01,"USTPU",7299,2025-05-14,2025-05-14
1941-04-01,"USTPU",7439,2025-05-14,2025-05-14
1941-05-01,"USTPU",7493,2025-05-14,2025-05-14
1941-06-01,"USTPU",7563,2025-05-14,2025-05-14
1941-07-01,"USTPU",7639,2025-05-14,2025-05-14
1941-08-01,"USTPU",7711,2025-05-14,2025-05-14
1941-09-01,"USTPU",7722,2025-05-14,2025-05-14
1941-10-01,"USTPU",7715,2025-05-14,2025-05-14
1941-11-01,"USTPU",7710,2025-05-14,2025-05-14
1941-12-01,"USTPU",7694,2025-05-14,2025-05-14
1942-01-01,"USTPU",7689,2025-05-14,2025-05-14
1942-02-01,"USTPU",7664,2025-05-14,2025-05-14
1942-03-01,"USTPU",7631,2025-05-14,2025-05-14
1942-04-01,"USTPU",7591,2025-05-14,2025-05-14
1942-05-01,"USTPU",7625,2025-05-14,2025-05-14
1942-06-01,"USTPU",7559,2025-05-14,2025-05-14
1942-07-01,"USTPU",7549,2025-05-14,2025-05-14
1942-08-01,"USTPU",7563,2025-05-14,2025-05-14
1942-09-01,"USTPU",7570,2025-05-14,2025-05-14
1942-10-01,"USTPU",7597,2025-05-14,2025-05-14
1942-11-01,"USTPU",7580,2025-05-14,2025-05-14
1942-12-01,"USTPU",7565,2025-05-14,2025-05-14
1943-01-01,"USTPU",7571,2025-05-14,2025-05-14
1943-02-01,"USTPU",7564,2025-05-14,2025-05-14
1943-03-01,"USTPU",7572,2025-05-14,2025-05-14
1943-04-01,"USTPU",7612,2025-05-14,2025-05-14
1943-05-01,"USTPU",7601,2025-05-14,2025-05-14
1943-06-01,"USTPU",7640,2025-05-14,2025-05-14
1943-07-01,"USTPU",7653,2025-05-14,2025-05-14
1943-08-01,"USTPU",7637,2025-05-14,2025-05-14
1943-09-01,"USTPU",7635,2025-05-14,2025-05-14
1943-10-01,"USTPU",7652,2025-05-14,2025-05-14
1943-11-01,"USTPU",7685,2025-05-14,2025-05-14
1943-12-01,"USTPU",7612,2025-05-14,2025-05-14
1944-01-01,"USTPU",7710,2025-05-14,2025-05-14
1944-02-01,"USTPU",7741,2025-05-14,2025-05-14
1944-03-01,"USTPU",7754,2025-05-14,2025-05-14
1944-04-01,"USTPU",7770,2025-05-14,2025-05-14
1944-05-01,"USTPU",7788,2025-05-14,2025-05-14
1944-06-01,"USTPU",7796,2025-05-14,2025-05-14
1944-07-01,"USTPU",7817,2025-05-14,2025-05-14
1944-08-01,"USTPU",7830,2025-05-14,2025-05-14
1944-09-01,"USTPU",7836,2025-05-14,2025-05-14
1944-10-01,"USTPU",7846,2025-05-14,2025-05-14
1944-11-01,"USTPU",7850,2025-05-14,2025-05-14
1944-12-01,"USTPU",7799,2025-05-14,2025-05-14
1945-01-01,"USTPU",7890,2025-05-14,2025-05-14
1945-02-01,"USTPU",7923,2025-05-14,2025-05-14
1945-03-01,"USTPU",7966,2025-05-14,2025-05-14
1945-04-01,"USTPU",7908,2025-05-14,2025-05-14
1945-05-01,"USTPU",7963,2025-05-14,2025-05-14
1945-06-01,"USTPU",7962,2025-05-14,2025-05-14
1945-07-01,"USTPU",8006,2025-05-14,2025-05-14
1945-08-01,"USTPU",8022,2025-05-14,2025-05-14
1945-09-01,"USTPU",8091,2025-05-14,2025-05-14
1945-10-01,"USTPU",8153,2025-05-14,2025-05-14
1945-11-01,"USTPU",8258,2025-05-14,2025-05-14
1945-12-01,"USTPU",8278,2025-05-14,2025-05-14
1946-01-01,"USTPU",8518,2025-05-14,2025-05-14
1946-02-01,"USTPU",8615,2025-05-14,2025-05-14
1946-03-01,"USTPU",8719,2025-05-14,2025-05-14
1946-04-01,"USTPU",8856,2025-05-14,2025-05-14
1946-05-01,"USTPU",8841,2025-05-14,2025-05-14
1946-06-01,"USTPU",8879,2025-05-14,2025-05-14
1946-07-01,"USTPU",8969,2025-05-14,2025-05-14
1946-08-01,"USTPU",9076,2025-05-14,2025-05-14
1946-09-01,"USTPU",9092,2025-05-14,2025-05-14
1946-10-01,"USTPU",9143,2025-05-14,2025-05-14
1946-11-01,"USTPU",9224,2025-05-14,2025-05-14
1946-12-01,"USTPU",9209,2025-05-14,2025-05-14
1947-01-01,"USTPU",9259,2025-05-14,2025-05-14
1947-02-01,"USTPU",9276,2025-05-14,2025-05-14
1947-03-01,"USTPU",9313,2025-05-14,2025-05-14
1947-04-01,"USTPU",9263,2025-05-14,2025-05-14
1947-05-01,"USTPU",9359,2025-05-14,2025-05-14
1947-06-01,"USTPU",9431,2025-05-14,2025-05-14
1947-07-01,"USTPU",9472,2025-05-14,2025-05-14
1947-08-01,"USTPU",9492,2025-05-14,2025-05-14
1947-09-01,"USTPU",9557,2025-05-14,2025-05-14
1947-10-01,"USTPU",9589,2025-05-14,2025-05-14
1947-11-01,"USTPU",9596,2025-05-14,2025-05-14
1947-12-01,"USTPU",9600,2025-05-14,2025-05-14
1948-01-01,"USTPU",9609,2025-05-14,2025-05-14
1948-02-01,"USTPU",9635,2025-05-14,2025-05-14
1948-03-01,"USTPU",9642,2025-05-14,2025-05-14
1948-04-01,"USTPU",9583,2025-05-14,2025-05-14
1948-05-01,"USTPU",9697,2025-05-14,2025-05-14
1948-06-01,"USTPU",9711,2025-05-14,2025-05-14
1948-07-01,"USTPU",9752,2025-05-14,2025-05-14
1948-08-01,"USTPU",9746,2025-05-14,2025-05-14
1948-09-01,"USTPU",9753,2025-05-14,2025-05-14
1948-10-01,"USTPU",9759,2025-05-14,2025-05-14
1948-11-01,"USTPU",9753,2025-05-14,2025-05-14
1948-12-01,"USTPU",9739,2025-05-14,2025-05-14
1949-01-01,"USTPU",9693,2025-05-14,2025-05-14
1949-02-01,"USTPU",9675,2025-05-14,2025-05-14
1949-03-01,"USTPU",9605,2025-05-14,2025-05-14
1949-04-01,"USTPU",9687,2025-05-14,2025-05-14
1949-05-01,"USTPU",9644,2025-05-14,2025-05-14
1949-06-01,"USTPU",9583,2025-05-14,2025-05-14
1949-07-01,"USTPU",9516,2025-05-14,2025-05-14
1949-08-01,"USTPU",9491,2025-05-14,2025-05-14
1949-09-01,"USTPU",9524,2025-05-14,2025-05-14
1949-10-01,"USTPU",9442,2025-05-14,2025-05-14
1949-11-01,"USTPU",9432,2025-05-14,2025-05-14
1949-12-01,"USTPU",9470,2025-05-14,2025-05-14
1950-01-01,"USTPU",9475,2025-05-14,2025-05-14
1950-02-01,"USTPU",9461,2025-05-14,2025-05-14
1950-03-01,"USTPU",9477,2025-05-14,2025-05-14
1950-04-01,"USTPU",9569,2025-05-14,2025-05-14
1950-05-01,"USTPU",9553,2025-05-14,2025-05-14
1950-06-01,"USTPU",9647,2025-05-14,2025-05-14
1950-07-01,"USTPU",9719,2025-05-14,2025-05-14
1950-08-01,"USTPU",9810,2025-05-14,2025-05-14
1950-09-01,"USTPU",9858,2025-05-14,2025-05-14
1950-10-01,"USTPU",9867,2025-05-14,2025-05-14
1950-11-01,"USTPU",9860,2025-05-14,2025-05-14
1950-12-01,"USTPU",9857,2025-05-14,2025-05-14
1951-01-01,"USTPU",9941,2025-05-14,2025-05-14
1951-02-01,"USTPU",9996,2025-05-14,2025-05-14
1951-03-01,"USTPU",10092,2025-05-14,2025-05-14
1951-04-01,"USTPU",10031,2025-05-14,2025-05-14
1951-05-01,"USTPU",10080,2025-05-14,2025-05-14
1951-06-01,"USTPU",10083,2025-05-14,2025-05-14
1951-07-01,"USTPU",10100,2025-05-14,2025-05-14
1951-08-01,"USTPU",10083,2025-05-14,2025-05-14
1951-09-01,"USTPU",10084,2025-05-14,2025-05-14
