"date","series_id","value","realtime_start","realtime_end"
1972-01-01,"CES4300000001",2614.3,2025-05-14,2025-05-14
1972-02-01,"CES4300000001",2623.2,2025-05-14,2025-05-14
1972-03-01,"CES4300000001",2640.5,2025-05-14,2025-05-14
1972-04-01,"CES4300000001",2635.6,2025-05-14,2025-05-14
1972-05-01,"CES4300000001",2634.9,2025-05-14,2025-05-14
1972-06-01,"CES4300000001",2652.4,2025-05-14,2025-05-14
1972-07-01,"CES4300000001",2652.8,2025-05-14,2025-05-14
1972-08-01,"CES4300000001",2651.7,2025-05-14,2025-05-14
1972-09-01,"CES4300000001",2653.8,2025-05-14,2025-05-14
1972-10-01,"CES4300000001",2661.6,2025-05-14,2025-05-14
1972-11-01,"CES4300000001",2675.1,2025-05-14,2025-05-14
1972-12-01,"CES4300000001",2677.5,2025-05-14,2025-05-14
1973-01-01,"CES4300000001",2684.8,2025-05-14,2025-05-14
1973-02-01,"CES4300000001",2697.1,2025-05-14,2025-05-14
1973-03-01,"CES4300000001",2712.4,2025-05-14,2025-05-14
1973-04-01,"CES4300000001",2719.9,2025-05-14,2025-05-14
1973-05-01,"CES4300000001",2717.8,2025-05-14,2025-05-14
1973-06-01,"CES4300000001",2720.4,2025-05-14,2025-05-14
1973-07-01,"CES4300000001",2721.3,2025-05-14,2025-05-14
1973-08-01,"CES4300000001",2728.7,2025-05-14,2025-05-14
1973-09-01,"CES4300000001",2732.8,2025-05-14,2025-05-14
1973-10-01,"CES4300000001",2737.8,2025-05-14,2025-05-14
1973-11-01,"CES4300000001",2739.2,2025-05-14,2025-05-14
1973-12-01,"CES4300000001",2724.9,2025-05-14,2025-05-14
1974-01-01,"CES4300000001",2763.7,2025-05-14,2025-05-14
1974-02-01,"CES4300000001",2769.6,2025-05-14,2025-05-14
1974-03-01,"CES4300000001",2769.5,2025-05-14,2025-05-14
1974-04-01,"CES4300000001",2766.5,2025-05-14,2025-05-14
1974-05-01,"CES4300000001",2764.8,2025-05-14,2025-05-14
1974-06-01,"CES4300000001",2764.8,2025-05-14,2025-05-14
1974-07-01,"CES4300000001",2765.6,2025-05-14,2025-05-14
1974-08-01,"CES4300000001",2758,2025-05-14,2025-05-14
1974-09-01,"CES4300000001",2738,2025-05-14,2025-05-14
1974-10-01,"CES4300000001",2741.2,2025-05-14,2025-05-14
1974-11-01,"CES4300000001",2737.9,2025-05-14,2025-05-14
1974-12-01,"CES4300000001",2710.7,2025-05-14,2025-05-14
1975-01-01,"CES4300000001",2687.2,2025-05-14,2025-05-14
1975-02-01,"CES4300000001",2656.6,2025-05-14,2025-05-14
1975-03-01,"CES4300000001",2638.4,2025-05-14,2025-05-14
1975-04-01,"CES4300000001",2624.7,2025-05-14,2025-05-14
1975-05-01,"CES4300000001",2619.9,2025-05-14,2025-05-14
1975-06-01,"CES4300000001",2606,2025-05-14,2025-05-14
1975-07-01,"CES4300000001",2609.4,2025-05-14,2025-05-14
1975-08-01,"CES4300000001",2614.6,2025-05-14,2025-05-14
1975-09-01,"CES4300000001",2606.8,2025-05-14,2025-05-14
1975-10-01,"CES4300000001",2607.7,2025-05-14,2025-05-14
1975-11-01,"CES4300000001",2613.2,2025-05-14,2025-05-14
1975-12-01,"CES4300000001",2590.9,2025-05-14,2025-05-14
1976-01-01,"CES4300000001",2630.4,2025-05-14,2025-05-14
1976-02-01,"CES4300000001",2644.6,2025-05-14,2025-05-14
1976-03-01,"CES4300000001",2653.9,2025-05-14,2025-05-14
1976-04-01,"CES4300000001",2661.3,2025-05-14,2025-05-14
1976-05-01,"CES4300000001",2655.8,2025-05-14,2025-05-14
1976-06-01,"CES4300000001",2668.7,2025-05-14,2025-05-14
1976-07-01,"CES4300000001",2680.2,2025-05-14,2025-05-14
1976-08-01,"CES4300000001",2680.2,2025-05-14,2025-05-14
1976-09-01,"CES4300000001",2690,2025-05-14,2025-05-14
1976-10-01,"CES4300000001",2675.1,2025-05-14,2025-05-14
1976-11-01,"CES4300000001",2682.8,2025-05-14,2025-05-14
1976-12-01,"CES4300000001",2705,2025-05-14,2025-05-14
1977-01-01,"CES4300000001",2717.9,2025-05-14,2025-05-14
1977-02-01,"CES4300000001",2726.9,2025-05-14,2025-05-14
1977-03-01,"CES4300000001",2730.4,2025-05-14,2025-05-14
1977-04-01,"CES4300000001",2745.5,2025-05-14,2025-05-14
1977-05-01,"CES4300000001",2755,2025-05-14,2025-05-14
1977-06-01,"CES4300000001",2763.6,2025-05-14,2025-05-14
1977-07-01,"CES4300000001",2778.6,2025-05-14,2025-05-14
1977-08-01,"CES4300000001",2783.5,2025-05-14,2025-05-14
1977-09-01,"CES4300000001",2806.2,2025-05-14,2025-05-14
1977-10-01,"CES4300000001",2791.3,2025-05-14,2025-05-14
1977-11-01,"CES4300000001",2799,2025-05-14,2025-05-14
1977-12-01,"CES4300000001",2814.8,2025-05-14,2025-05-14
1978-01-01,"CES4300000001",2827.8,2025-05-14,2025-05-14
1978-02-01,"CES4300000001",2837.3,2025-05-14,2025-05-14
1978-03-01,"CES4300000001",2857.7,2025-05-14,2025-05-14
1978-04-01,"CES4300000001",2879.3,2025-05-14,2025-05-14
1978-05-01,"CES4300000001",2881.2,2025-05-14,2025-05-14
1978-06-01,"CES4300000001",2904.8,2025-05-14,2025-05-14
1978-07-01,"CES4300000001",2872.2,2025-05-14,2025-05-14
1978-08-01,"CES4300000001",2888.5,2025-05-14,2025-05-14
1978-09-01,"CES4300000001",2902.2,2025-05-14,2025-05-14
1978-10-01,"CES4300000001",2932.6,2025-05-14,2025-05-14
1978-11-01,"CES4300000001",2955.1,2025-05-14,2025-05-14
1978-12-01,"CES4300000001",2970,2025-05-14,2025-05-14
1979-01-01,"CES4300000001",2976.8,2025-05-14,2025-05-14
1979-02-01,"CES4300000001",2988.6,2025-05-14,2025-05-14
1979-03-01,"CES4300000001",2997,2025-05-14,2025-05-14
1979-04-01,"CES4300000001",2906.2,2025-05-14,2025-05-14
1979-05-01,"CES4300000001",2988.5,2025-05-14,2025-05-14
1979-06-01,"CES4300000001",3031.6,2025-05-14,2025-05-14
1979-07-01,"CES4300000001",3028.9,2025-05-14,2025-05-14
1979-08-01,"CES4300000001",3030.6,2025-05-14,2025-05-14
1979-09-01,"CES4300000001",3028.7,2025-05-14,2025-05-14
1979-10-01,"CES4300000001",3032.3,2025-05-14,2025-05-14
1979-11-01,"CES4300000001",3039.7,2025-05-14,2025-05-14
1979-12-01,"CES4300000001",3034.8,2025-05-14,2025-05-14
1980-01-01,"CES4300000001",3027.8,2025-05-14,2025-05-14
1980-02-01,"CES4300000001",3018.3,2025-05-14,2025-05-14
1980-03-01,"CES4300000001",3011.4,2025-05-14,2025-05-14
1980-04-01,"CES4300000001",2988.2,2025-05-14,2025-05-14
1980-05-01,"CES4300000001",2969.2,2025-05-14,2025-05-14
1980-06-01,"CES4300000001",2945.5,2025-05-14,2025-05-14
1980-07-01,"CES4300000001",2936,2025-05-14,2025-05-14
1980-08-01,"CES4300000001",2933.3,2025-05-14,2025-05-14
1980-09-01,"CES4300000001",2930.3,2025-05-14,2025-05-14
1980-10-01,"CES4300000001",2933.9,2025-05-14,2025-05-14
1980-11-01,"CES4300000001",2931.1,2025-05-14,2025-05-14
1980-12-01,"CES4300000001",2935,2025-05-14,2025-05-14
1981-01-01,"CES4300000001",2942,2025-05-14,2025-05-14
1981-02-01,"CES4300000001",2944.3,2025-05-14,2025-05-14
1981-03-01,"CES4300000001",2947.4,2025-05-14,2025-05-14
1981-04-01,"CES4300000001",2944.9,2025-05-14,2025-05-14
1981-05-01,"CES4300000001",2938.2,2025-05-14,2025-05-14
