"date","series_id","value","realtime_start","realtime_end"
1964-01-01,"CES4422000001",476.3,2025-05-14,2025-05-14
1964-02-01,"CES4422000001",476.6,2025-05-14,2025-05-14
1964-03-01,"CES4422000001",476.7,2025-05-14,2025-05-14
1964-04-01,"CES4422000001",477,2025-05-14,2025-05-14
1964-05-01,"CES4422000001",478.8,2025-05-14,2025-05-14
1964-06-01,"CES4422000001",474.3,2025-05-14,2025-05-14
1964-07-01,"CES4422000001",476.4,2025-05-14,2025-05-14
1964-08-01,"CES4422000001",476.6,2025-05-14,2025-05-14
1964-09-01,"CES4422000001",477.9,2025-05-14,2025-05-14
1964-10-01,"CES4422000001",479.3,2025-05-14,2025-05-14
1964-11-01,"CES4422000001",480.4,2025-05-14,2025-05-14
1964-12-01,"CES4422000001",480.7,2025-05-14,2025-05-14
1965-01-01,"CES4422000001",481.3,2025-05-14,2025-05-14
1965-02-01,"CES4422000001",482.4,2025-05-14,2025-05-14
1965-03-01,"CES4422000001",482.9,2025-05-14,2025-05-14
1965-04-01,"CES4422000001",484.4,2025-05-14,2025-05-14
1965-05-01,"CES4422000001",485,2025-05-14,2025-05-14
1965-06-01,"CES4422000001",483.6,2025-05-14,2025-05-14
1965-07-01,"CES4422000001",481.3,2025-05-14,2025-05-14
1965-08-01,"CES4422000001",485.6,2025-05-14,2025-05-14
1965-09-01,"CES4422000001",486.5,2025-05-14,2025-05-14
1965-10-01,"CES4422000001",486.6,2025-05-14,2025-05-14
1965-11-01,"CES4422000001",485.4,2025-05-14,2025-05-14
1965-12-01,"CES4422000001",486.9,2025-05-14,2025-05-14
1966-01-01,"CES4422000001",486.8,2025-05-14,2025-05-14
1966-02-01,"CES4422000001",486.5,2025-05-14,2025-05-14
1966-03-01,"CES4422000001",487.3,2025-05-14,2025-05-14
1966-04-01,"CES4422000001",487.2,2025-05-14,2025-05-14
1966-05-01,"CES4422000001",487.6,2025-05-14,2025-05-14
1966-06-01,"CES4422000001",489,2025-05-14,2025-05-14
1966-07-01,"CES4422000001",489.1,2025-05-14,2025-05-14
1966-08-01,"CES4422000001",490.1,2025-05-14,2025-05-14
1966-09-01,"CES4422000001",490.1,2025-05-14,2025-05-14
1966-10-01,"CES4422000001",490.7,2025-05-14,2025-05-14
1966-11-01,"CES4422000001",491.8,2025-05-14,2025-05-14
1966-12-01,"CES4422000001",492.6,2025-05-14,2025-05-14
1967-01-01,"CES4422000001",493.8,2025-05-14,2025-05-14
1967-02-01,"CES4422000001",495.1,2025-05-14,2025-05-14
1967-03-01,"CES4422000001",496.5,2025-05-14,2025-05-14
1967-04-01,"CES4422000001",497,2025-05-14,2025-05-14
1967-05-01,"CES4422000001",497.2,2025-05-14,2025-05-14
1967-06-01,"CES4422000001",497.2,2025-05-14,2025-05-14
1967-07-01,"CES4422000001",499.5,2025-05-14,2025-05-14
