"date","series_id","value","realtime_start","realtime_end"
1939-01-01,"USWTRADE",1472.3,2025-05-14,2025-05-14
1939-02-01,"USWTRADE",1473.3,2025-05-14,2025-05-14
1939-03-01,"USWTRADE",1463.4,2025-05-14,2025-05-14
1939-04-01,"USWTRADE",1473.5,2025-05-14,2025-05-14
1939-05-01,"USWTRADE",1480.6,2025-05-14,2025-05-14
1939-06-01,"USWTRADE",1484.5,2025-05-14,2025-05-14
1939-07-01,"USWTRADE",1491.2,2025-05-14,2025-05-14
1939-08-01,"USWTRADE",1493,2025-05-14,2025-05-14
1939-09-01,"USWTRADE",1518.9,2025-05-14,2025-05-14
1939-10-01,"USWTRADE",1540.5,2025-05-14,2025-05-14
1939-11-01,"USWTRADE",1531.7,2025-05-14,2025-05-14
1939-12-01,"USWTRADE",1534.9,2025-05-14,2025-05-14
1940-01-01,"USWTRADE",1537.5,2025-05-14,2025-05-14
1940-02-01,"USWTRADE",1539,2025-05-14,2025-05-14
1940-03-01,"USWTRADE",1546.7,2025-05-14,2025-05-14
1940-04-01,"USWTRADE",1541.2,2025-05-14,2025-05-14
1940-05-01,"USWTRADE",1547.2,2025-05-14,2025-05-14
1940-06-01,"USWTRADE",1553.3,2025-05-14,2025-05-14
1940-07-01,"USWTRADE",1556,2025-05-14,2025-05-14
1940-08-01,"USWTRADE",1558.4,2025-05-14,2025-05-14
1940-09-01,"USWTRADE",1577.4,2025-05-14,2025-05-14
1940-10-01,"USWTRADE",1573.7,2025-05-14,2025-05-14
1940-11-01,"USWTRADE",1585.8,2025-05-14,2025-05-14
1940-12-01,"USWTRADE",1597.7,2025-05-14,2025-05-14
1941-01-01,"USWTRADE",1606,2025-05-14,2025-05-14
1941-02-01,"USWTRADE",1616.1,2025-05-14,2025-05-14
1941-03-01,"USWTRADE",1624.1,2025-05-14,2025-05-14
1941-04-01,"USWTRADE",1646.8,2025-05-14,2025-05-14
1941-05-01,"USWTRADE",1658.9,2025-05-14,2025-05-14
1941-06-01,"USWTRADE",1676.5,2025-05-14,2025-05-14
1941-07-01,"USWTRADE",1690.3,2025-05-14,2025-05-14
1941-08-01,"USWTRADE",1700.8,2025-05-14,2025-05-14
1941-09-01,"USWTRADE",1701.7,2025-05-14,2025-05-14
1941-10-01,"USWTRADE",1698.4,2025-05-14,2025-05-14
1941-11-01,"USWTRADE",1693.9,2025-05-14,2025-05-14
1941-12-01,"USWTRADE",1686.9,2025-05-14,2025-05-14
1942-01-01,"USWTRADE",1684.4,2025-05-14,2025-05-14
1942-02-01,"USWTRADE",1675.3,2025-05-14,2025-05-14
1942-03-01,"USWTRADE",1666.2,2025-05-14,2025-05-14
1942-04-01,"USWTRADE",1650.7,2025-05-14,2025-05-14
1942-05-01,"USWTRADE",1637.9,2025-05-14,2025-05-14
1942-06-01,"USWTRADE",1616.3,2025-05-14,2025-05-14
1942-07-01,"USWTRADE",1608.4,2025-05-14,2025-05-14
1942-08-01,"USWTRADE",1602.6,2025-05-14,2025-05-14
1942-09-01,"USWTRADE",1597,2025-05-14,2025-05-14
1942-10-01,"USWTRADE",1593.6,2025-05-14,2025-05-14
1942-11-01,"USWTRADE",1580.4,2025-05-14,2025-05-14
1942-12-01,"USWTRADE",1567.7,2025-05-14,2025-05-14
1943-01-01,"USWTRADE",1563.6,2025-05-14,2025-05-14
1943-02-01,"USWTRADE",1561.4,2025-05-14,2025-05-14
1943-03-01,"USWTRADE",1561.6,2025-05-14,2025-05-14
1943-04-01,"USWTRADE",1559.7,2025-05-14,2025-05-14
1943-05-01,"USWTRADE",1556.5,2025-05-14,2025-05-14
1943-06-01,"USWTRADE",1562.7,2025-05-14,2025-05-14
1943-07-01,"USWTRADE",1572.7,2025-05-14,2025-05-14
1943-08-01,"USWTRADE",1553.2,2025-05-14,2025-05-14
1943-09-01,"USWTRADE",1545.7,2025-05-14,2025-05-14
1943-10-01,"USWTRADE",1531.2,2025-05-14,2025-05-14
1943-11-01,"USWTRADE",1545.6,2025-05-14,2025-05-14
1943-12-01,"USWTRADE",1541.4,2025-05-14,2025-05-14
1944-01-01,"USWTRADE",1550.5,2025-05-14,2025-05-14
1944-02-01,"USWTRADE",1558,2025-05-14,2025-05-14
1944-03-01,"USWTRADE",1557.8,2025-05-14,2025-05-14
1944-04-01,"USWTRADE",1562.7,2025-05-14,2025-05-14
1944-05-01,"USWTRADE",1571.3,2025-05-14,2025-05-14
1944-06-01,"USWTRADE",1576.2,2025-05-14,2025-05-14
1944-07-01,"USWTRADE",1580.4,2025-05-14,2025-05-14
1944-08-01,"USWTRADE",1579.3,2025-05-14,2025-05-14
1944-09-01,"USWTRADE",1581.6,2025-05-14,2025-05-14
1944-10-01,"USWTRADE",1582.7,2025-05-14,2025-05-14
1944-11-01,"USWTRADE",1587.6,2025-05-14,2025-05-14
1944-12-01,"USWTRADE",1591.5,2025-05-14,2025-05-14
1945-01-01,"USWTRADE",1593.4,2025-05-14,2025-05-14
1945-02-01,"USWTRADE",1600.6,2025-05-14,2025-05-14
1945-03-01,"USWTRADE",1604.5,2025-05-14,2025-05-14
1945-04-01,"USWTRADE",1616.8,2025-05-14,2025-05-14
1945-05-01,"USWTRADE",1638.1,2025-05-14,2025-05-14
1945-06-01,"USWTRADE",1634,2025-05-14,2025-05-14
1945-07-01,"USWTRADE",1648.3,2025-05-14,2025-05-14
1945-08-01,"USWTRADE",1657.9,2025-05-14,2025-05-14
1945-09-01,"USWTRADE",1683.8,2025-05-14,2025-05-14
1945-10-01,"USWTRADE",1711.5,2025-05-14,2025-05-14
1945-11-01,"USWTRADE",1741.5,2025-05-14,2025-05-14
1945-12-01,"USWTRADE",1777.8,2025-05-14,2025-05-14
1946-01-01,"USWTRADE",1815.7,2025-05-14,2025-05-14
1946-02-01,"USWTRADE",1844.5,2025-05-14,2025-05-14
1946-03-01,"USWTRADE",1881.8,2025-05-14,2025-05-14
1946-04-01,"USWTRADE",1909.8,2025-05-14,2025-05-14
1946-05-01,"USWTRADE",1931.3,2025-05-14,2025-05-14
1946-06-01,"USWTRADE",1950.7,2025-05-14,2025-05-14
1946-07-01,"USWTRADE",1967.7,2025-05-14,2025-05-14
1946-08-01,"USWTRADE",1988.9,2025-05-14,2025-05-14
1946-09-01,"USWTRADE",1992.5,2025-05-14,2025-05-14
1946-10-01,"USWTRADE",2002.1,2025-05-14,2025-05-14
1946-11-01,"USWTRADE",2023.8,2025-05-14,2025-05-14
1946-12-01,"USWTRADE",2052.8,2025-05-14,2025-05-14
1947-01-01,"USWTRADE",2047.8,2025-05-14,2025-05-14
1947-02-01,"USWTRADE",2051.7,2025-05-14,2025-05-14
1947-03-01,"USWTRADE",2059.2,2025-05-14,2025-05-14
1947-04-01,"USWTRADE",2062.2,2025-05-14,2025-05-14
1947-05-01,"USWTRADE",2068.3,2025-05-14,2025-05-14
1947-06-01,"USWTRADE",2085.6,2025-05-14,2025-05-14
1947-07-01,"USWTRADE",2101.4,2025-05-14,2025-05-14
1947-08-01,"USWTRADE",2111.6,2025-05-14,2025-05-14
1947-09-01,"USWTRADE",2141.4,2025-05-14,2025-05-14
1947-10-01,"USWTRADE",2150.1,2025-05-14,2025-05-14
1947-11-01,"USWTRADE",2152.8,2025-05-14,2025-05-14
1947-12-01,"USWTRADE",2153.8,2025-05-14,2025-05-14
1948-01-01,"USWTRADE",2164.1,2025-05-14,2025-05-14
1948-02-01,"USWTRADE",2177.3,2025-05-14,2025-05-14
1948-03-01,"USWTRADE",2181.6,2025-05-14,2025-05-14
1948-04-01,"USWTRADE",2187.1,2025-05-14,2025-05-14
1948-05-01,"USWTRADE",2202.6,2025-05-14,2025-05-14
1948-06-01,"USWTRADE",2211.4,2025-05-14,2025-05-14
1948-07-01,"USWTRADE",2223.8,2025-05-14,2025-05-14
1948-08-01,"USWTRADE",2234.4,2025-05-14,2025-05-14
1948-09-01,"USWTRADE",2241.1,2025-05-14,2025-05-14
1948-10-01,"USWTRADE",2242.8,2025-05-14,2025-05-14
1948-11-01,"USWTRADE",2245,2025-05-14,2025-05-14
1948-12-01,"USWTRADE",2236.8,2025-05-14,2025-05-14
1949-01-01,"USWTRADE",2230.1,2025-05-14,2025-05-14
1949-02-01,"USWTRADE",2226.3,2025-05-14,2025-05-14
1949-03-01,"USWTRADE",2224.4,2025-05-14,2025-05-14
1949-04-01,"USWTRADE",2223.2,2025-05-14,2025-05-14
1949-05-01,"USWTRADE",2216.7,2025-05-14,2025-05-14
1949-06-01,"USWTRADE",2213.7,2025-05-14,2025-05-14
1949-07-01,"USWTRADE",2186.4,2025-05-14,2025-05-14
1949-08-01,"USWTRADE",2199.5,2025-05-14,2025-05-14
1949-09-01,"USWTRADE",2209,2025-05-14,2025-05-14
1949-10-01,"USWTRADE",2206.3,2025-05-14,2025-05-14
1949-11-01,"USWTRADE",2188,2025-05-14,2025-05-14
1949-12-01,"USWTRADE",2197.5,2025-05-14,2025-05-14
1950-01-01,"USWTRADE",2199.5,2025-05-14,2025-05-14
1950-02-01,"USWTRADE",2195.3,2025-05-14,2025-05-14
1950-03-01,"USWTRADE",2197.6,2025-05-14,2025-05-14
1950-04-01,"USWTRADE",2206.2,2025-05-14,2025-05-14
1950-05-01,"USWTRADE",2218,2025-05-14,2025-05-14
1950-06-01,"USWTRADE",2227.7,2025-05-14,2025-05-14
