"Name","Value","Date"
"Total_private",110732,20179
"Goods_producing",15400,20179
"Mining_logging",465,20179
"Construction",6035,20179
"Manufacturing",8900,20179
"Durable_goods",5368,20179
"Nondurable_goods",3532,20179
"Private_service_providing",95332,20179
"Trade_transportation_utilities",24707,20179
"Wholesale_trade",4881.7,20179
"Retail_trade",13403,20179
"Transportation_warehousing",5950.3,20179
"Utilities",472.2,20179
"Information",2347,20179
"Financial_activities",6989,20179
"Professional_business_services",17772,20179
"Education_health_services",23828,20179
"Leisure_hospitality",14796,20179
"Other_services",4893,20179
