"date","series_id","value","realtime_start","realtime_end"
1947-01-01,"CES2000000006",1882,2025-05-14,2025-05-14
1947-02-01,"CES2000000006",1934,2025-05-14,2025-05-14
1947-03-01,"CES2000000006",1923,2025-05-14,2025-05-14
1947-04-01,"CES2000000006",1926,2025-05-14,2025-05-14
1947-05-01,"CES2000000006",1915,2025-05-14,2025-05-14
1947-06-01,"CES2000000006",1932,2025-05-14,2025-05-14
1947-07-01,"CES2000000006",1928,2025-05-14,2025-05-14
1947-08-01,"CES2000000006",1940,2025-05-14,2025-05-14
1947-09-01,"CES2000000006",1952,2025-05-14,2025-05-14
1947-10-01,"CES2000000006",1960,2025-05-14,2025-05-14
1947-11-01,"CES2000000006",1957,2025-05-14,2025-05-14
1947-12-01,"CES2000000006",2001,2025-05-14,2025-05-14
1948-01-01,"CES2000000006",2083,2025-05-14,2025-05-14
1948-02-01,"CES2000000006",2034,2025-05-14,2025-05-14
1948-03-01,"CES2000000006",2063,2025-05-14,2025-05-14
1948-04-01,"CES2000000006",2090,2025-05-14,2025-05-14
1948-05-01,"CES2000000006",2111,2025-05-14,2025-05-14
1948-06-01,"CES2000000006",2126,2025-05-14,2025-05-14
1948-07-01,"CES2000000006",2125,2025-05-14,2025-05-14
1948-08-01,"CES2000000006",2115,2025-05-14,2025-05-14
1948-09-01,"CES2000000006",2111,2025-05-14,2025-05-14
1948-10-01,"CES2000000006",2113,2025-05-14,2025-05-14
1948-11-01,"CES2000000006",2128,2025-05-14,2025-05-14
1948-12-01,"CES2000000006",2163,2025-05-14,2025-05-14
1949-01-01,"CES2000000006",2166,2025-05-14,2025-05-14
1949-02-01,"CES2000000006",2159,2025-05-14,2025-05-14
1949-03-01,"CES2000000006",2138,2025-05-14,2025-05-14
1949-04-01,"CES2000000006",2113,2025-05-14,2025-05-14
1949-05-01,"CES2000000006",2099,2025-05-14,2025-05-14
1949-06-01,"CES2000000006",2059,2025-05-14,2025-05-14
1949-07-01,"CES2000000006",2064,2025-05-14,2025-05-14
1949-08-01,"CES2000000006",2068,2025-05-14,2025-05-14
1949-09-01,"CES2000000006",2084,2025-05-14,2025-05-14
1949-10-01,"CES2000000006",2079,2025-05-14,2025-05-14
1949-11-01,"CES2000000006",2089,2025-05-14,2025-05-14
1949-12-01,"CES2000000006",2073,2025-05-14,2025-05-14
1950-01-01,"CES2000000006",2091,2025-05-14,2025-05-14
1950-02-01,"CES2000000006",2105,2025-05-14,2025-05-14
1950-03-01,"CES2000000006",2111,2025-05-14,2025-05-14
1950-04-01,"CES2000000006",2154,2025-05-14,2025-05-14
1950-05-01,"CES2000000006",2198,2025-05-14,2025-05-14
1950-06-01,"CES2000000006",2250,2025-05-14,2025-05-14
1950-07-01,"CES2000000006",2292,2025-05-14,2025-05-14
1950-08-01,"CES2000000006",2325,2025-05-14,2025-05-14
1950-09-01,"CES2000000006",2345,2025-05-14,2025-05-14
1950-10-01,"CES2000000006",2373,2025-05-14,2025-05-14
1950-11-01,"CES2000000006",2392,2025-05-14,2025-05-14
