"date","series_id","value","realtime_start","realtime_end"
1939-01-01,"CES3100000006",3711,2025-05-14,2025-05-14
1939-02-01,"CES3100000006",3776,2025-05-14,2025-05-14
1939-03-01,"CES3100000006",3834,2025-05-14,2025-05-14
1939-04-01,"CES3100000006",3860,2025-05-14,2025-05-14
1939-05-01,"CES3100000006",3852,2025-05-14,2025-05-14
1939-06-01,"CES3100000006",3866,2025-05-14,2025-05-14
1939-07-01,"CES3100000006",3798,2025-05-14,2025-05-14
1939-08-01,"CES3100000006",3889,2025-05-14,2025-05-14
1939-09-01,"CES3100000006",4041,2025-05-14,2025-05-14
1939-10-01,"CES3100000006",4243,2025-05-14,2025-05-14
1939-11-01,"CES3100000006",4297,2025-05-14,2025-05-14
1939-12-01,"CES3100000006",4385,2025-05-14,2025-05-14
1940-01-01,"CES3100000006",4336,2025-05-14,2025-05-14
1940-02-01,"CES3100000006",4323,2025-05-14,2025-05-14
1940-03-01,"CES3100000006",4323,2025-05-14,2025-05-14
1940-04-01,"CES3100000006",4304,2025-05-14,2025-05-14
1940-05-01,"CES3100000006",4328,2025-05-14,2025-05-14
1940-06-01,"CES3100000006",4344,2025-05-14,2025-05-14
1940-07-01,"CES3100000006",4287,2025-05-14,2025-05-14
1940-08-01,"CES3100000006",4482,2025-05-14,2025-05-14
1940-09-01,"CES3100000006",4651,2025-05-14,2025-05-14
1940-10-01,"CES3100000006",4792,2025-05-14,2025-05-14
1940-11-01,"CES3100000006",4904,2025-05-14,2025-05-14
1940-12-01,"CES3100000006",5040,2025-05-14,2025-05-14
1941-01-01,"CES3100000006",5141,2025-05-14,2025-05-14
1941-02-01,"CES3100000006",5282,2025-05-14,2025-05-14
1941-03-01,"CES3100000006",5416,2025-05-14,2025-05-14
1941-04-01,"CES3100000006",5611,2025-05-14,2025-05-14
1941-05-01,"CES3100000006",5787,2025-05-14,2025-05-14
1941-06-01,"CES3100000006",5950,2025-05-14,2025-05-14
1941-07-01,"CES3100000006",6068,2025-05-14,2025-05-14
1941-08-01,"CES3100000006",6170,2025-05-14,2025-05-14
1941-09-01,"CES3100000006",6279,2025-05-14,2025-05-14
1941-10-01,"CES3100000006",6350,2025-05-14,2025-05-14
1941-11-01,"CES3100000006",6365,2025-05-14,2025-05-14
