"date","series_id","value","realtime_start","realtime_end"
1964-01-01,"CES6500000006",3238,2025-05-14,2025-05-14
1964-02-01,"CES6500000006",3248,2025-05-14,2025-05-14
1964-03-01,"CES6500000006",3244,2025-05-14,2025-05-14
1964-04-01,"CES6500000006",3272,2025-05-14,2025-05-14
1964-05-01,"CES6500000006",3286,2025-05-14,2025-05-14
1964-06-01,"CES6500000006",3300,2025-05-14,2025-05-14
1964-07-01,"CES6500000006",3311,2025-05-14,2025-05-14
1964-08-01,"CES6500000006",3324,2025-05-14,2025-05-14
1964-09-01,"CES6500000006",3351,2025-05-14,2025-05-14
1964-10-01,"CES6500000006",3351,2025-05-14,2025-05-14
1964-11-01,"CES6500000006",3355,2025-05-14,2025-05-14
1964-12-01,"CES6500000006",3354,2025-05-14,2025-05-14
1965-01-01,"CES6500000006",3372,2025-05-14,2025-05-14
1965-02-01,"CES6500000006",3380,2025-05-14,2025-05-14
1965-03-01,"CES6500000006",3381,2025-05-14,2025-05-14
1965-04-01,"CES6500000006",3404,2025-05-14,2025-05-14
1965-05-01,"CES6500000006",3421,2025-05-14,2025-05-14
1965-06-01,"CES6500000006",3436,2025-05-14,2025-05-14
1965-07-01,"CES6500000006",3453,2025-05-14,2025-05-14
1965-08-01,"CES6500000006",3466,2025-05-14,2025-05-14
1965-09-01,"CES6500000006",3489,2025-05-14,2025-05-14
1965-10-01,"CES6500000006",3492,2025-05-14,2025-05-14
1965-11-01,"CES6500000006",3505,2025-05-14,2025-05-14
1965-12-01,"CES6500000006",3520,2025-05-14,2025-05-14
1966-01-01,"CES6500000006",3536,2025-05-14,2025-05-14
1966-02-01,"CES6500000006",3552,2025-05-14,2025-05-14
1966-03-01,"CES6500000006",3565,2025-05-14,2025-05-14
1966-04-01,"CES6500000006",3584,2025-05-14,2025-05-14
1966-05-01,"CES6500000006",3600,2025-05-14,2025-05-14
1966-06-01,"CES6500000006",3615,2025-05-14,2025-05-14
1966-07-01,"CES6500000006",3633,2025-05-14,2025-05-14
1966-08-01,"CES6500000006",3648,2025-05-14,2025-05-14
1966-09-01,"CES6500000006",3661,2025-05-14,2025-05-14
1966-10-01,"CES6500000006",3678,2025-05-14,2025-05-14
1966-11-01,"CES6500000006",3693,2025-05-14,2025-05-14
1966-12-01,"CES6500000006",3707,2025-05-14,2025-05-14
1967-01-01,"CES6500000006",3725,2025-05-14,2025-05-14
1967-02-01,"CES6500000006",3737,2025-05-14,2025-05-14
1967-03-01,"CES6500000006",3755,2025-05-14,2025-05-14
1967-04-01,"CES6500000006",3775,2025-05-14,2025-05-14
1967-05-01,"CES6500000006",3792,2025-05-14,2025-05-14
1967-06-01,"CES6500000006",3809,2025-05-14,2025-05-14
1967-07-01,"CES6500000006",3826,2025-05-14,2025-05-14
1967-08-01,"CES6500000006",3844,2025-05-14,2025-05-14
1967-09-01,"CES6500000006",3866,2025-05-14,2025-05-14
1967-10-01,"CES6500000006",3873,2025-05-14,2025-05-14
1967-11-01,"CES6500000006",3903,2025-05-14,2025-05-14
1967-12-01,"CES6500000006",3919,2025-05-14,2025-05-14
1968-01-01,"CES6500000006",3931,2025-05-14,2025-05-14
1968-02-01,"CES6500000006",3949,2025-05-14,2025-05-14
1968-03-01,"CES6500000006",3961,2025-05-14,2025-05-14
1968-04-01,"CES6500000006",3967,2025-05-14,2025-05-14
1968-05-01,"CES6500000006",3979,2025-05-14,2025-05-14
1968-06-01,"CES6500000006",4002,2025-05-14,2025-05-14
1968-07-01,"CES6500000006",4014,2025-05-14,2025-05-14
1968-08-01,"CES6500000006",4029,2025-05-14,2025-05-14
1968-09-01,"CES6500000006",4028,2025-05-14,2025-05-14
1968-10-01,"CES6500000006",4055,2025-05-14,2025-05-14
1968-11-01,"CES6500000006",4082,2025-05-14,2025-05-14
1968-12-01,"CES6500000006",4099,2025-05-14,2025-05-14
1969-01-01,"CES6500000006",4118,2025-05-14,2025-05-14
1969-02-01,"CES6500000006",4133,2025-05-14,2025-05-14
1969-03-01,"CES6500000006",4152,2025-05-14,2025-05-14
1969-04-01,"CES6500000006",4167,2025-05-14,2025-05-14
1969-05-01,"CES6500000006",4178,2025-05-14,2025-05-14
1969-06-01,"CES6500000006",4188,2025-05-14,2025-05-14
1969-07-01,"CES6500000006",4211,2025-05-14,2025-05-14
1969-08-01,"CES6500000006",4223,2025-05-14,2025-05-14
1969-09-01,"CES6500000006",4222,2025-05-14,2025-05-14
1969-10-01,"CES6500000006",4248,2025-05-14,2025-05-14
1969-11-01,"CES6500000006",4249,2025-05-14,2025-05-14
1969-12-01,"CES6500000006",4263,2025-05-14,2025-05-14
1970-01-01,"CES6500000006",4272,2025-05-14,2025-05-14
1970-02-01,"CES6500000006",4286,2025-05-14,2025-05-14
1970-03-01,"CES6500000006",4291,2025-05-14,2025-05-14
1970-04-01,"CES6500000006",4299,2025-05-14,2025-05-14
1970-05-01,"CES6500000006",4308,2025-05-14,2025-05-14
