"date","series_id","value","realtime_start","realtime_end"
1964-01-01,"CES5500000006",2370,2025-05-14,2025-05-14
1964-02-01,"CES5500000006",2374,2025-05-14,2025-05-14
1964-03-01,"CES5500000006",2374,2025-05-14,2025-05-14
1964-04-01,"CES5500000006",2384,2025-05-14,2025-05-14
1964-05-01,"CES5500000006",2387,2025-05-14,2025-05-14
1964-06-01,"CES5500000006",2388,2025-05-14,2025-05-14
1964-07-01,"CES5500000006",2391,2025-05-14,2025-05-14
1964-08-01,"CES5500000006",2392,2025-05-14,2025-05-14
1964-09-01,"CES5500000006",2402,2025-05-14,2025-05-14
1964-10-01,"CES5500000006",2403,2025-05-14,2025-05-14
1964-11-01,"CES5500000006",2404,2025-05-14,2025-05-14
1964-12-01,"CES5500000006",2404,2025-05-14,2025-05-14
1965-01-01,"CES5500000006",2415,2025-05-14,2025-05-14
1965-02-01,"CES5500000006",2418,2025-05-14,2025-05-14
1965-03-01,"CES5500000006",2419,2025-05-14,2025-05-14
1965-04-01,"CES5500000006",2422,2025-05-14,2025-05-14
1965-05-01,"CES5500000006",2427,2025-05-14,2025-05-14
1965-06-01,"CES5500000006",2427,2025-05-14,2025-05-14
1965-07-01,"CES5500000006",2434,2025-05-14,2025-05-14
1965-08-01,"CES5500000006",2437,2025-05-14,2025-05-14
1965-09-01,"CES5500000006",2443,2025-05-14,2025-05-14
1965-10-01,"CES5500000006",2453,2025-05-14,2025-05-14
1965-11-01,"CES5500000006",2454,2025-05-14,2025-05-14
1965-12-01,"CES5500000006",2457,2025-05-14,2025-05-14
1966-01-01,"CES5500000006",2462,2025-05-14,2025-05-14
1966-02-01,"CES5500000006",2465,2025-05-14,2025-05-14
1966-03-01,"CES5500000006",2474,2025-05-14,2025-05-14
1966-04-01,"CES5500000006",2476,2025-05-14,2025-05-14
1966-05-01,"CES5500000006",2483,2025-05-14,2025-05-14
1966-06-01,"CES5500000006",2492,2025-05-14,2025-05-14
1966-07-01,"CES5500000006",2501,2025-05-14,2025-05-14
1966-08-01,"CES5500000006",2499,2025-05-14,2025-05-14
1966-09-01,"CES5500000006",2504,2025-05-14,2025-05-14
1966-10-01,"CES5500000006",2507,2025-05-14,2025-05-14
1966-11-01,"CES5500000006",2514,2025-05-14,2025-05-14
1966-12-01,"CES5500000006",2520,2025-05-14,2025-05-14
1967-01-01,"CES5500000006",2525,2025-05-14,2025-05-14
1967-02-01,"CES5500000006",2536,2025-05-14,2025-05-14
1967-03-01,"CES5500000006",2545,2025-05-14,2025-05-14
1967-04-01,"CES5500000006",2557,2025-05-14,2025-05-14
1967-05-01,"CES5500000006",2567,2025-05-14,2025-05-14
1967-06-01,"CES5500000006",2579,2025-05-14,2025-05-14
1967-07-01,"CES5500000006",2589,2025-05-14,2025-05-14
1967-08-01,"CES5500000006",2604,2025-05-14,2025-05-14
1967-09-01,"CES5500000006",2615,2025-05-14,2025-05-14
1967-10-01,"CES5500000006",2623,2025-05-14,2025-05-14
1967-11-01,"CES5500000006",2632,2025-05-14,2025-05-14
1967-12-01,"CES5500000006",2643,2025-05-14,2025-05-14
1968-01-01,"CES5500000006",2648,2025-05-14,2025-05-14
1968-02-01,"CES5500000006",2658,2025-05-14,2025-05-14
1968-03-01,"CES5500000006",2665,2025-05-14,2025-05-14
1968-04-01,"CES5500000006",2673,2025-05-14,2025-05-14
1968-05-01,"CES5500000006",2680,2025-05-14,2025-05-14
1968-06-01,"CES5500000006",2683,2025-05-14,2025-05-14
1968-07-01,"CES5500000006",2698,2025-05-14,2025-05-14
1968-08-01,"CES5500000006",2715,2025-05-14,2025-05-14
1968-09-01,"CES5500000006",2725,2025-05-14,2025-05-14
1968-10-01,"CES5500000006",2741,2025-05-14,2025-05-14
1968-11-01,"CES5500000006",2756,2025-05-14,2025-05-14
1968-12-01,"CES5500000006",2764,2025-05-14,2025-05-14
1969-01-01,"CES5500000006",2780,2025-05-14,2025-05-14
1969-02-01,"CES5500000006",2795,2025-05-14,2025-05-14
1969-03-01,"CES5500000006",2806,2025-05-14,2025-05-14
1969-04-01,"CES5500000006",2816,2025-05-14,2025-05-14
1969-05-01,"CES5500000006",2824,2025-05-14,2025-05-14
1969-06-01,"CES5500000006",2837,2025-05-14,2025-05-14
1969-07-01,"CES5500000006",2853,2025-05-14,2025-05-14
1969-08-01,"CES5500000006",2866,2025-05-14,2025-05-14
1969-09-01,"CES5500000006",2865,2025-05-14,2025-05-14
1969-10-01,"CES5500000006",2876,2025-05-14,2025-05-14
1969-11-01,"CES5500000006",2882,2025-05-14,2025-05-14
1969-12-01,"CES5500000006",2897,2025-05-14,2025-05-14
1970-01-01,"CES5500000006",2908,2025-05-14,2025-05-14
1970-02-01,"CES5500000006",2909,2025-05-14,2025-05-14
1970-03-01,"CES5500000006",2918,2025-05-14,2025-05-14
1970-04-01,"CES5500000006",2921,2025-05-14,2025-05-14
1970-05-01,"CES5500000006",2921,2025-05-14,2025-05-14
1970-06-01,"CES5500000006",2922,2025-05-14,2025-05-14
1970-07-01,"CES5500000006",2922,2025-05-14,2025-05-14
1970-08-01,"CES5500000006",2917,2025-05-14,2025-05-14
1970-09-01,"CES5500000006",2925,2025-05-14,2025-05-14
1970-10-01,"CES5500000006",2928,2025-05-14,2025-05-14
