"date","series_id","value","realtime_start","realtime_end"
1947-01-01,"CES0600000006",15180,2025-05-14,2025-05-14
1947-02-01,"CES0600000006",15275,2025-05-14,2025-05-14
1947-03-01,"CES0600000006",15295,2025-05-14,2025-05-14
1947-04-01,"CES0600000006",15290,2025-05-14,2025-05-14
1947-05-01,"CES0600000006",15223,2025-05-14,2025-05-14
1947-06-01,"CES0600000006",15183,2025-05-14,2025-05-14
1947-07-01,"CES0600000006",15058,2025-05-14,2025-05-14
1947-08-01,"CES0600000006",15182,2025-05-14,2025-05-14
1947-09-01,"CES0600000006",15257,2025-05-14,2025-05-14
1947-10-01,"CES0600000006",15306,2025-05-14,2025-05-14
1947-11-01,"CES0600000006",15337,2025-05-14,2025-05-14
1947-12-01,"CES0600000006",15417,2025-05-14,2025-05-14
1948-01-01,"CES0600000006",15502,2025-05-14,2025-05-14
1948-02-01,"CES0600000006",15360,2025-05-14,2025-05-14
1948-03-01,"CES0600000006",15452,2025-05-14,2025-05-14
1948-04-01,"CES0600000006",15195,2025-05-14,2025-05-14
1948-05-01,"CES0600000006",15361,2025-05-14,2025-05-14
1948-06-01,"CES0600000006",15441,2025-05-14,2025-05-14
1948-07-01,"CES0600000006",15453,2025-05-14,2025-05-14
1948-08-01,"CES0600000006",15425,2025-05-14,2025-05-14
1948-09-01,"CES0600000006",15476,2025-05-14,2025-05-14
1948-10-01,"CES0600000006",15388,2025-05-14,2025-05-14
1948-11-01,"CES0600000006",15337,2025-05-14,2025-05-14
1948-12-01,"CES0600000006",15193,2025-05-14,2025-05-14
1949-01-01,"CES0600000006",14966,2025-05-14,2025-05-14
1949-02-01,"CES0600000006",14841,2025-05-14,2025-05-14
1949-03-01,"CES0600000006",14674,2025-05-14,2025-05-14
1949-04-01,"CES0600000006",14512,2025-05-14,2025-05-14
1949-05-01,"CES0600000006",14320,2025-05-14,2025-05-14
1949-06-01,"CES0600000006",14180,2025-05-14,2025-05-14
1949-07-01,"CES0600000006",14082,2025-05-14,2025-05-14
1949-08-01,"CES0600000006",14160,2025-05-14,2025-05-14
1949-09-01,"CES0600000006",14202,2025-05-14,2025-05-14
1949-10-01,"CES0600000006",13531,2025-05-14,2025-05-14
1949-11-01,"CES0600000006",13862,2025-05-14,2025-05-14
1949-12-01,"CES0600000006",14075,2025-05-14,2025-05-14
1950-01-01,"CES0600000006",14112,2025-05-14,2025-05-14
1950-02-01,"CES0600000006",13887,2025-05-14,2025-05-14
1950-03-01,"CES0600000006",14310,2025-05-14,2025-05-14
1950-04-01,"CES0600000006",14521,2025-05-14,2025-05-14
1950-05-01,"CES0600000006",14894,2025-05-14,2025-05-14
1950-06-01,"CES0600000006",15070,2025-05-14,2025-05-14
1950-07-01,"CES0600000006",15240,2025-05-14,2025-05-14
1950-08-01,"CES0600000006",15652,2025-05-14,2025-05-14
1950-09-01,"CES0600000006",15716,2025-05-14,2025-05-14
1950-10-01,"CES0600000006",15884,2025-05-14,2025-05-14
1950-11-01,"CES0600000006",15922,2025-05-14,2025-05-14
1950-12-01,"CES0600000006",15922,2025-05-14,2025-05-14
1951-01-01,"CES0600000006",16095,2025-05-14,2025-05-14
1951-02-01,"CES0600000006",16222,2025-05-14,2025-05-14
1951-03-01,"CES0600000006",16270,2025-05-14,2025-05-14
1951-04-01,"CES0600000006",16304,2025-05-14,2025-05-14
1951-05-01,"CES0600000006",16301,2025-05-14,2025-05-14
1951-06-01,"CES0600000006",16279,2025-05-14,2025-05-14
1951-07-01,"CES0600000006",16195,2025-05-14,2025-05-14
1951-08-01,"CES0600000006",16115,2025-05-14,2025-05-14
1951-09-01,"CES0600000006",15980,2025-05-14,2025-05-14
1951-10-01,"CES0600000006",15963,2025-05-14,2025-05-14
1951-11-01,"CES0600000006",15938,2025-05-14,2025-05-14
1951-12-01,"CES0600000006",16005,2025-05-14,2025-05-14
1952-01-01,"CES0600000006",16012,2025-05-14,2025-05-14
1952-02-01,"CES0600000006",16080,2025-05-14,2025-05-14
1952-03-01,"CES0600000006",16027,2025-05-14,2025-05-14
1952-04-01,"CES0600000006",16034,2025-05-14,2025-05-14
1952-05-01,"CES0600000006",15991,2025-05-14,2025-05-14
1952-06-01,"CES0600000006",15621,2025-05-14,2025-05-14
1952-07-01,"CES0600000006",15471,2025-05-14,2025-05-14
1952-08-01,"CES0600000006",16084,2025-05-14,2025-05-14
1952-09-01,"CES0600000006",16325,2025-05-14,2025-05-14
