"date","series_id","value","realtime_start","realtime_end"
1964-01-01,"CES5000000006",1200,2025-05-14,2025-05-14
1964-02-01,"CES5000000006",1200,2025-05-14,2025-05-14
1964-03-01,"CES5000000006",1200,2025-05-14,2025-05-14
1964-04-01,"CES5000000006",1207,2025-05-14,2025-05-14
1964-05-01,"CES5000000006",1211,2025-05-14,2025-05-14
1964-06-01,"CES5000000006",1210,2025-05-14,2025-05-14
1964-07-01,"CES5000000006",1219,2025-05-14,2025-05-14
1964-08-01,"CES5000000006",1221,2025-05-14,2025-05-14
1964-09-01,"CES5000000006",1232,2025-05-14,2025-05-14
1964-10-01,"CES5000000006",1225,2025-05-14,2025-05-14
1964-11-01,"CES5000000006",1233,2025-05-14,2025-05-14
1964-12-01,"CES5000000006",1239,2025-05-14,2025-05-14
1965-01-01,"CES5000000006",1234,2025-05-14,2025-05-14
1965-02-01,"CES5000000006",1244,2025-05-14,2025-05-14
1965-03-01,"CES5000000006",1251,2025-05-14,2025-05-14
1965-04-01,"CES5000000006",1255,2025-05-14,2025-05-14
1965-05-01,"CES5000000006",1259,2025-05-14,2025-05-14
1965-06-01,"CES5000000006",1264,2025-05-14,2025-05-14
1965-07-01,"CES5000000006",1272,2025-05-14,2025-05-14
1965-08-01,"CES5000000006",1276,2025-05-14,2025-05-14
1965-09-01,"CES5000000006",1284,2025-05-14,2025-05-14
1965-10-01,"CES5000000006",1291,2025-05-14,2025-05-14
1965-11-01,"CES5000000006",1293,2025-05-14,2025-05-14
1965-12-01,"CES5000000006",1295,2025-05-14,2025-05-14
1966-01-01,"CES5000000006",1302,2025-05-14,2025-05-14
1966-02-01,"CES5000000006",1310,2025-05-14,2025-05-14
1966-03-01,"CES5000000006",1316,2025-05-14,2025-05-14
1966-04-01,"CES5000000006",1322,2025-05-14,2025-05-14
1966-05-01,"CES5000000006",1330,2025-05-14,2025-05-14
1966-06-01,"CES5000000006",1337,2025-05-14,2025-05-14
1966-07-01,"CES5000000006",1336,2025-05-14,2025-05-14
1966-08-01,"CES5000000006",1335,2025-05-14,2025-05-14
1966-09-01,"CES5000000006",1351,2025-05-14,2025-05-14
1966-10-01,"CES5000000006",1358,2025-05-14,2025-05-14
1966-11-01,"CES5000000006",1358,2025-05-14,2025-05-14
1966-12-01,"CES5000000006",1360,2025-05-14,2025-05-14
1967-01-01,"CES5000000006",1369,2025-05-14,2025-05-14
1967-02-01,"CES5000000006",1364,2025-05-14,2025-05-14
1967-03-01,"CES5000000006",1363,2025-05-14,2025-05-14
1967-04-01,"CES5000000006",1353,2025-05-14,2025-05-14
1967-05-01,"CES5000000006",1364,2025-05-14,2025-05-14
1967-06-01,"CES5000000006",1362,2025-05-14,2025-05-14
1967-07-01,"CES5000000006",1364,2025-05-14,2025-05-14
1967-08-01,"CES5000000006",1365,2025-05-14,2025-05-14
1967-09-01,"CES5000000006",1363,2025-05-14,2025-05-14
1967-10-01,"CES5000000006",1363,2025-05-14,2025-05-14
1967-11-01,"CES5000000006",1379,2025-05-14,2025-05-14
1967-12-01,"CES5000000006",1378,2025-05-14,2025-05-14
1968-01-01,"CES5000000006",1380,2025-05-14,2025-05-14
1968-02-01,"CES5000000006",1384,2025-05-14,2025-05-14
1968-03-01,"CES5000000006",1384,2025-05-14,2025-05-14
1968-04-01,"CES5000000006",1388,2025-05-14,2025-05-14
1968-05-01,"CES5000000006",1379,2025-05-14,2025-05-14
1968-06-01,"CES5000000006",1390,2025-05-14,2025-05-14
1968-07-01,"CES5000000006",1394,2025-05-14,2025-05-14
1968-08-01,"CES5000000006",1395,2025-05-14,2025-05-14
1968-09-01,"CES5000000006",1401,2025-05-14,2025-05-14
1968-10-01,"CES5000000006",1406,2025-05-14,2025-05-14
1968-11-01,"CES5000000006",1414,2025-05-14,2025-05-14
1968-12-01,"CES5000000006",1417,2025-05-14,2025-05-14
1969-01-01,"CES5000000006",1414,2025-05-14,2025-05-14
1969-02-01,"CES5000000006",1419,2025-05-14,2025-05-14
1969-03-01,"CES5000000006",1424,2025-05-14,2025-05-14
1969-04-01,"CES5000000006",1431,2025-05-14,2025-05-14
1969-05-01,"CES5000000006",1435,2025-05-14,2025-05-14
1969-06-01,"CES5000000006",1440,2025-05-14,2025-05-14
1969-07-01,"CES5000000006",1445,2025-05-14,2025-05-14
1969-08-01,"CES5000000006",1451,2025-05-14,2025-05-14
1969-09-01,"CES5000000006",1449,2025-05-14,2025-05-14
1969-10-01,"CES5000000006",1451,2025-05-14,2025-05-14
1969-11-01,"CES5000000006",1446,2025-05-14,2025-05-14
1969-12-01,"CES5000000006",1446,2025-05-14,2025-05-14
1970-01-01,"CES5000000006",1448,2025-05-14,2025-05-14
1970-02-01,"CES5000000006",1442,2025-05-14,2025-05-14
1970-03-01,"CES5000000006",1441,2025-05-14,2025-05-14
1970-04-01,"CES5000000006",1430,2025-05-14,2025-05-14
1970-05-01,"CES5000000006",1425,2025-05-14,2025-05-14
1970-06-01,"CES5000000006",1426,2025-05-14,2025-05-14
1970-07-01,"CES5000000006",1432,2025-05-14,2025-05-14
1970-08-01,"CES5000000006",1423,2025-05-14,2025-05-14
1970-09-01,"CES5000000006",1422,2025-05-14,2025-05-14
1970-10-01,"CES5000000006",1397,2025-05-14,2025-05-14
1970-11-01,"CES5000000006",1390,2025-05-14,2025-05-14
1970-12-01,"CES5000000006",1388,2025-05-14,2025-05-14
1971-01-01,"CES5000000006",1395,2025-05-14,2025-05-14
1971-02-01,"CES5000000006",1397,2025-05-14,2025-05-14
1971-03-01,"CES5000000006",1391,2025-05-14,2025-05-14
1971-04-01,"CES5000000006",1392,2025-05-14,2025-05-14
1971-05-01,"CES5000000006",1399,2025-05-14,2025-05-14
1971-06-01,"CES5000000006",1393,2025-05-14,2025-05-14
1971-07-01,"CES5000000006",1393,2025-05-14,2025-05-14
1971-08-01,"CES5000000006",1383,2025-05-14,2025-05-14
1971-09-01,"CES5000000006",1392,2025-05-14,2025-05-14
1971-10-01,"CES5000000006",1384,2025-05-14,2025-05-14
1971-11-01,"CES5000000006",1388,2025-05-14,2025-05-14
1971-12-01,"CES5000000006",1396,2025-05-14,2025-05-14
1972-01-01,"CES5000000006",1403,2025-05-14,2025-05-14
1972-02-01,"CES5000000006",1408,2025-05-14,2025-05-14
1972-03-01,"CES5000000006",1422,2025-05-14,2025-05-14
1972-04-01,"CES5000000006",1424,2025-05-14,2025-05-14
1972-05-01,"CES5000000006",1428,2025-05-14,2025-05-14
1972-06-01,"CES5000000006",1436,2025-05-14,2025-05-14
1972-07-01,"CES5000000006",1431,2025-05-14,2025-05-14
1972-08-01,"CES5000000006",1439,2025-05-14,2025-05-14
1972-09-01,"CES5000000006",1446,2025-05-14,2025-05-14
1972-10-01,"CES5000000006",1456,2025-05-14,2025-05-14
