"date","series_id","value","realtime_start","realtime_end"
1964-01-01,"CES7000000006",3219,2025-05-14,2025-05-14
1964-02-01,"CES7000000006",3233,2025-05-14,2025-05-14
1964-03-01,"CES7000000006",3243,2025-05-14,2025-05-14
1964-04-01,"CES7000000006",3217,2025-05-14,2025-05-14
1964-05-01,"CES7000000006",3251,2025-05-14,2025-05-14
1964-06-01,"CES7000000006",3267,2025-05-14,2025-05-14
1964-07-01,"CES7000000006",3282,2025-05-14,2025-05-14
1964-08-01,"CES7000000006",3300,2025-05-14,2025-05-14
1964-09-01,"CES7000000006",3312,2025-05-14,2025-05-14
1964-10-01,"CES7000000006",3324,2025-05-14,2025-05-14
1964-11-01,"CES7000000006",3325,2025-05-14,2025-05-14
1964-12-01,"CES7000000006",3358,2025-05-14,2025-05-14
1965-01-01,"CES7000000006",3365,2025-05-14,2025-05-14
1965-02-01,"CES7000000006",3381,2025-05-14,2025-05-14
1965-03-01,"CES7000000006",3372,2025-05-14,2025-05-14
1965-04-01,"CES7000000006",3413,2025-05-14,2025-05-14
1965-05-01,"CES7000000006",3426,2025-05-14,2025-05-14
1965-06-01,"CES7000000006",3435,2025-05-14,2025-05-14
1965-07-01,"CES7000000006",3448,2025-05-14,2025-05-14
1965-08-01,"CES7000000006",3461,2025-05-14,2025-05-14
1965-09-01,"CES7000000006",3478,2025-05-14,2025-05-14
1965-10-01,"CES7000000006",3489,2025-05-14,2025-05-14
1965-11-01,"CES7000000006",3496,2025-05-14,2025-05-14
1965-12-01,"CES7000000006",3538,2025-05-14,2025-05-14
1966-01-01,"CES7000000006",3534,2025-05-14,2025-05-14
1966-02-01,"CES7000000006",3545,2025-05-14,2025-05-14
1966-03-01,"CES7000000006",3554,2025-05-14,2025-05-14
1966-04-01,"CES7000000006",3571,2025-05-14,2025-05-14
1966-05-01,"CES7000000006",3592,2025-05-14,2025-05-14
1966-06-01,"CES7000000006",3608,2025-05-14,2025-05-14
1966-07-01,"CES7000000006",3623,2025-05-14,2025-05-14
1966-08-01,"CES7000000006",3634,2025-05-14,2025-05-14
1966-09-01,"CES7000000006",3639,2025-05-14,2025-05-14
1966-10-01,"CES7000000006",3651,2025-05-14,2025-05-14
1966-11-01,"CES7000000006",3651,2025-05-14,2025-05-14
1966-12-01,"CES7000000006",3677,2025-05-14,2025-05-14
1967-01-01,"CES7000000006",3672,2025-05-14,2025-05-14
1967-02-01,"CES7000000006",3677,2025-05-14,2025-05-14
1967-03-01,"CES7000000006",3696,2025-05-14,2025-05-14
1967-04-01,"CES7000000006",3679,2025-05-14,2025-05-14
1967-05-01,"CES7000000006",3711,2025-05-14,2025-05-14
1967-06-01,"CES7000000006",3724,2025-05-14,2025-05-14
1967-07-01,"CES7000000006",3738,2025-05-14,2025-05-14
1967-08-01,"CES7000000006",3747,2025-05-14,2025-05-14
1967-09-01,"CES7000000006",3768,2025-05-14,2025-05-14
1967-10-01,"CES7000000006",3770,2025-05-14,2025-05-14
1967-11-01,"CES7000000006",3795,2025-05-14,2025-05-14
1967-12-01,"CES7000000006",3826,2025-05-14,2025-05-14
1968-01-01,"CES7000000006",3798,2025-05-14,2025-05-14
1968-02-01,"CES7000000006",3832,2025-05-14,2025-05-14
1968-03-01,"CES7000000006",3841,2025-05-14,2025-05-14
1968-04-01,"CES7000000006",3862,2025-05-14,2025-05-14
1968-05-01,"CES7000000006",3871,2025-05-14,2025-05-14
1968-06-01,"CES7000000006",3885,2025-05-14,2025-05-14
1968-07-01,"CES7000000006",3899,2025-05-14,2025-05-14
1968-08-01,"CES7000000006",3921,2025-05-14,2025-05-14
1968-09-01,"CES7000000006",3935,2025-05-14,2025-05-14
1968-10-01,"CES7000000006",3955,2025-05-14,2025-05-14
1968-11-01,"CES7000000006",3975,2025-05-14,2025-05-14
1968-12-01,"CES7000000006",3993,2025-05-14,2025-05-14
1969-01-01,"CES7000000006",4003,2025-05-14,2025-05-14
1969-02-01,"CES7000000006",4021,2025-05-14,2025-05-14
1969-03-01,"CES7000000006",4038,2025-05-14,2025-05-14
1969-04-01,"CES7000000006",4050,2025-05-14,2025-05-14
1969-05-01,"CES7000000006",4072,2025-05-14,2025-05-14
1969-06-01,"CES7000000006",4090,2025-05-14,2025-05-14
1969-07-01,"CES7000000006",4104,2025-05-14,2025-05-14
1969-08-01,"CES7000000006",4117,2025-05-14,2025-05-14
1969-09-01,"CES7000000006",4120,2025-05-14,2025-05-14
1969-10-01,"CES7000000006",4142,2025-05-14,2025-05-14
1969-11-01,"CES7000000006",4153,2025-05-14,2025-05-14
1969-12-01,"CES7000000006",4158,2025-05-14,2025-05-14
1970-01-01,"CES7000000006",4160,2025-05-14,2025-05-14
1970-02-01,"CES7000000006",4176,2025-05-14,2025-05-14
1970-03-01,"CES7000000006",4192,2025-05-14,2025-05-14
1970-04-01,"CES7000000006",4179,2025-05-14,2025-05-14
1970-05-01,"CES7000000006",4184,2025-05-14,2025-05-14
1970-06-01,"CES7000000006",4181,2025-05-14,2025-05-14
1970-07-01,"CES7000000006",4183,2025-05-14,2025-05-14
1970-08-01,"CES7000000006",4177,2025-05-14,2025-05-14
1970-09-01,"CES7000000006",4193,2025-05-14,2025-05-14
1970-10-01,"CES7000000006",4202,2025-05-14,2025-05-14
1970-11-01,"CES7000000006",4190,2025-05-14,2025-05-14
1970-12-01,"CES7000000006",4210,2025-05-14,2025-05-14
1971-01-01,"CES7000000006",4231,2025-05-14,2025-05-14
1971-02-01,"CES7000000006",4231,2025-05-14,2025-05-14
1971-03-01,"CES7000000006",4243,2025-05-14,2025-05-14
1971-04-01,"CES7000000006",4258,2025-05-14,2025-05-14
1971-05-01,"CES7000000006",4270,2025-05-14,2025-05-14
1971-06-01,"CES7000000006",4277,2025-05-14,2025-05-14
1971-07-01,"CES7000000006",4294,2025-05-14,2025-05-14
1971-08-01,"CES7000000006",4304,2025-05-14,2025-05-14
1971-09-01,"CES7000000006",4318,2025-05-14,2025-05-14
1971-10-01,"CES7000000006",4318,2025-05-14,2025-05-14
1971-11-01,"CES7000000006",4324,2025-05-14,2025-05-14
1971-12-01,"CES7000000006",4352,2025-05-14,2025-05-14
1972-01-01,"CES7000000006",4373,2025-05-14,2025-05-14
1972-02-01,"CES7000000006",4394,2025-05-14,2025-05-14
1972-03-01,"CES7000000006",4409,2025-05-14,2025-05-14
1972-04-01,"CES7000000006",4424,2025-05-14,2025-05-14
1972-05-01,"CES7000000006",4436,2025-05-14,2025-05-14
1972-06-01,"CES7000000006",4459,2025-05-14,2025-05-14
1972-07-01,"CES7000000006",4465,2025-05-14,2025-05-14
1972-08-01,"CES7000000006",4483,2025-05-14,2025-05-14
1972-09-01,"CES7000000006",4494,2025-05-14,2025-05-14
1972-10-01,"CES7000000006",4520,2025-05-14,2025-05-14
1972-11-01,"CES7000000006",4551,2025-05-14,2025-05-14
1972-12-01,"CES7000000006",4575,2025-05-14,2025-05-14
1973-01-01,"CES7000000006",4599,2025-05-14,2025-05-14
1973-02-01,"CES7000000006",4616,2025-05-14,2025-05-14
1973-03-01,"CES7000000006",4636,2025-05-14,2025-05-14
1973-04-01,"CES7000000006",4644,2025-05-14,2025-05-14
1973-05-01,"CES7000000006",4654,2025-05-14,2025-05-14
1973-06-01,"CES7000000006",4659,2025-05-14,2025-05-14
1973-07-01,"CES7000000006",4655,2025-05-14,2025-05-14
1973-08-01,"CES7000000006",4669,2025-05-14,2025-05-14
1973-09-01,"CES7000000006",4677,2025-05-14,2025-05-14
1973-10-01,"CES7000000006",4704,2025-05-14,2025-05-14
1973-11-01,"CES7000000006",4728,2025-05-14,2025-05-14
1973-12-01,"CES7000000006",4720,2025-05-14,2025-05-14
1974-01-01,"CES7000000006",4719,2025-05-14,2025-05-14
1974-02-01,"CES7000000006",4721,2025-05-14,2025-05-14
1974-03-01,"CES7000000006",4728,2025-05-14,2025-05-14
