"date","series_id","value","realtime_start","realtime_end"
1939-01-01,"CES3000000006",7818,2025-05-14,2025-05-14
1939-02-01,"CES3000000006",7907,2025-05-14,2025-05-14
1939-03-01,"CES3000000006",7997,2025-05-14,2025-05-14
1939-04-01,"CES3000000006",8021,2025-05-14,2025-05-14
1939-05-01,"CES3000000006",8011,2025-05-14,2025-05-14
1939-06-01,"CES3000000006",8022,2025-05-14,2025-05-14
1939-07-01,"CES3000000006",7974,2025-05-14,2025-05-14
1939-08-01,"CES3000000006",8116,2025-05-14,2025-05-14
1939-09-01,"CES3000000006",8304,2025-05-14,2025-05-14
1939-10-01,"CES3000000006",8565,2025-05-14,2025-05-14
1939-11-01,"CES3000000006",8587,2025-05-14,2025-05-14
1939-12-01,"CES3000000006",8637,2025-05-14,2025-05-14
1940-01-01,"CES3000000006",8593,2025-05-14,2025-05-14
1940-02-01,"CES3000000006",8578,2025-05-14,2025-05-14
1940-03-01,"CES3000000006",8534,2025-05-14,2025-05-14
1940-04-01,"CES3000000006",8471,2025-05-14,2025-05-14
1940-05-01,"CES3000000006",8464,2025-05-14,2025-05-14
1940-06-01,"CES3000000006",8473,2025-05-14,2025-05-14
1940-07-01,"CES3000000006",8432,2025-05-14,2025-05-14
1940-08-01,"CES3000000006",8669,2025-05-14,2025-05-14
1940-09-01,"CES3000000006",8887,2025-05-14,2025-05-14
1940-10-01,"CES3000000006",9094,2025-05-14,2025-05-14
1940-11-01,"CES3000000006",9236,2025-05-14,2025-05-14
1940-12-01,"CES3000000006",9437,2025-05-14,2025-05-14
1941-01-01,"CES3000000006",9579,2025-05-14,2025-05-14
1941-02-01,"CES3000000006",9767,2025-05-14,2025-05-14
1941-03-01,"CES3000000006",9971,2025-05-14,2025-05-14
1941-04-01,"CES3000000006",10249,2025-05-14,2025-05-14
1941-05-01,"CES3000000006",10497,2025-05-14,2025-05-14
1941-06-01,"CES3000000006",10722,2025-05-14,2025-05-14
1941-07-01,"CES3000000006",10909,2025-05-14,2025-05-14
1941-08-01,"CES3000000006",11049,2025-05-14,2025-05-14
1941-09-01,"CES3000000006",11171,2025-05-14,2025-05-14
1941-10-01,"CES3000000006",11249,2025-05-14,2025-05-14
