"date","series_id","value","realtime_start","realtime_end"
1947-01-01,"CES1000000006",853,2025-05-14,2025-05-14
1947-02-01,"CES1000000006",854,2025-05-14,2025-05-14
1947-03-01,"CES1000000006",854,2025-05-14,2025-05-14
1947-04-01,"CES1000000006",833,2025-05-14,2025-05-14
1947-05-01,"CES1000000006",859,2025-05-14,2025-05-14
1947-06-01,"CES1000000006",862,2025-05-14,2025-05-14
1947-07-01,"CES1000000006",865,2025-05-14,2025-05-14
1947-08-01,"CES1000000006",872,2025-05-14,2025-05-14
1947-09-01,"CES1000000006",875,2025-05-14,2025-05-14
1947-10-01,"CES1000000006",882,2025-05-14,2025-05-14
1947-11-01,"CES1000000006",886,2025-05-14,2025-05-14
1947-12-01,"CES1000000006",890,2025-05-14,2025-05-14
1948-01-01,"CES1000000006",899,2025-05-14,2025-05-14
1948-02-01,"CES1000000006",889,2025-05-14,2025-05-14
1948-03-01,"CES1000000006",900,2025-05-14,2025-05-14
1948-04-01,"CES1000000006",801,2025-05-14,2025-05-14
1948-05-01,"CES1000000006",906,2025-05-14,2025-05-14
1948-06-01,"CES1000000006",913,2025-05-14,2025-05-14
1948-07-01,"CES1000000006",911,2025-05-14,2025-05-14
1948-08-01,"CES1000000006",913,2025-05-14,2025-05-14
1948-09-01,"CES1000000006",915,2025-05-14,2025-05-14
1948-10-01,"CES1000000006",911,2025-05-14,2025-05-14
1948-11-01,"CES1000000006",907,2025-05-14,2025-05-14
1948-12-01,"CES1000000006",903,2025-05-14,2025-05-14
1949-01-01,"CES1000000006",895,2025-05-14,2025-05-14
1949-02-01,"CES1000000006",890,2025-05-14,2025-05-14
1949-03-01,"CES1000000006",882,2025-05-14,2025-05-14
1949-04-01,"CES1000000006",882,2025-05-14,2025-05-14
1949-05-01,"CES1000000006",869,2025-05-14,2025-05-14
1949-06-01,"CES1000000006",855,2025-05-14,2025-05-14
1949-07-01,"CES1000000006",850,2025-05-14,2025-05-14
1949-08-01,"CES1000000006",841,2025-05-14,2025-05-14
1949-09-01,"CES1000000006",834,2025-05-14,2025-05-14
1949-10-01,"CES1000000006",512,2025-05-14,2025-05-14
1949-11-01,"CES1000000006",809,2025-05-14,2025-05-14
1949-12-01,"CES1000000006",829,2025-05-14,2025-05-14
1950-01-01,"CES1000000006",763,2025-05-14,2025-05-14
1950-02-01,"CES1000000006",520,2025-05-14,2025-05-14
1950-03-01,"CES1000000006",837,2025-05-14,2025-05-14
1950-04-01,"CES1000000006",839,2025-05-14,2025-05-14
1950-05-01,"CES1000000006",841,2025-05-14,2025-05-14
1950-06-01,"CES1000000006",841,2025-05-14,2025-05-14
1950-07-01,"CES1000000006",841,2025-05-14,2025-05-14
1950-08-01,"CES1000000006",851,2025-05-14,2025-05-14
1950-09-01,"CES1000000006",852,2025-05-14,2025-05-14
1950-10-01,"CES1000000006",852,2025-05-14,2025-05-14
1950-11-01,"CES1000000006",848,2025-05-14,2025-05-14
1950-12-01,"CES1000000006",844,2025-05-14,2025-05-14
1951-01-01,"CES1000000006",843,2025-05-14,2025-05-14
1951-02-01,"CES1000000006",844,2025-05-14,2025-05-14
1951-03-01,"CES1000000006",844,2025-05-14,2025-05-14
1951-04-01,"CES1000000006",830,2025-05-14,2025-05-14
1951-05-01,"CES1000000006",836,2025-05-14,2025-05-14
1951-06-01,"CES1000000006",839,2025-05-14,2025-05-14
1951-07-01,"CES1000000006",839,2025-05-14,2025-05-14
1951-08-01,"CES1000000006",839,2025-05-14,2025-05-14
1951-09-01,"CES1000000006",831,2025-05-14,2025-05-14
1951-10-01,"CES1000000006",837,2025-05-14,2025-05-14
1951-11-01,"CES1000000006",836,2025-05-14,2025-05-14
1951-12-01,"CES1000000006",834,2025-05-14,2025-05-14
1952-01-01,"CES1000000006",835,2025-05-14,2025-05-14
1952-02-01,"CES1000000006",832,2025-05-14,2025-05-14
1952-03-01,"CES1000000006",834,2025-05-14,2025-05-14
1952-04-01,"CES1000000006",832,2025-05-14,2025-05-14
1952-05-01,"CES1000000006",827,2025-05-14,2025-05-14
1952-06-01,"CES1000000006",748,2025-05-14,2025-05-14
1952-07-01,"CES1000000006",725,2025-05-14,2025-05-14
1952-08-01,"CES1000000006",802,2025-05-14,2025-05-14
1952-09-01,"CES1000000006",798,2025-05-14,2025-05-14
1952-10-01,"CES1000000006",795,2025-05-14,2025-05-14
1952-11-01,"CES1000000006",792,2025-05-14,2025-05-14
1952-12-01,"CES1000000006",792,2025-05-14,2025-05-14
1953-01-01,"CES1000000006",794,2025-05-14,2025-05-14
1953-02-01,"CES1000000006",787,2025-05-14,2025-05-14
1953-03-01,"CES1000000006",781,2025-05-14,2025-05-14
1953-04-01,"CES1000000006",778,2025-05-14,2025-05-14
1953-05-01,"CES1000000006",776,2025-05-14,2025-05-14
1953-06-01,"CES1000000006",774,2025-05-14,2025-05-14
1953-07-01,"CES1000000006",776,2025-05-14,2025-05-14
1953-08-01,"CES1000000006",769,2025-05-14,2025-05-14
1953-09-01,"CES1000000006",765,2025-05-14,2025-05-14
1953-10-01,"CES1000000006",758,2025-05-14,2025-05-14
1953-11-01,"CES1000000006",753,2025-05-14,2025-05-14
1953-12-01,"CES1000000006",745,2025-05-14,2025-05-14
1954-01-01,"CES1000000006",737,2025-05-14,2025-05-14
1954-02-01,"CES1000000006",731,2025-05-14,2025-05-14
1954-03-01,"CES1000000006",714,2025-05-14,2025-05-14
1954-04-01,"CES1000000006",703,2025-05-14,2025-05-14
1954-05-01,"CES1000000006",692,2025-05-14,2025-05-14
1954-06-01,"CES1000000006",686,2025-05-14,2025-05-14
1954-07-01,"CES1000000006",683,2025-05-14,2025-05-14
1954-08-01,"CES1000000006",678,2025-05-14,2025-05-14
1954-09-01,"CES1000000006",661,2025-05-14,2025-05-14
