"date","series_id","value","realtime_start","realtime_end"
1939-01-01,"CES3200000006",4107,2025-05-14,2025-05-14
1939-02-01,"CES3200000006",4131,2025-05-14,2025-05-14
1939-03-01,"CES3200000006",4163,2025-05-14,2025-05-14
1939-04-01,"CES3200000006",4161,2025-05-14,2025-05-14
1939-05-01,"CES3200000006",4159,2025-05-14,2025-05-14
1939-06-01,"CES3200000006",4156,2025-05-14,2025-05-14
1939-07-01,"CES3200000006",4176,2025-05-14,2025-05-14
1939-08-01,"CES3200000006",4227,2025-05-14,2025-05-14
1939-09-01,"CES3200000006",4263,2025-05-14,2025-05-14
1939-10-01,"CES3200000006",4322,2025-05-14,2025-05-14
1939-11-01,"CES3200000006",4290,2025-05-14,2025-05-14
1939-12-01,"CES3200000006",4252,2025-05-14,2025-05-14
1940-01-01,"CES3200000006",4257,2025-05-14,2025-05-14
1940-02-01,"CES3200000006",4255,2025-05-14,2025-05-14
1940-03-01,"CES3200000006",4211,2025-05-14,2025-05-14
1940-04-01,"CES3200000006",4167,2025-05-14,2025-05-14
1940-05-01,"CES3200000006",4136,2025-05-14,2025-05-14
1940-06-01,"CES3200000006",4129,2025-05-14,2025-05-14
1940-07-01,"CES3200000006",4145,2025-05-14,2025-05-14
1940-08-01,"CES3200000006",4187,2025-05-14,2025-05-14
1940-09-01,"CES3200000006",4236,2025-05-14,2025-05-14
1940-10-01,"CES3200000006",4302,2025-05-14,2025-05-14
1940-11-01,"CES3200000006",4332,2025-05-14,2025-05-14
1940-12-01,"CES3200000006",4397,2025-05-14,2025-05-14
1941-01-01,"CES3200000006",4438,2025-05-14,2025-05-14
1941-02-01,"CES3200000006",4485,2025-05-14,2025-05-14
1941-03-01,"CES3200000006",4555,2025-05-14,2025-05-14
1941-04-01,"CES3200000006",4638,2025-05-14,2025-05-14
1941-05-01,"CES3200000006",4710,2025-05-14,2025-05-14
1941-06-01,"CES3200000006",4772,2025-05-14,2025-05-14
1941-07-01,"CES3200000006",4841,2025-05-14,2025-05-14
1941-08-01,"CES3200000006",4879,2025-05-14,2025-05-14
1941-09-01,"CES3200000006",4892,2025-05-14,2025-05-14
1941-10-01,"CES3200000006",4899,2025-05-14,2025-05-14
1941-11-01,"CES3200000006",4896,2025-05-14,2025-05-14
1941-12-01,"CES3200000006",4897,2025-05-14,2025-05-14
1942-01-01,"CES3200000006",4901,2025-05-14,2025-05-14
1942-02-01,"CES3200000006",4932,2025-05-14,2025-05-14
1942-03-01,"CES3200000006",4958,2025-05-14,2025-05-14
1942-04-01,"CES3200000006",4985,2025-05-14,2025-05-14
1942-05-01,"CES3200000006",5008,2025-05-14,2025-05-14
1942-06-01,"CES3200000006",4961,2025-05-14,2025-05-14
1942-07-01,"CES3200000006",5016,2025-05-14,2025-05-14
1942-08-01,"CES3200000006",5025,2025-05-14,2025-05-14
1942-09-01,"CES3200000006",5098,2025-05-14,2025-05-14
1942-10-01,"CES3200000006",5088,2025-05-14,2025-05-14
1942-11-01,"CES3200000006",5109,2025-05-14,2025-05-14
1942-12-01,"CES3200000006",5152,2025-05-14,2025-05-14
1943-01-01,"CES3200000006",5179,2025-05-14,2025-05-14
1943-02-01,"CES3200000006",5171,2025-05-14,2025-05-14
1943-03-01,"CES3200000006",5175,2025-05-14,2025-05-14
1943-04-01,"CES3200000006",5172,2025-05-14,2025-05-14
1943-05-01,"CES3200000006",5168,2025-05-14,2025-05-14
1943-06-01,"CES3200000006",5191,2025-05-14,2025-05-14
1943-07-01,"CES3200000006",5224,2025-05-14,2025-05-14
1943-08-01,"CES3200000006",5195,2025-05-14,2025-05-14
1943-09-01,"CES3200000006",5122,2025-05-14,2025-05-14
1943-10-01,"CES3200000006",5160,2025-05-14,2025-05-14
