"date","series_id","value","realtime_start","realtime_end"
1964-01-01,"CES8000000006",1082,2025-05-14,2025-05-14
1964-02-01,"CES8000000006",1086,2025-05-14,2025-05-14
1964-03-01,"CES8000000006",1085,2025-05-14,2025-05-14
1964-04-01,"CES8000000006",1095,2025-05-14,2025-05-14
1964-05-01,"CES8000000006",1101,2025-05-14,2025-05-14
1964-06-01,"CES8000000006",1106,2025-05-14,2025-05-14
1964-07-01,"CES8000000006",1111,2025-05-14,2025-05-14
1964-08-01,"CES8000000006",1115,2025-05-14,2025-05-14
1964-09-01,"CES8000000006",1126,2025-05-14,2025-05-14
1964-10-01,"CES8000000006",1125,2025-05-14,2025-05-14
1964-11-01,"CES8000000006",1127,2025-05-14,2025-05-14
1964-12-01,"CES8000000006",1127,2025-05-14,2025-05-14
1965-01-01,"CES8000000006",1134,2025-05-14,2025-05-14
1965-02-01,"CES8000000006",1137,2025-05-14,2025-05-14
1965-03-01,"CES8000000006",1138,2025-05-14,2025-05-14
1965-04-01,"CES8000000006",1146,2025-05-14,2025-05-14
1965-05-01,"CES8000000006",1153,2025-05-14,2025-05-14
1965-06-01,"CES8000000006",1158,2025-05-14,2025-05-14
1965-07-01,"CES8000000006",1165,2025-05-14,2025-05-14
1965-08-01,"CES8000000006",1170,2025-05-14,2025-05-14
1965-09-01,"CES8000000006",1179,2025-05-14,2025-05-14
1965-10-01,"CES8000000006",1180,2025-05-14,2025-05-14
1965-11-01,"CES8000000006",1185,2025-05-14,2025-05-14
1965-12-01,"CES8000000006",1191,2025-05-14,2025-05-14
1966-01-01,"CES8000000006",1197,2025-05-14,2025-05-14
1966-02-01,"CES8000000006",1203,2025-05-14,2025-05-14
1966-03-01,"CES8000000006",1208,2025-05-14,2025-05-14
1966-04-01,"CES8000000006",1215,2025-05-14,2025-05-14
1966-05-01,"CES8000000006",1222,2025-05-14,2025-05-14
1966-06-01,"CES8000000006",1227,2025-05-14,2025-05-14
1966-07-01,"CES8000000006",1234,2025-05-14,2025-05-14
1966-08-01,"CES8000000006",1240,2025-05-14,2025-05-14
1966-09-01,"CES8000000006",1245,2025-05-14,2025-05-14
1966-10-01,"CES8000000006",1252,2025-05-14,2025-05-14
1966-11-01,"CES8000000006",1257,2025-05-14,2025-05-14
1966-12-01,"CES8000000006",1263,2025-05-14,2025-05-14
1967-01-01,"CES8000000006",1269,2025-05-14,2025-05-14
1967-02-01,"CES8000000006",1274,2025-05-14,2025-05-14
1967-03-01,"CES8000000006",1281,2025-05-14,2025-05-14
1967-04-01,"CES8000000006",1289,2025-05-14,2025-05-14
1967-05-01,"CES8000000006",1295,2025-05-14,2025-05-14
1967-06-01,"CES8000000006",1302,2025-05-14,2025-05-14
1967-07-01,"CES8000000006",1308,2025-05-14,2025-05-14
1967-08-01,"CES8000000006",1315,2025-05-14,2025-05-14
1967-09-01,"CES8000000006",1324,2025-05-14,2025-05-14
1967-10-01,"CES8000000006",1327,2025-05-14,2025-05-14
1967-11-01,"CES8000000006",1338,2025-05-14,2025-05-14
1967-12-01,"CES8000000006",1345,2025-05-14,2025-05-14
1968-01-01,"CES8000000006",1349,2025-05-14,2025-05-14
1968-02-01,"CES8000000006",1356,2025-05-14,2025-05-14
1968-03-01,"CES8000000006",1361,2025-05-14,2025-05-14
1968-04-01,"CES8000000006",1363,2025-05-14,2025-05-14
1968-05-01,"CES8000000006",1368,2025-05-14,2025-05-14
1968-06-01,"CES8000000006",1377,2025-05-14,2025-05-14
1968-07-01,"CES8000000006",1381,2025-05-14,2025-05-14
1968-08-01,"CES8000000006",1387,2025-05-14,2025-05-14
1968-09-01,"CES8000000006",1387,2025-05-14,2025-05-14
1968-10-01,"CES8000000006",1398,2025-05-14,2025-05-14
1968-11-01,"CES8000000006",1408,2025-05-14,2025-05-14
1968-12-01,"CES8000000006",1414,2025-05-14,2025-05-14
1969-01-01,"CES8000000006",1422,2025-05-14,2025-05-14
1969-02-01,"CES8000000006",1428,2025-05-14,2025-05-14
1969-03-01,"CES8000000006",1435,2025-05-14,2025-05-14
1969-04-01,"CES8000000006",1441,2025-05-14,2025-05-14
1969-05-01,"CES8000000006",1445,2025-05-14,2025-05-14
1969-06-01,"CES8000000006",1450,2025-05-14,2025-05-14
1969-07-01,"CES8000000006",1458,2025-05-14,2025-05-14
1969-08-01,"CES8000000006",1463,2025-05-14,2025-05-14
1969-09-01,"CES8000000006",1463,2025-05-14,2025-05-14
1969-10-01,"CES8000000006",1473,2025-05-14,2025-05-14
1969-11-01,"CES8000000006",1473,2025-05-14,2025-05-14
1969-12-01,"CES8000000006",1478,2025-05-14,2025-05-14
1970-01-01,"CES8000000006",1482,2025-05-14,2025-05-14
1970-02-01,"CES8000000006",1487,2025-05-14,2025-05-14
1970-03-01,"CES8000000006",1489,2025-05-14,2025-05-14
1970-04-01,"CES8000000006",1492,2025-05-14,2025-05-14
1970-05-01,"CES8000000006",1496,2025-05-14,2025-05-14
1970-06-01,"CES8000000006",1494,2025-05-14,2025-05-14
1970-07-01,"CES8000000006",1490,2025-05-14,2025-05-14
1970-08-01,"CES8000000006",1486,2025-05-14,2025-05-14
1970-09-01,"CES8000000006",1498,2025-05-14,2025-05-14
1970-10-01,"CES8000000006",1504,2025-05-14,2025-05-14
1970-11-01,"CES8000000006",1506,2025-05-14,2025-05-14
1970-12-01,"CES8000000006",1506,2025-05-14,2025-05-14
1971-01-01,"CES8000000006",1509,2025-05-14,2025-05-14
1971-02-01,"CES8000000006",1508,2025-05-14,2025-05-14
1971-03-01,"CES8000000006",1509,2025-05-14,2025-05-14
