"date","series_id","value","realtime_start","realtime_end"
1964-01-01,"CES0800000006",24601,2025-05-14,2025-05-14
1964-02-01,"CES0800000006",24651,2025-05-14,2025-05-14
1964-03-01,"CES0800000006",24683,2025-05-14,2025-05-14
1964-04-01,"CES0800000006",24708,2025-05-14,2025-05-14
1964-05-01,"CES0800000006",24806,2025-05-14,2025-05-14
1964-06-01,"CES0800000006",24872,2025-05-14,2025-05-14
1964-07-01,"CES0800000006",24982,2025-05-14,2025-05-14
1964-08-01,"CES0800000006",25080,2025-05-14,2025-05-14
1964-09-01,"CES0800000006",25208,2025-05-14,2025-05-14
1964-10-01,"CES0800000006",25233,2025-05-14,2025-05-14
1964-11-01,"CES0800000006",25283,2025-05-14,2025-05-14
1964-12-01,"CES0800000006",25367,2025-05-14,2025-05-14
1965-01-01,"CES0800000006",25449,2025-05-14,2025-05-14
1965-02-01,"CES0800000006",25555,2025-05-14,2025-05-14
1965-03-01,"CES0800000006",25580,2025-05-14,2025-05-14
1965-04-01,"CES0800000006",25778,2025-05-14,2025-05-14
1965-05-01,"CES0800000006",25829,2025-05-14,2025-05-14
1965-06-01,"CES0800000006",25907,2025-05-14,2025-05-14
1965-07-01,"CES0800000006",26007,2025-05-14,2025-05-14
1965-08-01,"CES0800000006",26100,2025-05-14,2025-05-14
1965-09-01,"CES0800000006",26227,2025-05-14,2025-05-14
1965-10-01,"CES0800000006",26297,2025-05-14,2025-05-14
1965-11-01,"CES0800000006",26368,2025-05-14,2025-05-14
1965-12-01,"CES0800000006",26496,2025-05-14,2025-05-14
1966-01-01,"CES0800000006",26572,2025-05-14,2025-05-14
1966-02-01,"CES0800000006",26663,2025-05-14,2025-05-14
1966-03-01,"CES0800000006",26750,2025-05-14,2025-05-14
1966-04-01,"CES0800000006",26868,2025-05-14,2025-05-14
1966-05-01,"CES0800000006",26970,2025-05-14,2025-05-14
1966-06-01,"CES0800000006",27088,2025-05-14,2025-05-14
1966-07-01,"CES0800000006",27178,2025-05-14,2025-05-14
1966-08-01,"CES0800000006",27235,2025-05-14,2025-05-14
1966-09-01,"CES0800000006",27330,2025-05-14,2025-05-14
1966-10-01,"CES0800000006",27423,2025-05-14,2025-05-14
1966-11-01,"CES0800000006",27486,2025-05-14,2025-05-14
1966-12-01,"CES0800000006",27582,2025-05-14,2025-05-14
1967-01-01,"CES0800000006",27660,2025-05-14,2025-05-14
1967-02-01,"CES0800000006",27690,2025-05-14,2025-05-14
1967-03-01,"CES0800000006",27797,2025-05-14,2025-05-14
1967-04-01,"CES0800000006",27773,2025-05-14,2025-05-14
1967-05-01,"CES0800000006",27927,2025-05-14,2025-05-14
1967-06-01,"CES0800000006",28006,2025-05-14,2025-05-14
1967-07-01,"CES0800000006",28094,2025-05-14,2025-05-14
1967-08-01,"CES0800000006",28186,2025-05-14,2025-05-14
1967-09-01,"CES0800000006",28278,2025-05-14,2025-05-14
1967-10-01,"CES0800000006",28293,2025-05-14,2025-05-14
1967-11-01,"CES0800000006",28501,2025-05-14,2025-05-14
1967-12-01,"CES0800000006",28599,2025-05-14,2025-05-14
1968-01-01,"CES0800000006",28555,2025-05-14,2025-05-14
1968-02-01,"CES0800000006",28731,2025-05-14,2025-05-14
1968-03-01,"CES0800000006",28784,2025-05-14,2025-05-14
1968-04-01,"CES0800000006",28898,2025-05-14,2025-05-14
1968-05-01,"CES0800000006",28899,2025-05-14,2025-05-14
1968-06-01,"CES0800000006",29047,2025-05-14,2025-05-14
