"date","series_id","value","realtime_start","realtime_end"
1964-01-01,"CES6000000006",3307,2025-05-14,2025-05-14
1964-02-01,"CES6000000006",3316,2025-05-14,2025-05-14
1964-03-01,"CES6000000006",3313,2025-05-14,2025-05-14
1964-04-01,"CES6000000006",3340,2025-05-14,2025-05-14
1964-05-01,"CES6000000006",3355,2025-05-14,2025-05-14
1964-06-01,"CES6000000006",3368,2025-05-14,2025-05-14
1964-07-01,"CES6000000006",3383,2025-05-14,2025-05-14
1964-08-01,"CES6000000006",3397,2025-05-14,2025-05-14
1964-09-01,"CES6000000006",3428,2025-05-14,2025-05-14
1964-10-01,"CES6000000006",3419,2025-05-14,2025-05-14
1964-11-01,"CES6000000006",3429,2025-05-14,2025-05-14
1964-12-01,"CES6000000006",3437,2025-05-14,2025-05-14
1965-01-01,"CES6000000006",3448,2025-05-14,2025-05-14
1965-02-01,"CES6000000006",3459,2025-05-14,2025-05-14
1965-03-01,"CES6000000006",3463,2025-05-14,2025-05-14
1965-04-01,"CES6000000006",3488,2025-05-14,2025-05-14
1965-05-01,"CES6000000006",3504,2025-05-14,2025-05-14
1965-06-01,"CES6000000006",3521,2025-05-14,2025-05-14
1965-07-01,"CES6000000006",3540,2025-05-14,2025-05-14
1965-08-01,"CES6000000006",3555,2025-05-14,2025-05-14
1965-09-01,"CES6000000006",3581,2025-05-14,2025-05-14
1965-10-01,"CES6000000006",3587,2025-05-14,2025-05-14
1965-11-01,"CES6000000006",3601,2025-05-14,2025-05-14
1965-12-01,"CES6000000006",3619,2025-05-14,2025-05-14
1966-01-01,"CES6000000006",3634,2025-05-14,2025-05-14
1966-02-01,"CES6000000006",3653,2025-05-14,2025-05-14
1966-03-01,"CES6000000006",3669,2025-05-14,2025-05-14
1966-04-01,"CES6000000006",3691,2025-05-14,2025-05-14
1966-05-01,"CES6000000006",3708,2025-05-14,2025-05-14
1966-06-01,"CES6000000006",3726,2025-05-14,2025-05-14
1966-07-01,"CES6000000006",3742,2025-05-14,2025-05-14
1966-08-01,"CES6000000006",3757,2025-05-14,2025-05-14
1966-09-01,"CES6000000006",3774,2025-05-14,2025-05-14
1966-10-01,"CES6000000006",3791,2025-05-14,2025-05-14
1966-11-01,"CES6000000006",3805,2025-05-14,2025-05-14
1966-12-01,"CES6000000006",3817,2025-05-14,2025-05-14
1967-01-01,"CES6000000006",3834,2025-05-14,2025-05-14
1967-02-01,"CES6000000006",3840,2025-05-14,2025-05-14
1967-03-01,"CES6000000006",3854,2025-05-14,2025-05-14
1967-04-01,"CES6000000006",3865,2025-05-14,2025-05-14
1967-05-01,"CES6000000006",3879,2025-05-14,2025-05-14
1967-06-01,"CES6000000006",3895,2025-05-14,2025-05-14
1967-07-01,"CES6000000006",3908,2025-05-14,2025-05-14
1967-08-01,"CES6000000006",3926,2025-05-14,2025-05-14
1967-09-01,"CES6000000006",3942,2025-05-14,2025-05-14
1967-10-01,"CES6000000006",3948,2025-05-14,2025-05-14
1967-11-01,"CES6000000006",3987,2025-05-14,2025-05-14
1967-12-01,"CES6000000006",3997,2025-05-14,2025-05-14
1968-01-01,"CES6000000006",4007,2025-05-14,2025-05-14
1968-02-01,"CES6000000006",4026,2025-05-14,2025-05-14
1968-03-01,"CES6000000006",4037,2025-05-14,2025-05-14
1968-04-01,"CES6000000006",4048,2025-05-14,2025-05-14
1968-05-01,"CES6000000006",4052,2025-05-14,2025-05-14
1968-06-01,"CES6000000006",4077,2025-05-14,2025-05-14
1968-07-01,"CES6000000006",4090,2025-05-14,2025-05-14
1968-08-01,"CES6000000006",4102,2025-05-14,2025-05-14
1968-09-01,"CES6000000006",4104,2025-05-14,2025-05-14
1968-10-01,"CES6000000006",4132,2025-05-14,2025-05-14
1968-11-01,"CES6000000006",4163,2025-05-14,2025-05-14
1968-12-01,"CES6000000006",4175,2025-05-14,2025-05-14
1969-01-01,"CES6000000006",4191,2025-05-14,2025-05-14
1969-02-01,"CES6000000006",4209,2025-05-14,2025-05-14
1969-03-01,"CES6000000006",4226,2025-05-14,2025-05-14
1969-04-01,"CES6000000006",4242,2025-05-14,2025-05-14
1969-05-01,"CES6000000006",4250,2025-05-14,2025-05-14
1969-06-01,"CES6000000006",4267,2025-05-14,2025-05-14
1969-07-01,"CES6000000006",4287,2025-05-14,2025-05-14
1969-08-01,"CES6000000006",4301,2025-05-14,2025-05-14
1969-09-01,"CES6000000006",4296,2025-05-14,2025-05-14
1969-10-01,"CES6000000006",4323,2025-05-14,2025-05-14
1969-11-01,"CES6000000006",4322,2025-05-14,2025-05-14
1969-12-01,"CES6000000006",4328,2025-05-14,2025-05-14
1970-01-01,"CES6000000006",4337,2025-05-14,2025-05-14
1970-02-01,"CES6000000006",4343,2025-05-14,2025-05-14
1970-03-01,"CES6000000006",4348,2025-05-14,2025-05-14
1970-04-01,"CES6000000006",4346,2025-05-14,2025-05-14
1970-05-01,"CES6000000006",4344,2025-05-14,2025-05-14
1970-06-01,"CES6000000006",4340,2025-05-14,2025-05-14
1970-07-01,"CES6000000006",4336,2025-05-14,2025-05-14
1970-08-01,"CES6000000006",4319,2025-05-14,2025-05-14
1970-09-01,"CES6000000006",4340,2025-05-14,2025-05-14
1970-10-01,"CES6000000006",4338,2025-05-14,2025-05-14
1970-11-01,"CES6000000006",4339,2025-05-14,2025-05-14
1970-12-01,"CES6000000006",4340,2025-05-14,2025-05-14
1971-01-01,"CES6000000006",4347,2025-05-14,2025-05-14
1971-02-01,"CES6000000006",4343,2025-05-14,2025-05-14
1971-03-01,"CES6000000006",4343,2025-05-14,2025-05-14
1971-04-01,"CES6000000006",4350,2025-05-14,2025-05-14
1971-05-01,"CES6000000006",4363,2025-05-14,2025-05-14
1971-06-01,"CES6000000006",4370,2025-05-14,2025-05-14
1971-07-01,"CES6000000006",4375,2025-05-14,2025-05-14
1971-08-01,"CES6000000006",4364,2025-05-14,2025-05-14
1971-09-01,"CES6000000006",4385,2025-05-14,2025-05-14
1971-10-01,"CES6000000006",4391,2025-05-14,2025-05-14
1971-11-01,"CES6000000006",4405,2025-05-14,2025-05-14
1971-12-01,"CES6000000006",4420,2025-05-14,2025-05-14
1972-01-01,"CES6000000006",4434,2025-05-14,2025-05-14
1972-02-01,"CES6000000006",4442,2025-05-14,2025-05-14
1972-03-01,"CES6000000006",4467,2025-05-14,2025-05-14
1972-04-01,"CES6000000006",4486,2025-05-14,2025-05-14
1972-05-01,"CES6000000006",4507,2025-05-14,2025-05-14
1972-06-01,"CES6000000006",4555,2025-05-14,2025-05-14
1972-07-01,"CES6000000006",4541,2025-05-14,2025-05-14
1972-08-01,"CES6000000006",4559,2025-05-14,2025-05-14
1972-09-01,"CES6000000006",4566,2025-05-14,2025-05-14
1972-10-01,"CES6000000006",4600,2025-05-14,2025-05-14
1972-11-01,"CES6000000006",4627,2025-05-14,2025-05-14
1972-12-01,"CES6000000006",4651,2025-05-14,2025-05-14
1973-01-01,"CES6000000006",4675,2025-05-14,2025-05-14
1973-02-01,"CES6000000006",4704,2025-05-14,2025-05-14
1973-03-01,"CES6000000006",4723,2025-05-14,2025-05-14
1973-04-01,"CES6000000006",4735,2025-05-14,2025-05-14
1973-05-01,"CES6000000006",4741,2025-05-14,2025-05-14
1973-06-01,"CES6000000006",4752,2025-05-14,2025-05-14
1973-07-01,"CES6000000006",4745,2025-05-14,2025-05-14
1973-08-01,"CES6000000006",4781,2025-05-14,2025-05-14
1973-09-01,"CES6000000006",4802,2025-05-14,2025-05-14
1973-10-01,"CES6000000006",4825,2025-05-14,2025-05-14
1973-11-01,"CES6000000006",4851,2025-05-14,2025-05-14
1973-12-01,"CES6000000006",4859,2025-05-14,2025-05-14
1974-01-01,"CES6000000006",4870,2025-05-14,2025-05-14
1974-02-01,"CES6000000006",4887,2025-05-14,2025-05-14
1974-03-01,"CES6000000006",4892,2025-05-14,2025-05-14
1974-04-01,"CES6000000006",4895,2025-05-14,2025-05-14
1974-05-01,"CES6000000006",4927,2025-05-14,2025-05-14
1974-06-01,"CES6000000006",4938,2025-05-14,2025-05-14
1974-07-01,"CES6000000006",4946,2025-05-14,2025-05-14
1974-08-01,"CES6000000006",4955,2025-05-14,2025-05-14
1974-09-01,"CES6000000006",4952,2025-05-14,2025-05-14
1974-10-01,"CES6000000006",4961,2025-05-14,2025-05-14
1974-11-01,"CES6000000006",4951,2025-05-14,2025-05-14
1974-12-01,"CES6000000006",4935,2025-05-14,2025-05-14
1975-01-01,"CES6000000006",4920,2025-05-14,2025-05-14
1975-02-01,"CES6000000006",4911,2025-05-14,2025-05-14
1975-03-01,"CES6000000006",4908,2025-05-14,2025-05-14
1975-04-01,"CES6000000006",4905,2025-05-14,2025-05-14
1975-05-01,"CES6000000006",4926,2025-05-14,2025-05-14
1975-06-01,"CES6000000006",4922,2025-05-14,2025-05-14
1975-07-01,"CES6000000006",4963,2025-05-14,2025-05-14
1975-08-01,"CES6000000006",4992,2025-05-14,2025-05-14
1975-09-01,"CES6000000006",4986,2025-05-14,2025-05-14
1975-10-01,"CES6000000006",5008,2025-05-14,2025-05-14
1975-11-01,"CES6000000006",5021,2025-05-14,2025-05-14
1975-12-01,"CES6000000006",5044,2025-05-14,2025-05-14
1976-01-01,"CES6000000006",5080,2025-05-14,2025-05-14
1976-02-01,"CES6000000006",5104,2025-05-14,2025-05-14
1976-03-01,"CES6000000006",5127,2025-05-14,2025-05-14
