"date","series_id","value","realtime_start","realtime_end"
1972-01-01,"CES4200000006",7128.2,2025-05-14,2025-05-14
1972-02-01,"CES4200000006",7180.1,2025-05-14,2025-05-14
1972-03-01,"CES4200000006",7207.2,2025-05-14,2025-05-14
1972-04-01,"CES4200000006",7221.9,2025-05-14,2025-05-14
1972-05-01,"CES4200000006",7221.9,2025-05-14,2025-05-14
1972-06-01,"CES4200000006",7233.7,2025-05-14,2025-05-14
1972-07-01,"CES4200000006",7241.2,2025-05-14,2025-05-14
1972-08-01,"CES4200000006",7268.5,2025-05-14,2025-05-14
1972-09-01,"CES4200000006",7259.7,2025-05-14,2025-05-14
1972-10-01,"CES4200000006",7312.6,2025-05-14,2025-05-14
1972-11-01,"CES4200000006",7348.3,2025-05-14,2025-05-14
1972-12-01,"CES4200000006",7475.9,2025-05-14,2025-05-14
1973-01-01,"CES4200000006",7462.5,2025-05-14,2025-05-14
1973-02-01,"CES4200000006",7495.2,2025-05-14,2025-05-14
1973-03-01,"CES4200000006",7525.2,2025-05-14,2025-05-14
1973-04-01,"CES4200000006",7534.9,2025-05-14,2025-05-14
1973-05-01,"CES4200000006",7544.9,2025-05-14,2025-05-14
1973-06-01,"CES4200000006",7549.8,2025-05-14,2025-05-14
1973-07-01,"CES4200000006",7542.1,2025-05-14,2025-05-14
1973-08-01,"CES4200000006",7550.7,2025-05-14,2025-05-14
1973-09-01,"CES4200000006",7531.9,2025-05-14,2025-05-14
1973-10-01,"CES4200000006",7595.7,2025-05-14,2025-05-14
1973-11-01,"CES4200000006",7618.7,2025-05-14,2025-05-14
1973-12-01,"CES4200000006",7673.1,2025-05-14,2025-05-14
1974-01-01,"CES4200000006",7616.9,2025-05-14,2025-05-14
1974-02-01,"CES4200000006",7620.4,2025-05-14,2025-05-14
1974-03-01,"CES4200000006",7628.8,2025-05-14,2025-05-14
1974-04-01,"CES4200000006",7653.4,2025-05-14,2025-05-14
1974-05-01,"CES4200000006",7673.4,2025-05-14,2025-05-14
1974-06-01,"CES4200000006",7682.1,2025-05-14,2025-05-14
1974-07-01,"CES4200000006",7702.7,2025-05-14,2025-05-14
1974-08-01,"CES4200000006",7694.7,2025-05-14,2025-05-14
1974-09-01,"CES4200000006",7709.9,2025-05-14,2025-05-14
1974-10-01,"CES4200000006",7744.8,2025-05-14,2025-05-14
1974-11-01,"CES4200000006",7696.7,2025-05-14,2025-05-14
1974-12-01,"CES4200000006",7677.1,2025-05-14,2025-05-14
1975-01-01,"CES4200000006",7642.1,2025-05-14,2025-05-14
1975-02-01,"CES4200000006",7647.1,2025-05-14,2025-05-14
1975-03-01,"CES4200000006",7644.4,2025-05-14,2025-05-14
1975-04-01,"CES4200000006",7610,2025-05-14,2025-05-14
1975-05-01,"CES4200000006",7646.4,2025-05-14,2025-05-14
1975-06-01,"CES4200000006",7691.2,2025-05-14,2025-05-14
1975-07-01,"CES4200000006",7726.6,2025-05-14,2025-05-14
1975-08-01,"CES4200000006",7762.2,2025-05-14,2025-05-14
1975-09-01,"CES4200000006",7769.8,2025-05-14,2025-05-14
1975-10-01,"CES4200000006",7797.1,2025-05-14,2025-05-14
1975-11-01,"CES4200000006",7791.2,2025-05-14,2025-05-14
1975-12-01,"CES4200000006",7862.9,2025-05-14,2025-05-14
1976-01-01,"CES4200000006",7906.8,2025-05-14,2025-05-14
1976-02-01,"CES4200000006",7965.2,2025-05-14,2025-05-14
1976-03-01,"CES4200000006",7982.5,2025-05-14,2025-05-14
1976-04-01,"CES4200000006",8028.4,2025-05-14,2025-05-14
1976-05-01,"CES4200000006",8045.2,2025-05-14,2025-05-14
1976-06-01,"CES4200000006",8035.1,2025-05-14,2025-05-14
1976-07-01,"CES4200000006",8056.9,2025-05-14,2025-05-14
1976-08-01,"CES4200000006",8085.7,2025-05-14,2025-05-14
1976-09-01,"CES4200000006",8109,2025-05-14,2025-05-14
1976-10-01,"CES4200000006",8119.8,2025-05-14,2025-05-14
1976-11-01,"CES4200000006",8115.7,2025-05-14,2025-05-14
1976-12-01,"CES4200000006",8151.1,2025-05-14,2025-05-14
1977-01-01,"CES4200000006",8191.7,2025-05-14,2025-05-14
1977-02-01,"CES4200000006",8219.3,2025-05-14,2025-05-14
1977-03-01,"CES4200000006",8275.7,2025-05-14,2025-05-14
1977-04-01,"CES4200000006",8306.6,2025-05-14,2025-05-14
1977-05-01,"CES4200000006",8346.2,2025-05-14,2025-05-14
1977-06-01,"CES4200000006",8387.7,2025-05-14,2025-05-14
1977-07-01,"CES4200000006",8414.7,2025-05-14,2025-05-14
1977-08-01,"CES4200000006",8447.5,2025-05-14,2025-05-14
1977-09-01,"CES4200000006",8485.8,2025-05-14,2025-05-14
1977-10-01,"CES4200000006",8520.7,2025-05-14,2025-05-14
1977-11-01,"CES4200000006",8563.7,2025-05-14,2025-05-14
1977-12-01,"CES4200000006",8621.6,2025-05-14,2025-05-14
1978-01-01,"CES4200000006",8658.2,2025-05-14,2025-05-14
1978-02-01,"CES4200000006",8677.4,2025-05-14,2025-05-14
1978-03-01,"CES4200000006",8718.6,2025-05-14,2025-05-14
1978-04-01,"CES4200000006",8763.6,2025-05-14,2025-05-14
1978-05-01,"CES4200000006",8818.4,2025-05-14,2025-05-14
1978-06-01,"CES4200000006",8869,2025-05-14,2025-05-14
1978-07-01,"CES4200000006",8905.7,2025-05-14,2025-05-14
1978-08-01,"CES4200000006",8928.4,2025-05-14,2025-05-14
1978-09-01,"CES4200000006",8955,2025-05-14,2025-05-14
1978-10-01,"CES4200000006",8984,2025-05-14,2025-05-14
1978-11-01,"CES4200000006",9021.9,2025-05-14,2025-05-14
1978-12-01,"CES4200000006",9048.5,2025-05-14,2025-05-14
1979-01-01,"CES4200000006",9069.9,2025-05-14,2025-05-14
1979-02-01,"CES4200000006",9092.2,2025-05-14,2025-05-14
1979-03-01,"CES4200000006",9113.6,2025-05-14,2025-05-14
1979-04-01,"CES4200000006",9117.8,2025-05-14,2025-05-14
1979-05-01,"CES4200000006",9110.2,2025-05-14,2025-05-14
1979-06-01,"CES4200000006",9101.6,2025-05-14,2025-05-14
1979-07-01,"CES4200000006",9069.9,2025-05-14,2025-05-14
1979-08-01,"CES4200000006",9075,2025-05-14,2025-05-14
1979-09-01,"CES4200000006",9099.3,2025-05-14,2025-05-14
1979-10-01,"CES4200000006",9149.8,2025-05-14,2025-05-14
1979-11-01,"CES4200000006",9182.7,2025-05-14,2025-05-14
1979-12-01,"CES4200000006",9187.3,2025-05-14,2025-05-14
1980-01-01,"CES4200000006",9183.3,2025-05-14,2025-05-14
1980-02-01,"CES4200000006",9216.4,2025-05-14,2025-05-14
1980-03-01,"CES4200000006",9217.1,2025-05-14,2025-05-14
1980-04-01,"CES4200000006",9158.6,2025-05-14,2025-05-14
1980-05-01,"CES4200000006",9145,2025-05-14,2025-05-14
1980-06-01,"CES4200000006",9125.6,2025-05-14,2025-05-14
1980-07-01,"CES4200000006",9112.5,2025-05-14,2025-05-14
1980-08-01,"CES4200000006",9130.5,2025-05-14,2025-05-14
1980-09-01,"CES4200000006",9140.6,2025-05-14,2025-05-14
