"date","series_id","value","realtime_start","realtime_end"
1964-01-01,"CES0500000006",39914,2025-05-14,2025-05-14
1964-02-01,"CES0500000006",40123,2025-05-14,2025-05-14
1964-03-01,"CES0500000006",40171,2025-05-14,2025-05-14
1964-04-01,"CES0500000006",40209,2025-05-14,2025-05-14
1964-05-01,"CES0500000006",40331,2025-05-14,2025-05-14
1964-06-01,"CES0500000006",40447,2025-05-14,2025-05-14
1964-07-01,"CES0500000006",40624,2025-05-14,2025-05-14
1964-08-01,"CES0500000006",40771,2025-05-14,2025-05-14
1964-09-01,"CES0500000006",41028,2025-05-14,2025-05-14
1964-10-01,"CES0500000006",40829,2025-05-14,2025-05-14
1964-11-01,"CES0500000006",41158,2025-05-14,2025-05-14
1964-12-01,"CES0500000006",41308,2025-05-14,2025-05-14
1965-01-01,"CES0500000006",41454,2025-05-14,2025-05-14
1965-02-01,"CES0500000006",41584,2025-05-14,2025-05-14
1965-03-01,"CES0500000006",41675,2025-05-14,2025-05-14
1965-04-01,"CES0500000006",41885,2025-05-14,2025-05-14
1965-05-01,"CES0500000006",42044,2025-05-14,2025-05-14
1965-06-01,"CES0500000006",42183,2025-05-14,2025-05-14
1965-07-01,"CES0500000006",42364,2025-05-14,2025-05-14
1965-08-01,"CES0500000006",42536,2025-05-14,2025-05-14
1965-09-01,"CES0500000006",42726,2025-05-14,2025-05-14
1965-10-01,"CES0500000006",42871,2025-05-14,2025-05-14
1965-11-01,"CES0500000006",43045,2025-05-14,2025-05-14
1965-12-01,"CES0500000006",43271,2025-05-14,2025-05-14
1966-01-01,"CES0500000006",43400,2025-05-14,2025-05-14
1966-02-01,"CES0500000006",43551,2025-05-14,2025-05-14
1966-03-01,"CES0500000006",43802,2025-05-14,2025-05-14
1966-04-01,"CES0500000006",43959,2025-05-14,2025-05-14
1966-05-01,"CES0500000006",44138,2025-05-14,2025-05-14
1966-06-01,"CES0500000006",44390,2025-05-14,2025-05-14
1966-07-01,"CES0500000006",44484,2025-05-14,2025-05-14
1966-08-01,"CES0500000006",44597,2025-05-14,2025-05-14
1966-09-01,"CES0500000006",44659,2025-05-14,2025-05-14
1966-10-01,"CES0500000006",44789,2025-05-14,2025-05-14
1966-11-01,"CES0500000006",44835,2025-05-14,2025-05-14
1966-12-01,"CES0500000006",44915,2025-05-14,2025-05-14
1967-01-01,"CES0500000006",45051,2025-05-14,2025-05-14
1967-02-01,"CES0500000006",44967,2025-05-14,2025-05-14
1967-03-01,"CES0500000006",44990,2025-05-14,2025-05-14
1967-04-01,"CES0500000006",44872,2025-05-14,2025-05-14
1967-05-01,"CES0500000006",44961,2025-05-14,2025-05-14
1967-06-01,"CES0500000006",45003,2025-05-14,2025-05-14
1967-07-01,"CES0500000006",45105,2025-05-14,2025-05-14
1967-08-01,"CES0500000006",45267,2025-05-14,2025-05-14
1967-09-01,"CES0500000006",45236,2025-05-14,2025-05-14
1967-10-01,"CES0500000006",45279,2025-05-14,2025-05-14
1967-11-01,"CES0500000006",45702,2025-05-14,2025-05-14
1967-12-01,"CES0500000006",45799,2025-05-14,2025-05-14
1968-01-01,"CES0500000006",45655,2025-05-14,2025-05-14
1968-02-01,"CES0500000006",45980,2025-05-14,2025-05-14
1968-03-01,"CES0500000006",46040,2025-05-14,2025-05-14
1968-04-01,"CES0500000006",46239,2025-05-14,2025-05-14
1968-05-01,"CES0500000006",46267,2025-05-14,2025-05-14
1968-06-01,"CES0500000006",46402,2025-05-14,2025-05-14
1968-07-01,"CES0500000006",46562,2025-05-14,2025-05-14
1968-08-01,"CES0500000006",46670,2025-05-14,2025-05-14
1968-09-01,"CES0500000006",46791,2025-05-14,2025-05-14
1968-10-01,"CES0500000006",46991,2025-05-14,2025-05-14
1968-11-01,"CES0500000006",47245,2025-05-14,2025-05-14
1968-12-01,"CES0500000006",47386,2025-05-14,2025-05-14
1969-01-01,"CES0500000006",47529,2025-05-14,2025-05-14
1969-02-01,"CES0500000006",47697,2025-05-14,2025-05-14
1969-03-01,"CES0500000006",47852,2025-05-14,2025-05-14
1969-04-01,"CES0500000006",47960,2025-05-14,2025-05-14
1969-05-01,"CES0500000006",48122,2025-05-14,2025-05-14
1969-06-01,"CES0500000006",48329,2025-05-14,2025-05-14
1969-07-01,"CES0500000006",48431,2025-05-14,2025-05-14
1969-08-01,"CES0500000006",48616,2025-05-14,2025-05-14
1969-09-01,"CES0500000006",48524,2025-05-14,2025-05-14
1969-10-01,"CES0500000006",48670,2025-05-14,2025-05-14
1969-11-01,"CES0500000006",48590,2025-05-14,2025-05-14
1969-12-01,"CES0500000006",48639,2025-05-14,2025-05-14
1970-01-01,"CES0500000006",48566,2025-05-14,2025-05-14
1970-02-01,"CES0500000006",48601,2025-05-14,2025-05-14
1970-03-01,"CES0500000006",48690,2025-05-14,2025-05-14
1970-04-01,"CES0500000006",48482,2025-05-14,2025-05-14
1970-05-01,"CES0500000006",48288,2025-05-14,2025-05-14
1970-06-01,"CES0500000006",48225,2025-05-14,2025-05-14
1970-07-01,"CES0500000006",48235,2025-05-14,2025-05-14
1970-08-01,"CES0500000006",48089,2025-05-14,2025-05-14
1970-09-01,"CES0500000006",48101,2025-05-14,2025-05-14
1970-10-01,"CES0500000006",47621,2025-05-14,2025-05-14
1970-11-01,"CES0500000006",47468,2025-05-14,2025-05-14
1970-12-01,"CES0500000006",47779,2025-05-14,2025-05-14
1971-01-01,"CES0500000006",47859,2025-05-14,2025-05-14
1971-02-01,"CES0500000006",47780,2025-05-14,2025-05-14
1971-03-01,"CES0500000006",47820,2025-05-14,2025-05-14
1971-04-01,"CES0500000006",47967,2025-05-14,2025-05-14
1971-05-01,"CES0500000006",48154,2025-05-14,2025-05-14
1971-06-01,"CES0500000006",48109,2025-05-14,2025-05-14
1971-07-01,"CES0500000006",48159,2025-05-14,2025-05-14
1971-08-01,"CES0500000006",48166,2025-05-14,2025-05-14
1971-09-01,"CES0500000006",48364,2025-05-14,2025-05-14
1971-10-01,"CES0500000006",48308,2025-05-14,2025-05-14
1971-11-01,"CES0500000006",48441,2025-05-14,2025-05-14
1971-12-01,"CES0500000006",48613,2025-05-14,2025-05-14
1972-01-01,"CES0500000006",49033,2025-05-14,2025-05-14
1972-02-01,"CES0500000006",49140,2025-05-14,2025-05-14
1972-03-01,"CES0500000006",49437,2025-05-14,2025-05-14
1972-04-01,"CES0500000006",49561,2025-05-14,2025-05-14
1972-05-01,"CES0500000006",49749,2025-05-14,2025-05-14
1972-06-01,"CES0500000006",49997,2025-05-14,2025-05-14
1972-07-01,"CES0500000006",49847,2025-05-14,2025-05-14
1972-08-01,"CES0500000006",50159,2025-05-14,2025-05-14
1972-09-01,"CES0500000006",50232,2025-05-14,2025-05-14
1972-10-01,"CES0500000006",50555,2025-05-14,2025-05-14
1972-11-01,"CES0500000006",50788,2025-05-14,2025-05-14
