"date","series_id","value","realtime_start","realtime_end"
1964-01-01,"CES4000000006",10185,2025-05-14,2025-05-14
1964-02-01,"CES4000000006",10194,2025-05-14,2025-05-14
1964-03-01,"CES4000000006",10224,2025-05-14,2025-05-14
1964-04-01,"CES4000000006",10193,2025-05-14,2025-05-14
1964-05-01,"CES4000000006",10215,2025-05-14,2025-05-14
1964-06-01,"CES4000000006",10233,2025-05-14,2025-05-14
1964-07-01,"CES4000000006",10285,2025-05-14,2025-05-14
1964-08-01,"CES4000000006",10331,2025-05-14,2025-05-14
1964-09-01,"CES4000000006",10357,2025-05-14,2025-05-14
1964-10-01,"CES4000000006",10386,2025-05-14,2025-05-14
1964-11-01,"CES4000000006",10410,2025-05-14,2025-05-14
1964-12-01,"CES4000000006",10448,2025-05-14,2025-05-14
1965-01-01,"CES4000000006",10481,2025-05-14,2025-05-14
1965-02-01,"CES4000000006",10536,2025-05-14,2025-05-14
1965-03-01,"CES4000000006",10556,2025-05-14,2025-05-14
1965-04-01,"CES4000000006",10650,2025-05-14,2025-05-14
1965-05-01,"CES4000000006",10639,2025-05-14,2025-05-14
1965-06-01,"CES4000000006",10666,2025-05-14,2025-05-14
1965-07-01,"CES4000000006",10695,2025-05-14,2025-05-14
1965-08-01,"CES4000000006",10735,2025-05-14,2025-05-14
1965-09-01,"CES4000000006",10773,2025-05-14,2025-05-14
1965-10-01,"CES4000000006",10805,2025-05-14,2025-05-14
1965-11-01,"CES4000000006",10834,2025-05-14,2025-05-14
1965-12-01,"CES4000000006",10876,2025-05-14,2025-05-14
1966-01-01,"CES4000000006",10907,2025-05-14,2025-05-14
1966-02-01,"CES4000000006",10935,2025-05-14,2025-05-14
1966-03-01,"CES4000000006",10964,2025-05-14,2025-05-14
1966-04-01,"CES4000000006",11009,2025-05-14,2025-05-14
1966-05-01,"CES4000000006",11035,2025-05-14,2025-05-14
1966-06-01,"CES4000000006",11083,2025-05-14,2025-05-14
1966-07-01,"CES4000000006",11109,2025-05-14,2025-05-14
1966-08-01,"CES4000000006",11122,2025-05-14,2025-05-14
1966-09-01,"CES4000000006",11156,2025-05-14,2025-05-14
1966-10-01,"CES4000000006",11186,2025-05-14,2025-05-14
1966-11-01,"CES4000000006",11208,2025-05-14,2025-05-14
1966-12-01,"CES4000000006",11238,2025-05-14,2025-05-14
1967-01-01,"CES4000000006",11266,2025-05-14,2025-05-14
1967-02-01,"CES4000000006",11262,2025-05-14,2025-05-14
1967-03-01,"CES4000000006",11303,2025-05-14,2025-05-14
1967-04-01,"CES4000000006",11255,2025-05-14,2025-05-14
1967-05-01,"CES4000000006",11319,2025-05-14,2025-05-14
1967-06-01,"CES4000000006",11335,2025-05-14,2025-05-14
1967-07-01,"CES4000000006",11361,2025-05-14,2025-05-14
1967-08-01,"CES4000000006",11385,2025-05-14,2025-05-14
1967-09-01,"CES4000000006",11400,2025-05-14,2025-05-14
1967-10-01,"CES4000000006",11389,2025-05-14,2025-05-14
1967-11-01,"CES4000000006",11467,2025-05-14,2025-05-14
1967-12-01,"CES4000000006",11491,2025-05-14,2025-05-14
1968-01-01,"CES4000000006",11442,2025-05-14,2025-05-14
1968-02-01,"CES4000000006",11526,2025-05-14,2025-05-14
1968-03-01,"CES4000000006",11535,2025-05-14,2025-05-14
1968-04-01,"CES4000000006",11597,2025-05-14,2025-05-14
1968-05-01,"CES4000000006",11570,2025-05-14,2025-05-14
1968-06-01,"CES4000000006",11633,2025-05-14,2025-05-14
1968-07-01,"CES4000000006",11672,2025-05-14,2025-05-14
1968-08-01,"CES4000000006",11726,2025-05-14,2025-05-14
1968-09-01,"CES4000000006",11770,2025-05-14,2025-05-14
