"date","series_id","value","realtime_start","realtime_end"
1972-01-01,"CES4300000006",2278.6,2025-05-14,2025-05-14
1972-02-01,"CES4300000006",2284.3,2025-05-14,2025-05-14
1972-03-01,"CES4300000006",2312.1,2025-05-14,2025-05-14
1972-04-01,"CES4300000006",2292.7,2025-05-14,2025-05-14
1972-05-01,"CES4300000006",2292,2025-05-14,2025-05-14
1972-06-01,"CES4300000006",2310.5,2025-05-14,2025-05-14
1972-07-01,"CES4300000006",2310.3,2025-05-14,2025-05-14
1972-08-01,"CES4300000006",2308.3,2025-05-14,2025-05-14
1972-09-01,"CES4300000006",2311.7,2025-05-14,2025-05-14
1972-10-01,"CES4300000006",2317.5,2025-05-14,2025-05-14
1972-11-01,"CES4300000006",2331.9,2025-05-14,2025-05-14
1972-12-01,"CES4300000006",2333.9,2025-05-14,2025-05-14
1973-01-01,"CES4300000006",2341.5,2025-05-14,2025-05-14
1973-02-01,"CES4300000006",2353.1,2025-05-14,2025-05-14
1973-03-01,"CES4300000006",2367.2,2025-05-14,2025-05-14
1973-04-01,"CES4300000006",2367.7,2025-05-14,2025-05-14
1973-05-01,"CES4300000006",2364.8,2025-05-14,2025-05-14
1973-06-01,"CES4300000006",2361.8,2025-05-14,2025-05-14
1973-07-01,"CES4300000006",2360.1,2025-05-14,2025-05-14
1973-08-01,"CES4300000006",2371.1,2025-05-14,2025-05-14
1973-09-01,"CES4300000006",2373.4,2025-05-14,2025-05-14
1973-10-01,"CES4300000006",2379.3,2025-05-14,2025-05-14
1973-11-01,"CES4300000006",2380.6,2025-05-14,2025-05-14
1973-12-01,"CES4300000006",2364.1,2025-05-14,2025-05-14
1974-01-01,"CES4300000006",2398,2025-05-14,2025-05-14
1974-02-01,"CES4300000006",2400.9,2025-05-14,2025-05-14
1974-03-01,"CES4300000006",2399.9,2025-05-14,2025-05-14
1974-04-01,"CES4300000006",2406.4,2025-05-14,2025-05-14
1974-05-01,"CES4300000006",2407.6,2025-05-14,2025-05-14
1974-06-01,"CES4300000006",2409.5,2025-05-14,2025-05-14
1974-07-01,"CES4300000006",2408.8,2025-05-14,2025-05-14
1974-08-01,"CES4300000006",2399.5,2025-05-14,2025-05-14
1974-09-01,"CES4300000006",2378.8,2025-05-14,2025-05-14
1974-10-01,"CES4300000006",2382.9,2025-05-14,2025-05-14
1974-11-01,"CES4300000006",2380.6,2025-05-14,2025-05-14
1974-12-01,"CES4300000006",2353.4,2025-05-14,2025-05-14
1975-01-01,"CES4300000006",2330.2,2025-05-14,2025-05-14
1975-02-01,"CES4300000006",2301.1,2025-05-14,2025-05-14
1975-03-01,"CES4300000006",2288.8,2025-05-14,2025-05-14
1975-04-01,"CES4300000006",2261.1,2025-05-14,2025-05-14
1975-05-01,"CES4300000006",2262.7,2025-05-14,2025-05-14
1975-06-01,"CES4300000006",2252.7,2025-05-14,2025-05-14
1975-07-01,"CES4300000006",2254.1,2025-05-14,2025-05-14
1975-08-01,"CES4300000006",2259.1,2025-05-14,2025-05-14
1975-09-01,"CES4300000006",2251.5,2025-05-14,2025-05-14
1975-10-01,"CES4300000006",2251.6,2025-05-14,2025-05-14
1975-11-01,"CES4300000006",2258.2,2025-05-14,2025-05-14
1975-12-01,"CES4300000006",2235.5,2025-05-14,2025-05-14
1976-01-01,"CES4300000006",2278.3,2025-05-14,2025-05-14
1976-02-01,"CES4300000006",2290.4,2025-05-14,2025-05-14
