"date","series_id","value","realtime_start","realtime_end"
1972-01-01,"CES4422000006",460.8,2025-05-14,2025-05-14
1972-02-01,"CES4422000006",465.2,2025-05-14,2025-05-14
1972-03-01,"CES4422000006",467.7,2025-05-14,2025-05-14
1972-04-01,"CES4422000006",470,2025-05-14,2025-05-14
1972-05-01,"CES4422000006",470.4,2025-05-14,2025-05-14
1972-06-01,"CES4422000006",477.2,2025-05-14,2025-05-14
1972-07-01,"CES4422000006",476.3,2025-05-14,2025-05-14
1972-08-01,"CES4422000006",477,2025-05-14,2025-05-14
1972-09-01,"CES4422000006",478.1,2025-05-14,2025-05-14
1972-10-01,"CES4422000006",475.5,2025-05-14,2025-05-14
1972-11-01,"CES4422000006",476.3,2025-05-14,2025-05-14
1972-12-01,"CES4422000006",476.9,2025-05-14,2025-05-14
1973-01-01,"CES4422000006",476.1,2025-05-14,2025-05-14
1973-02-01,"CES4422000006",476.5,2025-05-14,2025-05-14
1973-03-01,"CES4422000006",478.6,2025-05-14,2025-05-14
1973-04-01,"CES4422000006",478,2025-05-14,2025-05-14
1973-05-01,"CES4422000006",481.3,2025-05-14,2025-05-14
1973-06-01,"CES4422000006",480.9,2025-05-14,2025-05-14
1973-07-01,"CES4422000006",483.1,2025-05-14,2025-05-14
1973-08-01,"CES4422000006",483.2,2025-05-14,2025-05-14
1973-09-01,"CES4422000006",484.5,2025-05-14,2025-05-14
1973-10-01,"CES4422000006",485,2025-05-14,2025-05-14
1973-11-01,"CES4422000006",485,2025-05-14,2025-05-14
1973-12-01,"CES4422000006",486.4,2025-05-14,2025-05-14
1974-01-01,"CES4422000006",488.2,2025-05-14,2025-05-14
1974-02-01,"CES4422000006",488.1,2025-05-14,2025-05-14
1974-03-01,"CES4422000006",488.5,2025-05-14,2025-05-14
1974-04-01,"CES4422000006",490.1,2025-05-14,2025-05-14
1974-05-01,"CES4422000006",487.9,2025-05-14,2025-05-14
1974-06-01,"CES4422000006",487.2,2025-05-14,2025-05-14
1974-07-01,"CES4422000006",487.6,2025-05-14,2025-05-14
1974-08-01,"CES4422000006",489.7,2025-05-14,2025-05-14
1974-09-01,"CES4422000006",487.8,2025-05-14,2025-05-14
1974-10-01,"CES4422000006",487.6,2025-05-14,2025-05-14
1974-11-01,"CES4422000006",486.7,2025-05-14,2025-05-14
1974-12-01,"CES4422000006",485,2025-05-14,2025-05-14
1975-01-01,"CES4422000006",485.6,2025-05-14,2025-05-14
1975-02-01,"CES4422000006",484,2025-05-14,2025-05-14
1975-03-01,"CES4422000006",480.7,2025-05-14,2025-05-14
1975-04-01,"CES4422000006",483.1,2025-05-14,2025-05-14
1975-05-01,"CES4422000006",477.2,2025-05-14,2025-05-14
1975-06-01,"CES4422000006",477.4,2025-05-14,2025-05-14
1975-07-01,"CES4422000006",476.1,2025-05-14,2025-05-14
1975-08-01,"CES4422000006",472.2,2025-05-14,2025-05-14
1975-09-01,"CES4422000006",474.7,2025-05-14,2025-05-14
1975-10-01,"CES4422000006",475.5,2025-05-14,2025-05-14
1975-11-01,"CES4422000006",477,2025-05-14,2025-05-14
1975-12-01,"CES4422000006",476.6,2025-05-14,2025-05-14
1976-01-01,"CES4422000006",476.7,2025-05-14,2025-05-14
1976-02-01,"CES4422000006",476.2,2025-05-14,2025-05-14
1976-03-01,"CES4422000006",477.8,2025-05-14,2025-05-14
1976-04-01,"CES4422000006",478.5,2025-05-14,2025-05-14
1976-05-01,"CES4422000006",478.4,2025-05-14,2025-05-14
1976-06-01,"CES4422000006",476.7,2025-05-14,2025-05-14
1976-07-01,"CES4422000006",473.4,2025-05-14,2025-05-14
1976-08-01,"CES4422000006",473.8,2025-05-14,2025-05-14
1976-09-01,"CES4422000006",474.4,2025-05-14,2025-05-14
1976-10-01,"CES4422000006",476.4,2025-05-14,2025-05-14
1976-11-01,"CES4422000006",476.1,2025-05-14,2025-05-14
1976-12-01,"CES4422000006",477.6,2025-05-14,2025-05-14
1977-01-01,"CES4422000006",476.9,2025-05-14,2025-05-14
1977-02-01,"CES4422000006",477.6,2025-05-14,2025-05-14
1977-03-01,"CES4422000006",476.7,2025-05-14,2025-05-14
1977-04-01,"CES4422000006",477.2,2025-05-14,2025-05-14
1977-05-01,"CES4422000006",478.9,2025-05-14,2025-05-14
1977-06-01,"CES4422000006",480.4,2025-05-14,2025-05-14
1977-07-01,"CES4422000006",480.3,2025-05-14,2025-05-14
1977-08-01,"CES4422000006",480.6,2025-05-14,2025-05-14
1977-09-01,"CES4422000006",483.1,2025-05-14,2025-05-14
1977-10-01,"CES4422000006",481.9,2025-05-14,2025-05-14
1977-11-01,"CES4422000006",485.5,2025-05-14,2025-05-14
1977-12-01,"CES4422000006",487.1,2025-05-14,2025-05-14
1978-01-01,"CES4422000006",486,2025-05-14,2025-05-14
1978-02-01,"CES4422000006",490.8,2025-05-14,2025-05-14
1978-03-01,"CES4422000006",492.7,2025-05-14,2025-05-14
1978-04-01,"CES4422000006",493.4,2025-05-14,2025-05-14
1978-05-01,"CES4422000006",494,2025-05-14,2025-05-14
1978-06-01,"CES4422000006",496,2025-05-14,2025-05-14
1978-07-01,"CES4422000006",496.7,2025-05-14,2025-05-14
1978-08-01,"CES4422000006",498.1,2025-05-14,2025-05-14
1978-09-01,"CES4422000006",498.1,2025-05-14,2025-05-14
1978-10-01,"CES4422000006",499,2025-05-14,2025-05-14
1978-11-01,"CES4422000006",500.2,2025-05-14,2025-05-14
1978-12-01,"CES4422000006",501.5,2025-05-14,2025-05-14
1979-01-01,"CES4422000006",503.7,2025-05-14,2025-05-14
1979-02-01,"CES4422000006",505.3,2025-05-14,2025-05-14
1979-03-01,"CES4422000006",506.4,2025-05-14,2025-05-14
1979-04-01,"CES4422000006",511.2,2025-05-14,2025-05-14
1979-05-01,"CES4422000006",509.7,2025-05-14,2025-05-14
1979-06-01,"CES4422000006",514.9,2025-05-14,2025-05-14
1979-07-01,"CES4422000006",516.7,2025-05-14,2025-05-14
1979-08-01,"CES4422000006",518.5,2025-05-14,2025-05-14
1979-09-01,"CES4422000006",520.1,2025-05-14,2025-05-14
1979-10-01,"CES4422000006",520.2,2025-05-14,2025-05-14
1979-11-01,"CES4422000006",520.8,2025-05-14,2025-05-14
1979-12-01,"CES4422000006",521.1,2025-05-14,2025-05-14
1980-01-01,"CES4422000006",521.5,2025-05-14,2025-05-14
1980-02-01,"CES4422000006",523.6,2025-05-14,2025-05-14
1980-03-01,"CES4422000006",525.1,2025-05-14,2025-05-14
1980-04-01,"CES4422000006",526.9,2025-05-14,2025-05-14
1980-05-01,"CES4422000006",529.7,2025-05-14,2025-05-14
1980-06-01,"CES4422000006",528.3,2025-05-14,2025-05-14
1980-07-01,"CES4422000006",530.2,2025-05-14,2025-05-14
1980-08-01,"CES4422000006",531.4,2025-05-14,2025-05-14
1980-09-01,"CES4422000006",533.4,2025-05-14,2025-05-14
1980-10-01,"CES4422000006",534.8,2025-05-14,2025-05-14
1980-11-01,"CES4422000006",535.3,2025-05-14,2025-05-14
1980-12-01,"CES4422000006",537,2025-05-14,2025-05-14
1981-01-01,"CES4422000006",536.6,2025-05-14,2025-05-14
1981-02-01,"CES4422000006",538,2025-05-14,2025-05-14
1981-03-01,"CES4422000006",540,2025-05-14,2025-05-14
1981-04-01,"CES4422000006",542.7,2025-05-14,2025-05-14
1981-05-01,"CES4422000006",544.8,2025-05-14,2025-05-14
1981-06-01,"CES4422000006",547.7,2025-05-14,2025-05-14
1981-07-01,"CES4422000006",550,2025-05-14,2025-05-14
1981-08-01,"CES4422000006",551.7,2025-05-14,2025-05-14
1981-09-01,"CES4422000006",553.7,2025-05-14,2025-05-14
1981-10-01,"CES4422000006",555,2025-05-14,2025-05-14
1981-11-01,"CES4422000006",556.3,2025-05-14,2025-05-14
1981-12-01,"CES4422000006",558,2025-05-14,2025-05-14
1982-01-01,"CES4422000006",559.6,2025-05-14,2025-05-14
1982-02-01,"CES4422000006",560,2025-05-14,2025-05-14
1982-03-01,"CES4422000006",560.1,2025-05-14,2025-05-14
1982-04-01,"CES4422000006",558.6,2025-05-14,2025-05-14
1982-05-01,"CES4422000006",555.4,2025-05-14,2025-05-14
1982-06-01,"CES4422000006",559.1,2025-05-14,2025-05-14
1982-07-01,"CES4422000006",558.8,2025-05-14,2025-05-14
1982-08-01,"CES4422000006",560.5,2025-05-14,2025-05-14
1982-09-01,"CES4422000006",560.4,2025-05-14,2025-05-14
1982-10-01,"CES4422000006",559.2,2025-05-14,2025-05-14
1982-11-01,"CES4422000006",561.7,2025-05-14,2025-05-14
1982-12-01,"CES4422000006",560.6,2025-05-14,2025-05-14
1983-01-01,"CES4422000006",563.3,2025-05-14,2025-05-14
1983-02-01,"CES4422000006",563.7,2025-05-14,2025-05-14
1983-03-01,"CES4422000006",563.3,2025-05-14,2025-05-14
1983-04-01,"CES4422000006",561.5,2025-05-14,2025-05-14
1983-05-01,"CES4422000006",561.1,2025-05-14,2025-05-14
1983-06-01,"CES4422000006",560.1,2025-05-14,2025-05-14
1983-07-01,"CES4422000006",544.7,2025-05-14,2025-05-14
1983-08-01,"CES4422000006",548.1,2025-05-14,2025-05-14
1983-09-01,"CES4422000006",558.3,2025-05-14,2025-05-14
1983-10-01,"CES4422000006",558.6,2025-05-14,2025-05-14
1983-11-01,"CES4422000006",559.4,2025-05-14,2025-05-14
1983-12-01,"CES4422000006",559.9,2025-05-14,2025-05-14
1984-01-01,"CES4422000006",557.7,2025-05-14,2025-05-14
1984-02-01,"CES4422000006",558.7,2025-05-14,2025-05-14
1984-03-01,"CES4422000006",558.8,2025-05-14,2025-05-14
1984-04-01,"CES4422000006",560.2,2025-05-14,2025-05-14
1984-05-01,"CES4422000006",561.4,2025-05-14,2025-05-14
1984-06-01,"CES4422000006",563.6,2025-05-14,2025-05-14
1984-07-01,"CES4422000006",562.9,2025-05-14,2025-05-14
1984-08-01,"CES4422000006",562.5,2025-05-14,2025-05-14
1984-09-01,"CES4422000006",563.3,2025-05-14,2025-05-14
1984-10-01,"CES4422000006",563.6,2025-05-14,2025-05-14
1984-11-01,"CES4422000006",563.2,2025-05-14,2025-05-14
1984-12-01,"CES4422000006",563.8,2025-05-14,2025-05-14
1985-01-01,"CES4422000006",565.1,2025-05-14,2025-05-14
1985-02-01,"CES4422000006",565.4,2025-05-14,2025-05-14
1985-03-01,"CES4422000006",566.8,2025-05-14,2025-05-14
1985-04-01,"CES4422000006",568.2,2025-05-14,2025-05-14
1985-05-01,"CES4422000006",568.7,2025-05-14,2025-05-14
1985-06-01,"CES4422000006",571.1,2025-05-14,2025-05-14
1985-07-01,"CES4422000006",572.4,2025-05-14,2025-05-14
1985-08-01,"CES4422000006",573.3,2025-05-14,2025-05-14
1985-09-01,"CES4422000006",572.8,2025-05-14,2025-05-14
1985-10-01,"CES4422000006",573.5,2025-05-14,2025-05-14
1985-11-01,"CES4422000006",573.8,2025-05-14,2025-05-14
1985-12-01,"CES4422000006",574,2025-05-14,2025-05-14
1986-01-01,"CES4422000006",574,2025-05-14,2025-05-14
1986-02-01,"CES4422000006",575.2,2025-05-14,2025-05-14
1986-03-01,"CES4422000006",572.9,2025-05-14,2025-05-14
1986-04-01,"CES4422000006",572.5,2025-05-14,2025-05-14
1986-05-01,"CES4422000006",574.6,2025-05-14,2025-05-14
1986-06-01,"CES4422000006",569.4,2025-05-14,2025-05-14
1986-07-01,"CES4422000006",570.4,2025-05-14,2025-05-14
1986-08-01,"CES4422000006",569.8,2025-05-14,2025-05-14
1986-09-01,"CES4422000006",570.8,2025-05-14,2025-05-14
1986-10-01,"CES4422000006",570.9,2025-05-14,2025-05-14
1986-11-01,"CES4422000006",572.3,2025-05-14,2025-05-14
1986-12-01,"CES4422000006",572,2025-05-14,2025-05-14
1987-01-01,"CES4422000006",570.9,2025-05-14,2025-05-14
1987-02-01,"CES4422000006",571.6,2025-05-14,2025-05-14
1987-03-01,"CES4422000006",572.3,2025-05-14,2025-05-14
1987-04-01,"CES4422000006",572.6,2025-05-14,2025-05-14
1987-05-01,"CES4422000006",572.1,2025-05-14,2025-05-14
1987-06-01,"CES4422000006",570.6,2025-05-14,2025-05-14
1987-07-01,"CES4422000006",570.8,2025-05-14,2025-05-14
1987-08-01,"CES4422000006",570.9,2025-05-14,2025-05-14
1987-09-01,"CES4422000006",572.5,2025-05-14,2025-05-14
1987-10-01,"CES4422000006",572,2025-05-14,2025-05-14
1987-11-01,"CES4422000006",571,2025-05-14,2025-05-14
1987-12-01,"CES4422000006",571.4,2025-05-14,2025-05-14
1988-01-01,"CES4422000006",571.4,2025-05-14,2025-05-14
1988-02-01,"CES4422000006",569,2025-05-14,2025-05-14
1988-03-01,"CES4422000006",569.6,2025-05-14,2025-05-14
1988-04-01,"CES4422000006",569.2,2025-05-14,2025-05-14
1988-05-01,"CES4422000006",569,2025-05-14,2025-05-14
1988-06-01,"CES4422000006",568.8,2025-05-14,2025-05-14
1988-07-01,"CES4422000006",568.6,2025-05-14,2025-05-14
1988-08-01,"CES4422000006",568.8,2025-05-14,2025-05-14
1988-09-01,"CES4422000006",566.9,2025-05-14,2025-05-14
1988-10-01,"CES4422000006",567.7,2025-05-14,2025-05-14
1988-11-01,"CES4422000006",568,2025-05-14,2025-05-14
1988-12-01,"CES4422000006",566.3,2025-05-14,2025-05-14
1989-01-01,"CES4422000006",570.6,2025-05-14,2025-05-14
1989-02-01,"CES4422000006",571,2025-05-14,2025-05-14
1989-03-01,"CES4422000006",570.9,2025-05-14,2025-05-14
1989-04-01,"CES4422000006",572.1,2025-05-14,2025-05-14
1989-05-01,"CES4422000006",575.8,2025-05-14,2025-05-14
1989-06-01,"CES4422000006",576.7,2025-05-14,2025-05-14
1989-07-01,"CES4422000006",576.9,2025-05-14,2025-05-14
1989-08-01,"CES4422000006",579.3,2025-05-14,2025-05-14
1989-09-01,"CES4422000006",579.8,2025-05-14,2025-05-14
1989-10-01,"CES4422000006",580.2,2025-05-14,2025-05-14
1989-11-01,"CES4422000006",580.9,2025-05-14,2025-05-14
1989-12-01,"CES4422000006",581.3,2025-05-14,2025-05-14
1990-01-01,"CES4422000006",581.9,2025-05-14,2025-05-14
1990-02-01,"CES4422000006",582.2,2025-05-14,2025-05-14
1990-03-01,"CES4422000006",585.3,2025-05-14,2025-05-14
1990-04-01,"CES4422000006",585.4,2025-05-14,2025-05-14
