"date","series_id","value","realtime_start","realtime_end"
1972-01-01,"CES4142000006",2852.9,2025-05-14,2025-05-14
1972-02-01,"CES4142000006",2861.1,2025-05-14,2025-05-14
1972-03-01,"CES4142000006",2875.9,2025-05-14,2025-05-14
1972-04-01,"CES4142000006",2883.1,2025-05-14,2025-05-14
1972-05-01,"CES4142000006",2888.8,2025-05-14,2025-05-14
1972-06-01,"CES4142000006",2898.1,2025-05-14,2025-05-14
1972-07-01,"CES4142000006",2894.8,2025-05-14,2025-05-14
1972-08-01,"CES4142000006",2902.8,2025-05-14,2025-05-14
1972-09-01,"CES4142000006",2911.6,2025-05-14,2025-05-14
1972-10-01,"CES4142000006",2920.3,2025-05-14,2025-05-14
1972-11-01,"CES4142000006",2935.3,2025-05-14,2025-05-14
1972-12-01,"CES4142000006",2949.1,2025-05-14,2025-05-14
1973-01-01,"CES4142000006",2965,2025-05-14,2025-05-14
1973-02-01,"CES4142000006",2987,2025-05-14,2025-05-14
1973-03-01,"CES4142000006",2988.5,2025-05-14,2025-05-14
1973-04-01,"CES4142000006",2996.6,2025-05-14,2025-05-14
1973-05-01,"CES4142000006",2996.5,2025-05-14,2025-05-14
1973-06-01,"CES4142000006",3017,2025-05-14,2025-05-14
1973-07-01,"CES4142000006",3022.3,2025-05-14,2025-05-14
1973-08-01,"CES4142000006",3037.1,2025-05-14,2025-05-14
1973-09-01,"CES4142000006",3036.4,2025-05-14,2025-05-14
1973-10-01,"CES4142000006",3049.3,2025-05-14,2025-05-14
1973-11-01,"CES4142000006",3060.3,2025-05-14,2025-05-14
1973-12-01,"CES4142000006",3070.5,2025-05-14,2025-05-14
1974-01-01,"CES4142000006",3084.2,2025-05-14,2025-05-14
1974-02-01,"CES4142000006",3107.4,2025-05-14,2025-05-14
1974-03-01,"CES4142000006",3107.6,2025-05-14,2025-05-14
1974-04-01,"CES4142000006",3112,2025-05-14,2025-05-14
1974-05-01,"CES4142000006",3120,2025-05-14,2025-05-14
1974-06-01,"CES4142000006",3130.6,2025-05-14,2025-05-14
1974-07-01,"CES4142000006",3138.8,2025-05-14,2025-05-14
1974-08-01,"CES4142000006",3143.2,2025-05-14,2025-05-14
1974-09-01,"CES4142000006",3136.1,2025-05-14,2025-05-14
1974-10-01,"CES4142000006",3141.3,2025-05-14,2025-05-14
1974-11-01,"CES4142000006",3140.9,2025-05-14,2025-05-14
1974-12-01,"CES4142000006",3129.3,2025-05-14,2025-05-14
1975-01-01,"CES4142000006",3112.1,2025-05-14,2025-05-14
1975-02-01,"CES4142000006",3096.2,2025-05-14,2025-05-14
1975-03-01,"CES4142000006",3079.1,2025-05-14,2025-05-14
1975-04-01,"CES4142000006",3078.4,2025-05-14,2025-05-14
1975-05-01,"CES4142000006",3076.5,2025-05-14,2025-05-14
1975-06-01,"CES4142000006",3075,2025-05-14,2025-05-14
1975-07-01,"CES4142000006",3089,2025-05-14,2025-05-14
1975-08-01,"CES4142000006",3092.2,2025-05-14,2025-05-14
1975-09-01,"CES4142000006",3112.9,2025-05-14,2025-05-14
1975-10-01,"CES4142000006",3116,2025-05-14,2025-05-14
1975-11-01,"CES4142000006",3120.3,2025-05-14,2025-05-14
1975-12-01,"CES4142000006",3131,2025-05-14,2025-05-14
1976-01-01,"CES4142000006",3144.3,2025-05-14,2025-05-14
1976-02-01,"CES4142000006",3161.5,2025-05-14,2025-05-14
1976-03-01,"CES4142000006",3166.8,2025-05-14,2025-05-14
1976-04-01,"CES4142000006",3180.8,2025-05-14,2025-05-14
1976-05-01,"CES4142000006",3189.6,2025-05-14,2025-05-14
1976-06-01,"CES4142000006",3189.2,2025-05-14,2025-05-14
1976-07-01,"CES4142000006",3194.1,2025-05-14,2025-05-14
1976-08-01,"CES4142000006",3193.5,2025-05-14,2025-05-14
1976-09-01,"CES4142000006",3206.2,2025-05-14,2025-05-14
1976-10-01,"CES4142000006",3205.9,2025-05-14,2025-05-14
1976-11-01,"CES4142000006",3209.6,2025-05-14,2025-05-14
1976-12-01,"CES4142000006",3217.9,2025-05-14,2025-05-14
1977-01-01,"CES4142000006",3228,2025-05-14,2025-05-14
1977-02-01,"CES4142000006",3237.2,2025-05-14,2025-05-14
1977-03-01,"CES4142000006",3249.7,2025-05-14,2025-05-14
1977-04-01,"CES4142000006",3264.7,2025-05-14,2025-05-14
1977-05-01,"CES4142000006",3277.9,2025-05-14,2025-05-14
1977-06-01,"CES4142000006",3290.8,2025-05-14,2025-05-14
1977-07-01,"CES4142000006",3305.7,2025-05-14,2025-05-14
1977-08-01,"CES4142000006",3318.2,2025-05-14,2025-05-14
1977-09-01,"CES4142000006",3333.9,2025-05-14,2025-05-14
1977-10-01,"CES4142000006",3342.1,2025-05-14,2025-05-14
1977-11-01,"CES4142000006",3359.1,2025-05-14,2025-05-14
1977-12-01,"CES4142000006",3376.8,2025-05-14,2025-05-14
1978-01-01,"CES4142000006",3387.8,2025-05-14,2025-05-14
1978-02-01,"CES4142000006",3404.2,2025-05-14,2025-05-14
1978-03-01,"CES4142000006",3423.9,2025-05-14,2025-05-14
1978-04-01,"CES4142000006",3444.3,2025-05-14,2025-05-14
1978-05-01,"CES4142000006",3463.6,2025-05-14,2025-05-14
1978-06-01,"CES4142000006",3482.8,2025-05-14,2025-05-14
1978-07-01,"CES4142000006",3490.8,2025-05-14,2025-05-14
1978-08-01,"CES4142000006",3512.8,2025-05-14,2025-05-14
1978-09-01,"CES4142000006",3522.9,2025-05-14,2025-05-14
1978-10-01,"CES4142000006",3542.2,2025-05-14,2025-05-14
1978-11-01,"CES4142000006",3554.6,2025-05-14,2025-05-14
1978-12-01,"CES4142000006",3571.4,2025-05-14,2025-05-14
1979-01-01,"CES4142000006",3587.7,2025-05-14,2025-05-14
1979-02-01,"CES4142000006",3599.2,2025-05-14,2025-05-14
1979-03-01,"CES4142000006",3613,2025-05-14,2025-05-14
1979-04-01,"CES4142000006",3617.9,2025-05-14,2025-05-14
1979-05-01,"CES4142000006",3630.1,2025-05-14,2025-05-14
1979-06-01,"CES4142000006",3650.3,2025-05-14,2025-05-14
1979-07-01,"CES4142000006",3649.9,2025-05-14,2025-05-14
1979-08-01,"CES4142000006",3652.1,2025-05-14,2025-05-14
1979-09-01,"CES4142000006",3654.4,2025-05-14,2025-05-14
1979-10-01,"CES4142000006",3667.1,2025-05-14,2025-05-14
1979-11-01,"CES4142000006",3677.7,2025-05-14,2025-05-14
1979-12-01,"CES4142000006",3674.7,2025-05-14,2025-05-14
1980-01-01,"CES4142000006",3687.1,2025-05-14,2025-05-14
1980-02-01,"CES4142000006",3701.4,2025-05-14,2025-05-14
1980-03-01,"CES4142000006",3704,2025-05-14,2025-05-14
1980-04-01,"CES4142000006",3687.6,2025-05-14,2025-05-14
1980-05-01,"CES4142000006",3672.4,2025-05-14,2025-05-14
1980-06-01,"CES4142000006",3662.3,2025-05-14,2025-05-14
1980-07-01,"CES4142000006",3659.3,2025-05-14,2025-05-14
1980-08-01,"CES4142000006",3666.7,2025-05-14,2025-05-14
1980-09-01,"CES4142000006",3672.4,2025-05-14,2025-05-14
1980-10-01,"CES4142000006",3676.3,2025-05-14,2025-05-14
1980-11-01,"CES4142000006",3682.3,2025-05-14,2025-05-14
1980-12-01,"CES4142000006",3694.9,2025-05-14,2025-05-14
1981-01-01,"CES4142000006",3702.3,2025-05-14,2025-05-14
1981-02-01,"CES4142000006",3710.1,2025-05-14,2025-05-14
1981-03-01,"CES4142000006",3715.4,2025-05-14,2025-05-14
1981-04-01,"CES4142000006",3726.1,2025-05-14,2025-05-14
1981-05-01,"CES4142000006",3727.5,2025-05-14,2025-05-14
1981-06-01,"CES4142000006",3733.8,2025-05-14,2025-05-14
1981-07-01,"CES4142000006",3738.3,2025-05-14,2025-05-14
1981-08-01,"CES4142000006",3734.3,2025-05-14,2025-05-14
1981-09-01,"CES4142000006",3728.2,2025-05-14,2025-05-14
1981-10-01,"CES4142000006",3730.1,2025-05-14,2025-05-14
1981-11-01,"CES4142000006",3728.3,2025-05-14,2025-05-14
1981-12-01,"CES4142000006",3720.7,2025-05-14,2025-05-14
1982-01-01,"CES4142000006",3691.3,2025-05-14,2025-05-14
1982-02-01,"CES4142000006",3686.8,2025-05-14,2025-05-14
1982-03-01,"CES4142000006",3686.3,2025-05-14,2025-05-14
1982-04-01,"CES4142000006",3666.9,2025-05-14,2025-05-14
1982-05-01,"CES4142000006",3662.3,2025-05-14,2025-05-14
1982-06-01,"CES4142000006",3642,2025-05-14,2025-05-14
1982-07-01,"CES4142000006",3630.6,2025-05-14,2025-05-14
1982-08-01,"CES4142000006",3616.5,2025-05-14,2025-05-14
1982-09-01,"CES4142000006",3605.4,2025-05-14,2025-05-14
1982-10-01,"CES4142000006",3587.8,2025-05-14,2025-05-14
1982-11-01,"CES4142000006",3576.6,2025-05-14,2025-05-14
1982-12-01,"CES4142000006",3563.9,2025-05-14,2025-05-14
1983-01-01,"CES4142000006",3562.5,2025-05-14,2025-05-14
1983-02-01,"CES4142000006",3563,2025-05-14,2025-05-14
1983-03-01,"CES4142000006",3560.1,2025-05-14,2025-05-14
1983-04-01,"CES4142000006",3569.3,2025-05-14,2025-05-14
1983-05-01,"CES4142000006",3581.6,2025-05-14,2025-05-14
1983-06-01,"CES4142000006",3602,2025-05-14,2025-05-14
1983-07-01,"CES4142000006",3608.1,2025-05-14,2025-05-14
